ID TIME pos
7 5.165 [0.2991103033194919, -0.44788661433029464] []
7 10.192 [0.2991103033194919, -0.44788661433029464] []
7 15.245 [0.2991103033194919, -0.44788661433029464] [(32108, -31327, 1676645528, 0, 1, 10000000000000000000, 10000000000000000000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 0, 32108, -31327)]
7 40.703 [0.2991103033194919, -0.44788661433029464] [(26886, -32139, 1676645528, 0, 5, 50000000000000000000, 20000000000000000000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 0, 18308, -32876)]
7 66.205 [0.2991103033194919, -0.44788661433029464] [(29182, -33039, 1676645528, 0, 8, 80000000000000000000, 30000000000000000000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 0, 23853, -35808)]
7 71.334 [0.2991103033194919, -0.44788661433029464] [(29182, -33039, 1676645528, 0, 8, 80000000000000000000, 30000000000000000000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 0, 23853, -35808)]
7 76.372 [0.2991103033194919, -0.44788661433029464] [(29182, -33039, 1676645528, 0, 8, 80000000000000000000, 30000000000000000000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 0, 23853, -35808)]
7 81.377 [0.2991103033194919, -0.44788661433029464] [(29182, -33039, 1676645528, 0, 8, 80000000000000000000, 30000000000000000000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 0, 23853, -35808)]
7 86.455 [0.2991103033194919, -0.44788661433029464] [(29182, -33039, 1676645528, 0, 8, 80000000000000000000, 30000000000000000000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 0, 23853, -35808)]
7 91.51 [0.2991103033194919, -0.44788661433029464] [(29182, -33039, 1676645528, 0, 8, 80000000000000000000, 30000000000000000000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 0, 23853, -35808)]
7 96.6 [0.2991103033194919, -0.44788661433029464] [(29182, -33039, 1676645528, 0, 8, 80000000000000000000, 30000000000000000000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 0, 23853, -35808)]
7 101.673 [0.2991103033194919, -0.44788661433029464] [(29182, -33039, 1676645528, 0, 8, 80000000000000000000, 30000000000000000000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 0, 23853, -35808)]
7 106.693 [0.2991103033194919, -0.44788661433029464] [(29182, -33039, 1676645528, 0, 8, 80000000000000000000, 30000000000000000000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 0, 23853, -35808)]
