ID TIME pos
8 5.217 [0.44474986728960425, 0.4424835853286981] []
8 10.255 [0.44474986728960425, 0.4424835853286981] []
8 15.269 [0.44474986728960425, 0.4424835853286981] []
8 20.279 [0.44474986728960425, 0.4424835853286981] []
8 25.388 [0.44474986728960425, 0.4424835853286981] []
8 30.432 [0.44474986728960425, 0.4424835853286981] []
8 35.437 [0.44474986728960425, 0.4424835853286981] [(-30110, 42256, 1676591036, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -30110, 42256)]
8 108.473 [0.44474986728960425, 0.4424835853286981] [(-34300, 42040, 1676591036, 2, 10, 100000000000000000000, 20000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -37384, 41933)]
8 159.135 [0.44474986728960425, 0.4424835853286981] [(-34300, 42040, 1676591036, 2, 10, 100000000000000000000, 20000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -37384, 41933), (-41034, 42386, 1676591122, 0, 6, 58750000000000000000, 5000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, -44659, 41611), (46191, 37085, 1676591130, 0, 2, 22500000000000000000, 22500000000000000000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 0, 46191, 37085)]
8 191.08 [0.44474986728960425, 0.4424835853286981] [(-34300, 42040, 1676591036, 2, 10, 100000000000000000000, 20000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -37384, 41933), (-41890, 41915, 1676591122, 0, 8, 80000000000000000000, 5000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, -44659, 41611), (46723, 40185, 1676591130, 0, 3, 33750000000000000000, 33750000000000000000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 0, 46723, 40185)]
8 217.166 [0.44474986728960425, 0.4424835853286981] [(-34300, 42040, 1676591036, 2, 10, 100000000000000000000, 20000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -37384, 41933), (-42332, 42013, 1676591122, 2, 10, 101250000000000000000, 5000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, -44659, 41611), (45615, 41012, 1676591130, 0, 6, 65000000000000000000, 65000000000000000000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 0, 45615, 41012)]
