ID TIME TELAPSED TIMESTAMP BLOCK HASH PHASH DIFF TDIFF SIZE TXS UNC PENDING QUEUED
22 3.117 3.5059099197387695 1627934248 1 0x78894e23d79a19af16ba7dce6da6e7e8345dd9ec021021acb3781eebb3373571 0x19a39244655079188c9c4b95f383b6e9fe80c2e3c8f16c0acef88966cd6fe8a3 1 2 610 0 0 0 0
22 3.467 4.1196534633636475 1627934248 1 0xa3e80d117743e63d963cd8686200e676dc58707df1ba41c85f307b36a61e9707 0x19a39244655079188c9c4b95f383b6e9fe80c2e3c8f16c0acef88966cd6fe8a3 1 2 610 0 0 0 0
22 15.782 1.2420337200164795 1627934263 2 0x8c2609f9c454c03070d625a522f32df402090ae17134359f96940275b0d02719 0x5b663bb28605052cebf344c150a4f19422f9e8db5b165644bcff1b7782d7c9e0 1 3 610 0 0 0 0
22 33.621 4.156400918960571 1627934278 3 0xe0e0623b8161d1a5cc1765bc2f4c7d56079e428c8c6b4434d80ef7b04c55eca2 0x8c2609f9c454c03070d625a522f32df402090ae17134359f96940275b0d02719 1 4 610 0 0 0 0
22 52.501 38.022461891174316 1627934263 2 0x4c533446e6162b7555a3457cae5946d91d71e11d6f132ba662ac34f4d362a08e 0x7e55f0a267137eac76476bac596d892ab78ce6baa53be07894f4141ef80114c5 2 5 610 0 0 0 0
22 52.923 23.364961624145508 1627934278 3 0x8243ee52807244313b3e3dc6100f649a2274a6124aecdbd3583afc969c87de93 0x4c533446e6162b7555a3457cae5946d91d71e11d6f132ba662ac34f4d362a08e 1 6 610 0 0 0 0
22 53.194 8.706624031066895 1627934293 4 0x359be7f111268a844b9b7421ed55134ab331e1b2d2cf34418132d5fceeab524b 0x8243ee52807244313b3e3dc6100f649a2274a6124aecdbd3583afc969c87de93 1 7 610 0 0 0 0
22 61.01 1.458136796951294 1627934308 5 0x0595795393505b2496d2b0ff97d0c3e45d228c7b61d8dff0cf8d6518b0182737 0x359be7f111268a844b9b7421ed55134ab331e1b2d2cf34418132d5fceeab524b 1 8 610 0 0 0 0
22 73.649 29.062284469604492 1627934293 4 0x1e63ef3b12319a80f3f8227724e56422c944f8d0de6a6a4dd3e7a1b660b37e15 0x0094cac29d6af4668ce56dbb92914a79f78e838f5123cad8b395111820f3f450 1 8 610 0 0 0 0
22 74.133 14.68970537185669 1627934308 5 0x3e3de9dfb8ae61db60d4dbe233bda235265c9a689f77b844964ae4e842b9497e 0x1e63ef3b12319a80f3f8227724e56422c944f8d0de6a6a4dd3e7a1b660b37e15 1 9 610 0 0 0 0
