ID TIME pos
11 5.253 [0.40624577250178123, -0.3953204927782607] []
11 10.272 [0.40624577250178123, -0.3953204927782607] []
11 15.37 [0.40624577250178123, -0.3953204927782607] []
11 20.439 [0.40624577250178123, -0.3953204927782607] []
11 25.485 [0.40624577250178123, -0.3953204927782607] []
11 30.545 [0.40624577250178123, -0.3953204927782607] []
11 35.62 [0.40624577250178123, -0.3953204927782607] []
11 40.65 [0.40624577250178123, -0.3953204927782607] []
11 45.693 [0.40624577250178123, -0.3953204927782607] [(41390, 36710, 1676587408, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 41390, 36710), (48679, -27098, 1676587416, 0, 1, 10000000000000000000, 10000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 48679, -27098), (-30518, -42421, 1676587422, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -30518, -42421)]
11 89.977 [0.40624577250178123, -0.3953204927782607] [(41252, 36424, 1676587408, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 41390, 36710), (48679, -27098, 1676587416, 0, 1, 10000000000000000000, 10000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 48679, -27098), (-30518, -42421, 1676587422, 3, 1, 10000000000000000000, 10000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -30518, -42421)]
11 125.54 [0.40624577250178123, -0.3953204927782607] [(41252, 36424, 1676587408, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 41390, 36710), (44400, -32991, 1676587416, 0, 2, 20555555555555555000, 20555555555555555000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 44400, -32991), (-30518, -42421, 1676587422, 3, 1, 10000000000000000000, 10000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -30518, -42421)]
11 158.266 [0.40624577250178123, -0.3953204927782607] [(41252, 36424, 1676587408, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 41390, 36710), (44562, -34200, 1676587416, 0, 8, 83333333333333330000, 62222222222222220000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 43433, -36786), (-30518, -42421, 1676587422, 3, 1, 10000000000000000000, 10000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -30518, -42421)]
11 183.709 [0.40624577250178123, -0.3953204927782607] [(41252, 36424, 1676587408, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 41390, 36710), (44674, -33929, 1676587548, 1, 10, 103888888888888885000, 72222222222222220000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 43230, -37059), (-30518, -42421, 1676587422, 3, 1, 10000000000000000000, 10000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -30518, -42421), (47678, -29811, 1676587546, 0, 2, 21111111111111110000, 10555555555555555000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 1, 47563, -32193)]
11 225.48 [0.40624577250178123, -0.3953204927782607] [(41252, 36424, 1676587408, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 41390, 36710), (44674, -33929, 1676587598, 1, 10, 103888888888888885000, 72222222222222220000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 43230, -37059), (-30518, -42421, 1676587422, 3, 1, 10000000000000000000, 10000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -30518, -42421), (46366, -32580, 1676587546, 0, 7, 76547619047619046000, 40912698412698412000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 1, 45651, -35313), (39356, -47802, 1676587582, 0, 4, 35634920634920637000, 35634920634920637000, 1, '0xc8529dE5603FF9D6FE9A77d43c27D3e7085B4E43', 0, 39356, -47802), (41390, 36710, 1676587588, 3, 1, 5000000000000000000, 5000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 41390, 36710)]
