ID TIME pos
14 0.005 [0, 0] [0.46328539902163157, 0.18742737993338576]
14 5.039 [0, 0] [0.46328539902163157, 0.18742737993338576]
14 10.153 [0, 0] [0.46328539902163157, 0.18742737993338576]
14 15.236 [0, 0] [0.46328539902163157, 0.18742737993338576]
14 20.244 [0, 0] [0.46328539902163157, 0.18742737993338576]
14 25.247 [0, 0] [0.46328539902163157, 0.18742737993338576]
14 30.345 [0, 0] [0.46328539902163157, 0.18742737993338576]
14 35.44 [0, 0] [0.46328539902163157, 0.18742737993338576]
14 40.453 [0, 0] [0.46328539902163157, 0.18742737993338576]
14 45.542 [0, 0] [0.46328539902163157, 0.18742737993338576]
14 50.543 [0, 0] [0.46328539902163157, 0.18742737993338576]
14 55.642 [0, 0] [0.46328539902163157, 0.18742737993338576]
14 60.74 [0, 0] [0.46328539902163157, 0.18742737993338576]
14 65.834 [0, 0] [0.46328539902163157, 0.18742737993338576]
14 70.848 [0, 0] [0.46328539902163157, 0.18742737993338576]
