ID TIME pos
1 0.101 [0, 0] [0.5146479101499363, -0.546950197752196]
1 5.105 [0, 0] [0.5146479101499363, -0.546950197752196]
1 10.112 [0, 0] [0.5146479101499363, -0.546950197752196]
1 15.118 [0, 0] [0.5146479101499363, -0.546950197752196]
1 20.125 [0, 0] [0.5146479101499363, -0.546950197752196]
1 25.132 [0, 0] [0.5146479101499363, -0.546950197752196]
1 30.138 [0, 0] [0.5146479101499363, -0.546950197752196]
1 35.144 [0, 0] [0.5146479101499363, -0.546950197752196]
1 40.15 [0, 0] [0.5146479101499363, -0.546950197752196]
1 45.156 [0, 0] [0.5146479101499363, -0.546950197752196]
1 50.162 [0, 0] [0.5146479101499363, -0.546950197752196]
1 55.168 [0, 0] [0.5146479101499363, -0.546950197752196]
1 60.175 [0, 0] [0.5146479101499363, -0.546950197752196]
1 65.182 [0, 0] [0.5146479101499363, -0.546950197752196]
1 70.188 [0, 0] [0.5146479101499363, -0.546950197752196]
1 75.195 [0, 0] [0.5146479101499363, -0.546950197752196]
1 80.202 [0, 0] [0.5146479101499363, -0.546950197752196]
1 85.209 [0, 0] [0.5146479101499363, -0.546950197752196]
1 90.216 [0, 0] [0.5146479101499363, -0.546950197752196]
1 95.222 [0, 0] [0.5146479101499363, -0.546950197752196]
1 100.229 [0, 0] [0.5146479101499363, -0.546950197752196]
1 105.235 [0, 0] [0.5146479101499363, -0.546950197752196]
1 110.241 [0, 0] [0.5146479101499363, -0.546950197752196]
1 115.247 [0, 0] [0.5146479101499363, -0.546950197752196]
1 120.253 [0, 0] [0.5146479101499363, -0.546950197752196]
1 125.26 [0, 0] [0.5146479101499363, -0.546950197752196]
1 130.267 [0, 0] [0.5146479101499363, -0.546950197752196]
1 135.273 [0, 0] [0.5146479101499363, -0.546950197752196]
1 140.28 [0, 0] [0.5146479101499363, -0.546950197752196]
1 145.287 [0.52027, -0.55854] [0.5146479101499363, -0.546950197752196]
1 150.294 [0.52033, -0.5577] [0.5146479101499363, -0.546950197752196]
1 155.301 [0.5184950000000002, -0.5584899999999999] [0.5146479101499363, -0.546950197752196]
1 160.307 [0.5184300000000002, -0.55853] [0.5146479101499363, -0.546950197752196]
1 165.312 [0.5184300000000002, -0.55853] [0.5146479101499363, -0.546950197752196]
1 170.319 [0.5125133333333335, -0.61238] [0.5146479101499363, -0.546950197752196]
1 175.325 [0.5138, -0.5983539999999999] [0.5146479101499363, -0.546950197752196]
1 180.332 [0.513506, -0.59826] [0.5146479101499363, -0.546950197752196]
1 185.339 [0.5124533333333334, -0.588785] [0.5146479101499363, -0.546950197752196]
1 190.345 [0.5124383333333334, -0.5888133333333334] [0.5146479101499363, -0.546950197752196]
1 195.35 [0.5122014285714286, -0.5915985714285714] [0.5146479101499363, -0.546950197752196]
1 200.357 [0.51227625, -0.5903825] [0.5146479101499363, -0.546950197752196]
1 205.364 [0.5107663636363636, -0.5838327272727273] [0.5146479101499363, -0.546950197752196]
1 210.371 [0.5102870461944033, -0.5813562084086759] [0.5146479101499363, -0.546950197752196]
1 215.376 [0.5101878154251726, -0.5813008237932913] [0.5146479101499363, -0.546950197752196]
1 220.383 [0.5099916615790187, -0.5813415930240606] [0.5146479101499363, -0.546950197752196]
1 225.39 [0.5099516615790187, -0.5813577468702144] [0.5146479101499363, -0.546950197752196]
1 230.396 [0.5099432000405572, -0.5813615930240605] [0.5146479101499363, -0.546950197752196]
1 235.402 [0.5098139692713264, -0.581686208408676] [0.5146479101499363, -0.546950197752196]
1 240.409 [0.5118108923482496, -0.5813123622548297] [0.5146479101499363, -0.546950197752196]
1 245.415 [0.5119432000405573, -0.5802154391779066] [0.5146479101499363, -0.546950197752196]
1 250.421 [0.5135124308097878, -0.5802046699471374] [0.5146479101499363, -0.546950197752196]
1 255.429 [0.5140801143233744, -0.5774871935223419] [0.5146479101499363, -0.546950197752196]
1 260.435 [0.5141058286090888, -0.5775236220937706] [0.5146479101499363, -0.546950197752196]
1 265.442 [0.5141251143233746, -0.5774843363794849] [0.5146479101499363, -0.546950197752196]
1 270.449 [0.5141465428948031, -0.5772700506651992] [0.5146479101499363, -0.546950197752196]
1 275.455 [0.5141465428948031, -0.5772700506651992] [0.5146479101499363, -0.546950197752196]
1 280.462 [0.5141486857519458, -0.575955050665199] [0.5146479101499363, -0.546950197752196]
1 285.468 [0.5141479714662316, -0.5759464792366277] [0.5146479101499363, -0.546950197752196]
1 290.475 [0.514108685751946, -0.5760307649509134] [0.5146479101499363, -0.546950197752196]
