ID TIME pos
13 0.095 [0, 0] [0.5146479101499363, -0.546950197752196]
13 5.105 [0, 0] [0.5146479101499363, -0.546950197752196]
13 10.116 [0, 0] [0.5146479101499363, -0.546950197752196]
13 15.118 [0, 0] [0.5146479101499363, -0.546950197752196]
13 20.125 [0, 0] [0.5146479101499363, -0.546950197752196]
13 25.137 [0, 0] [0.5146479101499363, -0.546950197752196]
13 30.139 [0, 0] [0.5146479101499363, -0.546950197752196]
13 35.144 [0, 0] [0.5146479101499363, -0.546950197752196]
13 40.153 [0, 0] [0.5146479101499363, -0.546950197752196]
13 45.154 [0, 0] [0.5146479101499363, -0.546950197752196]
13 50.16 [0, 0] [0.5146479101499363, -0.546950197752196]
13 55.169 [0, 0] [0.5146479101499363, -0.546950197752196]
13 60.175 [0, 0] [0.5146479101499363, -0.546950197752196]
13 65.182 [0, 0] [0.5146479101499363, -0.546950197752196]
13 70.192 [0.4956615767629525, -0.7782209551103973] [0.5146479101499363, -0.546950197752196]
13 75.201 [0.4956615767629525, -0.7782559551103971] [0.5146479101499363, -0.546950197752196]
13 80.301 [0.4956615767629525, -0.7782559551103971] [0.5146479101499363, -0.546950197752196]
13 85.316 [0.4956615767629525, -0.7782559551103971] [0.5146479101499363, -0.546950197752196]
13 90.418 [0.5006777178419684, -0.7201106367402649] [0.5146479101499363, -0.546950197752196]
13 95.429 [0.5006843845086351, -0.7200773034069314] [0.5146479101499363, -0.546950197752196]
13 100.429 [0.5006843845086351, -0.7200773034069314] [0.5146479101499363, -0.546950197752196]
13 105.436 [0.5006843845086351, -0.7200773034069314] [0.5146479101499363, -0.546950197752196]
13 110.439 [0.5006843845086351, -0.7200773034069314] [0.5146479101499363, -0.546950197752196]
13 115.445 [0.5006843845086351, -0.7200773034069314] [0.5146479101499363, -0.546950197752196]
13 120.452 [0.5006843845086351, -0.7200773034069314] [0.5146479101499363, -0.546950197752196]
13 125.457 [0.5006843845086351, -0.7200773034069314] [0.5146479101499363, -0.546950197752196]
13 130.471 [0.5006843845086351, -0.7200773034069314] [0.5146479101499363, -0.546950197752196]
13 135.473 [0.5006843845086351, -0.7200773034069314] [0.5146479101499363, -0.546950197752196]
13 140.483 [0.5006843845086351, -0.7200773034069314] [0.5146479101499363, -0.546950197752196]
13 145.486 [0.5006843845086351, -0.7200773034069314] [0.5146479101499363, -0.546950197752196]
13 150.495 [0.5006843845086351, -0.7200773034069314] [0.5146479101499363, -0.546950197752196]
13 155.5 [0.5006843845086351, -0.7200773034069314] [0.5146479101499363, -0.546950197752196]
13 160.511 [0.5006843845086351, -0.7200773034069314] [0.5146479101499363, -0.546950197752196]
13 165.513 [0.5006843845086351, -0.7200773034069314] [0.5146479101499363, -0.546950197752196]
13 170.518 [0.5006843845086351, -0.7200773034069314] [0.5146479101499363, -0.546950197752196]
13 175.526 [0.5038532883814762, -0.6914429775551986] [0.5146479101499363, -0.546950197752196]
13 180.533 [0.5038532883814762, -0.6914429775551986] [0.5146479101499363, -0.546950197752196]
13 185.543 [0.5038532883814762, -0.6914429775551986] [0.5146479101499363, -0.546950197752196]
13 190.544 [0.5038532883814762, -0.6914429775551986] [0.5146479101499363, -0.546950197752196]
13 195.551 [0.5038532883814762, -0.6914429775551986] [0.5146479101499363, -0.546950197752196]
13 200.558 [0.5038532883814762, -0.6914429775551986] [0.5146479101499363, -0.546950197752196]
13 205.561 [0.5038532883814762, -0.6914429775551986] [0.5146479101499363, -0.546950197752196]
13 210.577 [0.5038532883814762, -0.6914429775551986] [0.5146479101499363, -0.546950197752196]
13 215.579 [0.5038532883814762, -0.6914429775551986] [0.5146479101499363, -0.546950197752196]
13 220.581 [0.506828630705181, -0.6512063820441589] [0.5146479101499363, -0.546950197752196]
13 225.598 [0.506828630705181, -0.6512263820441588] [0.5146479101499363, -0.546950197752196]
13 230.695 [0.506828630705181, -0.6512263820441588] [0.5146479101499363, -0.546950197752196]
13 235.7 [0.506828630705181, -0.6512263820441588] [0.5146479101499363, -0.546950197752196]
13 240.708 [0.506828630705181, -0.6512263820441588] [0.5146479101499363, -0.546950197752196]
13 245.712 [0.506828630705181, -0.6512263820441588] [0.5146479101499363, -0.546950197752196]
13 250.731 [0.506828630705181, -0.6512263820441588] [0.5146479101499363, -0.546950197752196]
13 255.826 [0.506828630705181, -0.6512263820441588] [0.5146479101499363, -0.546950197752196]
13 260.826 [0.506828630705181, -0.6512263820441588] [0.5146479101499363, -0.546950197752196]
13 265.836 [0.5056755255876508, -0.6368203183701323] [0.5146479101499363, -0.546950197752196]
13 270.84 [0.5057838589209842, -0.6381786517034657] [0.5146479101499363, -0.546950197752196]
13 275.846 [0.5057838589209842, -0.6381786517034657] [0.5146479101499363, -0.546950197752196]
13 280.852 [0.5061721922543175, -0.638686985036799] [0.5146479101499363, -0.546950197752196]
13 285.859 [0.5084318790751293, -0.624943130031542] [0.5146479101499363, -0.546950197752196]
13 290.865 [0.507837017058434, -0.6129235455800883] [0.5146479101499363, -0.546950197752196]
13 295.873 [0.5078481281695449, -0.6127057678023105] [0.5146479101499363, -0.546950197752196]
13 300.878 [0.5078481281695449, -0.6127057678023105] [0.5146479101499363, -0.546950197752196]
13 305.885 [0.5078481281695449, -0.6127057678023105] [0.5146479101499363, -0.546950197752196]
13 310.891 [0.5078481281695449, -0.6127057678023105] [0.5146479101499363, -0.546950197752196]
13 315.897 [0.5078481281695449, -0.6127057678023105] [0.5146479101499363, -0.546950197752196]
13 320.904 [0.5078481281695449, -0.6127057678023105] [0.5146479101499363, -0.546950197752196]
