ID TIME pos
5 0.098 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 5.106 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 10.112 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 15.118 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 20.126 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 25.133 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 30.141 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 35.146 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 40.152 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 45.158 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 50.166 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 55.171 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 60.178 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 65.185 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 70.192 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 75.199 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 80.205 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 85.212 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 90.219 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 95.227 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 100.233 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 105.24 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 110.241 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 115.249 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 120.256 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 125.263 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 130.267 [0, 0] [0.2351847657052092, -0.39404647341442467]
5 135.274 [0.39799000000000007, 0.57857] [0.2351847657052092, -0.39404647341442467]
5 140.281 [0.39799000000000007, 0.57857] [0.2351847657052092, -0.39404647341442467]
5 145.288 [0.39799000000000007, 0.57857] [0.2351847657052092, -0.39404647341442467]
5 150.295 [0.31766195877548076, 0.07425514842660574] [0.2351847657052092, -0.39404647341442467]
5 155.306 [0.31766195877548076, 0.07425514842660574] [0.2351847657052092, -0.39404647341442467]
5 160.309 [0.3089179725169872, -0.03997323438226282] [0.2351847657052092, -0.39404647341442467]
5 165.316 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 170.323 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 175.33 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 180.336 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 185.341 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 190.346 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 195.354 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 200.361 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 205.369 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 210.374 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 215.38 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 220.39 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 225.393 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 230.4 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 235.405 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 240.414 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 245.417 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 250.424 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 255.431 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 260.438 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 265.444 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 270.451 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 275.458 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 280.465 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 285.471 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 290.477 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 295.486 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 300.492 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 305.496 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 310.505 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 315.511 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 320.512 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
5 325.522 [0.3088846391836538, -0.04041656771559617] [0.2351847657052092, -0.39404647341442467]
