ID TIME pos
12 0.006 [0, 0] [0.46328539902163157, 0.18742737993338576]
12 5.039 [0, 0] [0.46328539902163157, 0.18742737993338576]
12 10.039 [0, 0] [0.46328539902163157, 0.18742737993338576]
12 15.149 [0, 0] [0.46328539902163157, 0.18742737993338576]
12 20.243 [0, 0] [0.46328539902163157, 0.18742737993338576]
12 25.246 [0, 0] [0.46328539902163157, 0.18742737993338576]
12 30.344 [0, 0] [0.46328539902163157, 0.18742737993338576]
12 35.44 [0, 0] [0.46328539902163157, 0.18742737993338576]
12 40.454 [0, 0] [0.46328539902163157, 0.18742737993338576]
12 45.542 [0, 0] [0.46328539902163157, 0.18742737993338576]
12 50.543 [0, 0] [0.46328539902163157, 0.18742737993338576]
12 55.643 [0, 0] [0.46328539902163157, 0.18742737993338576]
12 60.74 [0, 0] [0.46328539902163157, 0.18742737993338576]
12 65.835 [0, 0] [0.46328539902163157, 0.18742737993338576]
12 70.847 [0, 0] [0.46328539902163157, 0.18742737993338576]
