ID TIME pos
5 0.099 [0, 0] [-0.4151936453729273, 0.22974086911812752]
5 5.108 [0, 0] [-0.4151936453729273, 0.22974086911812752]
5 10.113 [0, 0] [-0.4151936453729273, 0.22974086911812752]
5 15.12 [0, 0] [-0.4151936453729273, 0.22974086911812752]
5 20.127 [0, 0] [-0.4151936453729273, 0.22974086911812752]
5 25.135 [0, 0] [-0.4151936453729273, 0.22974086911812752]
5 30.14 [0, 0] [-0.4151936453729273, 0.22974086911812752]
5 35.147 [0, 0] [-0.4151936453729273, 0.22974086911812752]
5 40.156 [0, 0] [-0.4151936453729273, 0.22974086911812752]
5 45.159 [0, 0] [-0.4151936453729273, 0.22974086911812752]
5 50.167 [0, 0] [-0.4151936453729273, 0.22974086911812752]
5 55.173 [0, 0] [-0.4151936453729273, 0.22974086911812752]
5 60.176 [0, 0] [-0.4151936453729273, 0.22974086911812752]
5 65.186 [0, 0] [-0.4151936453729273, 0.22974086911812752]
5 70.193 [0, 0] [-0.4151936453729273, 0.22974086911812752]
5 75.198 [0, 0] [-0.4151936453729273, 0.22974086911812752]
5 80.205 [0, 0] [-0.4151936453729273, 0.22974086911812752]
5 85.209 [0, 0] [-0.4151936453729273, 0.22974086911812752]
5 90.216 [-0.51355, 0.17598000000000003] [-0.4151936453729273, 0.22974086911812752]
5 95.224 [-0.51355, 0.17598000000000003] [-0.4151936453729273, 0.22974086911812752]
5 100.232 [-0.5460499999999999, 0.1805699999999999] [-0.4151936453729273, 0.22974086911812752]
5 105.235 [-0.58131, 0.18964999999999987] [-0.4151936453729273, 0.22974086911812752]
5 110.239 [-0.5994375000000001, 0.19799500000000003] [-0.4151936453729273, 0.22974086911812752]
5 115.246 [-0.6107366666666666, 0.20671833333333334] [-0.4151936453729273, 0.22974086911812752]
5 120.252 [-0.61256875, 0.20094875] [-0.4151936453729273, 0.22974086911812752]
5 125.257 [-0.6078955555555555, 0.19915333333333335] [-0.4151936453729273, 0.22974086911812752]
5 130.265 [-0.6080044444444445, 0.19872666666666663] [-0.4151936453729273, 0.22974086911812752]
5 135.275 [-0.5891728713526715, 0.19581154066773288] [-0.4151936453729273, 0.22974086911812752]
5 140.279 [-0.5892301440799442, 0.19582972248591474] [-0.4151936453729273, 0.22974086911812752]
5 145.287 [-0.5892374168072171, 0.1958297224859148] [-0.4151936453729273, 0.22974086911812752]
5 150.291 [-0.5877401440799443, 0.1961479043040966] [-0.4151936453729273, 0.22974086911812752]
5 155.299 [-0.5873637804435806, 0.19613063157682384] [-0.4151936453729273, 0.22974086911812752]
5 160.306 [-0.5873637804435806, 0.19613063157682384] [-0.4151936453729273, 0.22974086911812752]
5 165.31 [-0.5860159654066155, 0.19624474561208852] [-0.4151936453729273, 0.22974086911812752]
5 170.317 [-0.5858134654066156, 0.19619141227875517] [-0.4151936453729273, 0.22974086911812752]
5 175.325 [-0.5854501320732822, 0.19623224561208855] [-0.4151936453729273, 0.22974086911812752]
5 180.327 [-0.5852876320732822, 0.1962114122787552] [-0.4151936453729273, 0.22974086911812752]
5 185.337 [-0.5852876320732822, 0.1962114122787552] [-0.4151936453729273, 0.22974086911812752]
5 190.344 [-0.5893708911445682, 0.19588284210346635] [-0.4151936453729273, 0.22974086911812752]
5 195.35 [-0.589010121913799, 0.19590130364192787] [-0.4151936453729273, 0.22974086911812752]
5 200.354 [-0.5881062757599528, 0.19537053441115865] [-0.4151936453729273, 0.22974086911812752]
5 205.363 [-0.583476541777099, 0.19655621052464736] [-0.4151936453729273, 0.22974086911812752]
5 210.37 [-0.5835643989199563, 0.1965790676675045] [-0.4151936453729273, 0.22974086911812752]
5 215.377 [-0.5835636846342419, 0.19657978195321876] [-0.4151936453729273, 0.22974086911812752]
5 220.383 [-0.5835636846342419, 0.19657978195321876] [-0.4151936453729273, 0.22974086911812752]
5 225.389 [-0.5835636846342419, 0.19657978195321876] [-0.4151936453729273, 0.22974086911812752]
5 230.397 [-0.5819893989199562, 0.19883335338179023] [-0.4151936453729273, 0.22974086911812752]
5 235.405 [-0.5830894389919591, 0.20016779648967084] [-0.4151936453729273, 0.22974086911812752]
5 240.412 [-0.5831867723252924, 0.19988846315633751] [-0.4151936453729273, 0.22974086911812752]
5 245.418 [-0.583199438991959, 0.19987979648967086] [-0.4151936453729273, 0.22974086911812752]
5 250.423 [-0.583199438991959, 0.19987979648967086] [-0.4151936453729273, 0.22974086911812752]
5 255.43 [-0.583199438991959, 0.19987979648967086] [-0.4151936453729273, 0.22974086911812752]
5 260.435 [-0.583199438991959, 0.19987979648967086] [-0.4151936453729273, 0.22974086911812752]
5 265.442 [-0.583199438991959, 0.19987979648967086] [-0.4151936453729273, 0.22974086911812752]
5 270.45 [-0.583199438991959, 0.19987979648967086] [-0.4151936453729273, 0.22974086911812752]
5 275.455 [-0.583199438991959, 0.19987979648967086] [-0.4151936453729273, 0.22974086911812752]
5 280.464 [-0.583199438991959, 0.19987979648967086] [-0.4151936453729273, 0.22974086911812752]
5 285.469 [-0.583199438991959, 0.19987979648967086] [-0.4151936453729273, 0.22974086911812752]
5 290.476 [-0.583199438991959, 0.19987979648967086] [-0.4151936453729273, 0.22974086911812752]
5 295.483 [-0.583199438991959, 0.19987979648967086] [-0.4151936453729273, 0.22974086911812752]
5 300.491 [-0.5829141056586256, 0.20004046315633756] [-0.4151936453729273, 0.22974086911812752]
5 305.493 [-0.5827767723252922, 0.20012779648967086] [-0.4151936453729273, 0.22974086911812752]
5 310.503 [-0.5827414389919591, 0.20014446315633755] [-0.4151936453729273, 0.22974086911812752]
5 315.511 [-0.5827941056586255, 0.20015246315633753] [-0.4151936453729273, 0.22974086911812752]
5 320.518 [-0.5818761056586258, 0.20004512982300418] [-0.4151936453729273, 0.22974086911812752]
5 325.525 [-0.5818574389919591, 0.20005779648967084] [-0.4151936453729273, 0.22974086911812752]
5 330.531 [-0.5803727723252924, 0.20078446315633752] [-0.4151936453729273, 0.22974086911812752]
5 335.539 [-0.5807974389919591, 0.2004191298230042] [-0.4151936453729273, 0.22974086911812752]
5 340.547 [-0.5792954389919591, 0.20066646315633754] [-0.4151936453729273, 0.22974086911812752]
5 345.554 [-0.5791407723252924, 0.20083246315633752] [-0.4151936453729273, 0.22974086911812752]
5 350.558 [-0.5786867723252924, 0.2008277964896709] [-0.4151936453729273, 0.22974086911812752]
5 355.566 [-0.5783354389919589, 0.2010164631563375] [-0.4151936453729273, 0.22974086911812752]
5 360.573 [-0.5783354389919589, 0.2010164631563375] [-0.4151936453729273, 0.22974086911812752]
5 365.578 [-0.5783354389919589, 0.2010164631563375] [-0.4151936453729273, 0.22974086911812752]
5 370.585 [-0.5760714389919589, 0.20165579648967083] [-0.4151936453729273, 0.22974086911812752]
5 375.593 [-0.5760714389919589, 0.20165579648967083] [-0.4151936453729273, 0.22974086911812752]
5 380.6 [-0.5760594389919589, 0.2016584631563375] [-0.4151936453729273, 0.22974086911812752]
5 385.606 [-0.5746541056586256, 0.2023124631563375] [-0.4151936453729273, 0.22974086911812752]
5 390.613 [-0.5692621056586256, 0.20407846315633751] [-0.4151936453729273, 0.22974086911812752]
5 395.619 [-0.5687767723252922, 0.20429312982300415] [-0.4151936453729273, 0.22974086911812752]
5 400.625 [-0.568711438991959, 0.20431512982300415] [-0.4151936453729273, 0.22974086911812752]
5 405.632 [-0.5683954389919589, 0.2043124631563375] [-0.4151936453729273, 0.22974086911812752]
5 410.637 [-0.5684001056586256, 0.20436446315633752] [-0.4151936453729273, 0.22974086911812752]
5 415.644 [-0.5684001056586256, 0.20436446315633752] [-0.4151936453729273, 0.22974086911812752]
5 420.651 [-0.5680034389919589, 0.2043464631563375] [-0.4151936453729273, 0.22974086911812752]
5 425.658 [-0.5679467723252923, 0.2043624631563375] [-0.4151936453729273, 0.22974086911812752]
5 430.664 [-0.5679467723252923, 0.2043624631563375] [-0.4151936453729273, 0.22974086911812752]
5 435.671 [-0.5679467723252923, 0.2043624631563375] [-0.4151936453729273, 0.22974086911812752]
