ID TIME cluster
8 1676835535.944 (-58347, 8266, 1676830169, 2, 10, 50000000000000000000, 5000000000000000000, 0, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 0, -58326, 8063) 0
8 1676835535.945 (-8237, 65887, 1676835540, 1, 10, 51111111111111110000, 45972222222222221000, 1, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -8144, 66642) 1
8 1676835535.946 (43556, -40172, 1676830224, 2, 10, 49587191358024692000, 5000000000000000000, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 44603, -40544) 0
8 1676835535.947 (-62752, 18288, 1676830242, 2, 10, 49726080246913581000, 15420524691358025000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 1, -65204, 27738) 1
8 1676835535.948 (-8761, 67542, 1676835540, 1, 10, 49212962962962963500, 49212962962962963500, 1, '0xBa1CD5ded4B25dF273d435c969a01dc0B577c95c', 1, -8761, 67542) 1
8 1676835535.949 (43945, -40515, 1676830436, 2, 10, 49669174382716050000, 5000000000000000000, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 44432, -41213) 0
8 1676835535.949 (-66850, 30857, 1676835540, 1, 10, 48900462962962963500, 48900462962962963500, 1, '0xc8529dE5603FF9D6FE9A77d43c27D3e7085B4E43', 1, -66850, 30857) 1
8 1676835535.95 (-9194, 64047, 1676835540, 1, 10, 52397762345679012000, 40867091049382715000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 1, -9730, 64025) 1
8 1676835535.951 (-65236, 28473, 1676835540, 1, 10, 53648696711033951000, 47867838541666667000, 1, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 1, -65285, 28847) 1
8 1676835535.952 (-12948, 85553, 1676830720, 2, 10, 48974534860200188500, 22019472475405092500, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -9155, 82088) 0
8 1676835535.952 (45585, -42475, 1676830728, 2, 10, 51979870486161346500, 2500000000000000000, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 45946, -42835) 0
8 1676835535.953 (-65407, 28930, 1676835540, 1, 10, 51826546249075681300, 48522871480557163300, 1, '0xc8529dE5603FF9D6FE9A77d43c27D3e7085B4E43', 1, -65286, 28937) 1
8 1676835535.953 (-9053, 72188, 1676835540, 1, 10, 48685671373322832400, 37854107975796254400, 1, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 1, -7748, 68846) 1
8 1676835535.954 (-13788, -79936, 1676835540, 1, 10, 54756044392178034700, 36778834405313849500, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, -13135, -80427) 1
8 1676835535.954 (-65011, 30157, 1676835540, 1, 10, 53196174736703209800, 48538273647815929300, 1, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 1, -65142, 30178) 1
8 1676835535.955 (-12414, 67026, 1676835540, 1, 10, 52793396984466386000, 48661617547045868500, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 1, -12338, 67254) 1
8 1676835535.956 (44375, -41692, 1676831246, 2, 10, 48713449871978469300, 1875000000000000000, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 43327, -42785) 0
8 1676835535.956 (-62855, 31213, 1676835540, 1, 10, 46691452480525499500, 40284901647564771500, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 1, -62999, 31148) 1
8 1676835535.957 (-15315, -83167, 1676835540, 1, 10, 51009396722645792900, 51009396722645792900, 1, '0x0fa9077350FC3Ee6924743e1AD9b735c657C455E', 1, -15315, -83167) 1
8 1676835535.957 (44925, -42616, 1676831420, 2, 10, 53305490041738747500, 1875000000000000000, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 45622, -43595) 0
8 1676835535.958 (-5378, 64587, 1676835540, 1, 10, 57746983232133621400, 51735974488411897400, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 1, -5712, 65400) 1
8 1676835535.959 (-13216, -90763, 1676835540, 1, 10, 49246134996205148300, 45271415779793907000, 0, '0xBa1CD5ded4B25dF273d435c969a01dc0B577c95c', 1, -13307, -90798) 1
8 1676835535.96 (-14953, -81478, 1676835540, 1, 10, 55264037317011129400, 51289318100599889000, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, -15242, -81526) 1
8 1676835535.96 (-9156, 67879, 1676835540, 1, 10, 52889652262646248400, 48914933046235008000, 1, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 1, -9422, 68101) 1
8 1676835535.961 (44351, -42992, 1676831744, 2, 10, 50305324293316861900, 937500000000000000, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 43368, -42430) 0
8 1676835535.961 (5520, 78764, 1676831808, 3, 1, 2491347842466368000, 2491347842466368000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 1, 5520, 78764) 0
8 1676835535.962 (43740, -42401, 1676831937, 2, 10, 48085101361852640600, 703125000000000000, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 43745, -40886) 0
8 1676835535.963 (-10136, 71436, 1676835540, 1, 10, 54735206144899420600, 54735206144899420600, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 1, -10136, 71436) 1
8 1676835535.963 (-16185, -80535, 1676835540, 1, 10, 55531301671158775000, 55531301671158775000, 1, '0xc8529dE5603FF9D6FE9A77d43c27D3e7085B4E43', 1, -16185, -80535) 1
8 1676835535.964 (43589, -40942, 1676832147, 2, 10, 54819764327580178100, 637752617122534500, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 44710, -41103) 0
8 1676835535.964 (-9461, 65048, 1676835540, 1, 10, 59024159438547420600, 59024159438547420600, 1, '0x0fa9077350FC3Ee6924743e1AD9b735c657C455E', 1, -9461, 65048) 1
8 1676835535.964 (-14541, -82444, 1676835540, 1, 10, 50319876108874922000, 30171909824818540700, 1, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 1, -14116, -83028) 1
8 1676835535.965 (43925, -40375, 1676832387, 2, 10, 41287294256668824100, 637752617122534500, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 43740, -41286) 0
8 1676835535.965 (-14999, -82393, 1676835540, 1, 10, 59693606858633477400, 59693606858633477400, 1, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 1, -14999, -82393) 1
8 1676835535.965 (-9531, 66184, 1676835540, 1, 10, 61190684284615807000, 49193841318363309000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 1, -8965, 66358) 1
