ID TIME pos
3 0.1 [0, 0] [0.5146479101499363, -0.546950197752196]
3 5.108 [0, 0] [0.5146479101499363, -0.546950197752196]
3 10.112 [0, 0] [0.5146479101499363, -0.546950197752196]
3 15.118 [0, 0] [0.5146479101499363, -0.546950197752196]
3 20.125 [0, 0] [0.5146479101499363, -0.546950197752196]
3 25.132 [0, 0] [0.5146479101499363, -0.546950197752196]
3 30.139 [0, 0] [0.5146479101499363, -0.546950197752196]
3 35.145 [0, 0] [0.5146479101499363, -0.546950197752196]
3 40.152 [0, 0] [0.5146479101499363, -0.546950197752196]
3 45.157 [0, 0] [0.5146479101499363, -0.546950197752196]
3 50.162 [0, 0] [0.5146479101499363, -0.546950197752196]
3 55.167 [0, 0] [0.5146479101499363, -0.546950197752196]
3 60.175 [0, 0] [0.5146479101499363, -0.546950197752196]
3 65.182 [0, 0] [0.5146479101499363, -0.546950197752196]
3 70.188 [0, 0] [0.5146479101499363, -0.546950197752196]
3 75.195 [0.5435300000000001, -0.3516999999999999] [0.5146479101499363, -0.546950197752196]
3 80.202 [0.5435300000000001, -0.3516999999999999] [0.5146479101499363, -0.546950197752196]
3 85.209 [0.5435300000000001, -0.3516999999999999] [0.5146479101499363, -0.546950197752196]
3 90.217 [0.5435300000000001, -0.3516999999999999] [0.5146479101499363, -0.546950197752196]
3 95.222 [0.5435300000000001, -0.3516999999999999] [0.5146479101499363, -0.546950197752196]
3 100.229 [0.5435300000000001, -0.3516999999999999] [0.5146479101499363, -0.546950197752196]
3 105.235 [0.5435300000000001, -0.3516999999999999] [0.5146479101499363, -0.546950197752196]
3 110.241 [0.5271300000000001, -0.477695] [0.5146479101499363, -0.546950197752196]
3 115.246 [0.5271300000000001, -0.477695] [0.5146479101499363, -0.546950197752196]
3 120.253 [0.52349, -0.5221800000000001] [0.5146479101499363, -0.546950197752196]
3 125.261 [0.5116282901059719, -0.5186368216576123] [0.5146479101499363, -0.546950197752196]
3 130.269 [0.5117154329631147, -0.5182368216576123] [0.5146479101499363, -0.546950197752196]
3 135.275 [0.5117254329631147, -0.5182068216576122] [0.5146479101499363, -0.546950197752196]
3 140.281 [0.5117268615345433, -0.5182039645147551] [0.5146479101499363, -0.546950197752196]
3 145.288 [0.5117268615345433, -0.5182039645147551] [0.5146479101499363, -0.546950197752196]
3 150.296 [0.5127585038427254, -0.5200359689504107] [0.5146479101499363, -0.546950197752196]
3 155.304 [0.5087347538427254, -0.5254509689504108] [0.5146479101499363, -0.546950197752196]
3 160.308 [0.5087847538427254, -0.5261047189504108] [0.5146479101499363, -0.546950197752196]
3 165.313 [0.5093842256379781, -0.5299830835114763] [0.5146479101499363, -0.546950197752196]
3 170.32 [0.5093264478602004, -0.5311919724003652] [0.5146479101499363, -0.546950197752196]
3 175.327 [0.5101618030741804, -0.5341037751603287] [0.5146479101499363, -0.546950197752196]
3 180.333 [0.5100868030741803, -0.5347107751603287] [0.5146479101499363, -0.546950197752196]
3 185.338 [0.5099361846128913, -0.5399088865093897] [0.5146479101499363, -0.546950197752196]
3 190.345 [0.5099325482492548, -0.5399797956002987] [0.5146479101499363, -0.546950197752196]
3 195.349 [0.5099325482492548, -0.5399797956002987] [0.5146479101499363, -0.546950197752196]
3 200.357 [0.5099325482492548, -0.5399797956002987] [0.5146479101499363, -0.546950197752196]
3 205.365 [0.5081970937038003, -0.5519616137821169] [0.5146479101499363, -0.546950197752196]
3 210.373 [0.5081970937038003, -0.5519616137821169] [0.5146479101499363, -0.546950197752196]
3 215.379 [0.5090143664310731, -0.5468907046912079] [0.5146479101499363, -0.546950197752196]
3 220.386 [0.5089023358951502, -0.5547431459669405] [0.5146479101499363, -0.546950197752196]
3 225.392 [0.508901502561817, -0.5548606459669406] [0.5146479101499363, -0.546950197752196]
3 230.398 [0.508901502561817, -0.5548606459669406] [0.5146479101499363, -0.546950197752196]
3 235.404 [0.508901502561817, -0.5548606459669406] [0.5146479101499363, -0.546950197752196]
3 240.41 [0.508901502561817, -0.5548606459669406] [0.5146479101499363, -0.546950197752196]
3 245.415 [0.508901502561817, -0.5548606459669406] [0.5146479101499363, -0.546950197752196]
3 250.419 [0.508901502561817, -0.5548606459669406] [0.5146479101499363, -0.546950197752196]
3 255.428 [0.5086952331339848, -0.556334442431022] [0.5146479101499363, -0.546950197752196]
3 260.435 [0.509836002364754, -0.556417519354099] [0.5146479101499363, -0.546950197752196]
3 265.442 [0.5111555736244144, -0.5586555536859491] [0.5146479101499363, -0.546950197752196]
3 270.448 [0.5111584307672715, -0.5588562679716633] [0.5146479101499363, -0.546950197752196]
3 275.455 [0.511287002195843, -0.5588012679716634] [0.5146479101499363, -0.546950197752196]
3 280.462 [0.511237002195843, -0.5579191251145205] [0.5146479101499363, -0.546950197752196]
3 285.468 [0.5112384307672716, -0.5579062679716633] [0.5146479101499363, -0.546950197752196]
3 290.475 [0.5112362879101288, -0.5578884108288064] [0.5146479101499363, -0.546950197752196]
3 295.481 [0.5112362879101288, -0.5578884108288064] [0.5146479101499363, -0.546950197752196]
3 300.487 [0.5112362879101288, -0.5578884108288064] [0.5146479101499363, -0.546950197752196]
3 305.494 [0.5112362879101288, -0.5578884108288064] [0.5146479101499363, -0.546950197752196]
3 310.5 [0.5112362879101288, -0.5578884108288064] [0.5146479101499363, -0.546950197752196]
3 315.508 [0.5112362879101288, -0.5578884108288064] [0.5146479101499363, -0.546950197752196]
3 320.515 [0.5112362879101288, -0.5578884108288064] [0.5146479101499363, -0.546950197752196]
3 325.52 [0.5112362879101288, -0.5578884108288064] [0.5146479101499363, -0.546950197752196]
3 330.525 [0.5112362879101288, -0.5578884108288064] [0.5146479101499363, -0.546950197752196]
3 335.534 [0.5097127164815574, -0.5612391251145205] [0.5146479101499363, -0.546950197752196]
3 340.541 [0.5098277164815574, -0.561290553685949] [0.5146479101499363, -0.546950197752196]
3 345.548 [0.5098355736244146, -0.561322696543092] [0.5146479101499363, -0.546950197752196]
