ID TIME pos
9 1.2 [0, 0] [-0.5137186342178442, 0.26181789366434466] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
9 124.858 [-0.3509500000000001, 0.15766999999999998] [-0.5137186342178442, 0.26181789366434466] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.3509500000000001, 0.15766999999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
9 129.965 [-0.3509500000000001, 0.15766999999999998] [-0.5137186342178442, 0.26181789366434466] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.51772, 0.14346000000000014], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
9 135.07 [-0.3509500000000001, 0.15766999999999998] [-0.5137186342178442, 0.26181789366434466] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.5401199999999999, 0.1475900000000001], [-0.53009, 0.14155000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.5435399999999999, 0.14694999999999991], [0, 0]]
9 140.176 [-0.3509500000000001, 0.15766999999999998] [-0.5137186342178442, 0.26181789366434466] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.5405599999999999, 0.14708999999999994], [-0.5300199999999999, 0.14155000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.53762, 0.14339000000000013], [0, 0]]
9 145.488 [-0.6795878490493917, 0.16556800485371173] [-0.5137186342178442, 0.26181789366434466] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.5406899999999999, 0.14609000000000005], [-0.5300199999999999, 0.14155000000000006], [0, 0], [-0.5374300000000001, 0.1434700000000002], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.5367200000000001, 0.14453000000000005], [-0.5355399999999999, 0.14334999999999987]]
9 150.594 [-0.5381090982995351, 0.14467264816312878] [-0.5137186342178442, 0.26181789366434466] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.5376700000000001, 0.14652999999999983], [-0.5300199999999999, 0.14155000000000006], [0, 0], [-0.5374300000000001, 0.1434700000000002], [0, 0], [0, 0], [0, 0], [-0.53735, 0.14342999999999995], [0, 0], [-0.5367200000000001, 0.14453000000000005], [-0.53555, 0.14334999999999987]]
9 155.795 [-0.5369277627913083, 0.14377932875797192] [-0.5137186342178442, 0.26181789366434466] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.5365800000000001, 0.1461800000000002], [-0.5300199999999999, 0.14155000000000006], [0, 0], [-0.5374300000000001, 0.1434700000000002], [0, 0], [0, 0], [0, 0], [-0.5366200000000001, 0.14333000000000018], [0, 0], [-0.5367200000000001, 0.14453000000000005], [-0.53491, 0.14308999999999994]]
9 161.004 [-0.5364464391051166, 0.1436321557315033] [-0.5137186342178442, 0.26181789366434466] [[0, 0], [0, 0], [0, 0], [-0.5382199999999999, 0.14421000000000017], [-0.5365800000000001, 0.1461800000000002], [-0.5300199999999999, 0.14155000000000006], [0, 0], [-0.5374300000000001, 0.1434700000000002], [0, 0], [0, 0], [0, 0], [-0.53678, 0.14346000000000014], [0, 0], [-0.5367200000000001, 0.14453000000000005], [-0.5348299999999999, 0.1430600000000002]]
9 166.212 [-0.5373466612605137, 0.1439359334898342] [-0.5137186342178442, 0.26181789366434466] [[0, 0], [0, 0], [0, 0], [-0.5376799999999999, 0.14414000000000016], [-0.5365800000000001, 0.1461800000000002], [-0.5300199999999999, 0.14155000000000006], [0, 0], [-0.5374300000000001, 0.1434700000000002], [0, 0], [0, 0], [0, 0], [-0.5367500000000001, 0.14345000000000008], [0, 0], [-0.5375399999999999, 0.14466], [-0.5353399999999999, 0.14324000000000003]]
9 171.316 [-0.5371366325316034, 0.14391223229871675] [-0.5137186342178442, 0.26181789366434466] [[0, 0], [0, 0], [0, 0], [-0.5368900000000001, 0.14408999999999983], [-0.5365800000000001, 0.1461800000000002], [-0.5300199999999999, 0.14155000000000006], [0, 0], [-0.5374300000000001, 0.1434700000000002], [0, 0], [0, 0], [0, 0], [-0.5367500000000001, 0.14345000000000008], [0, 0], [-0.53746, 0.14462999999999981], [-0.53522, 0.14320999999999984]]
9 176.526 [-0.5371325013224102, 0.14391000071433557] [-0.5137186342178442, 0.26181789366434466] [[0, 0], [0, 0], [0, 0], [-0.5368900000000001, 0.14408999999999983], [-0.5365800000000001, 0.1461800000000002], [-0.5300199999999999, 0.14155000000000006], [0, 0], [-0.5374300000000001, 0.1434700000000002], [0, 0], [0, 0], [0, 0], [-0.5367500000000001, 0.14345000000000008], [0, 0], [-0.53746, 0.14462999999999981], [-0.5350900000000001, 0.14308999999999994]]
9 181.927 [-0.5369711689817264, 0.14404648148161375] [-0.5137186342178442, 0.26181789366434466] [[0, 0], [0, 0], [-0.5363500000000001, 0.14459], [-0.5368900000000001, 0.14408999999999983], [-0.5365800000000001, 0.1461800000000002], [-0.5300199999999999, 0.14155000000000006], [0, 0], [-0.5374300000000001, 0.1434700000000002], [0, 0], [0, 0], [0, 0], [-0.5367500000000001, 0.14345000000000008], [0, 0], [-0.53746, 0.14462999999999981], [-0.5350699999999999, 0.1431]]
9 187.038 [-0.5369261639877806, 0.14400516672858557] [-0.5137186342178442, 0.26181789366434466] [[0, 0], [0, 0], [-0.53637, 0.14459], [-0.53661, 0.14387999999999979], [-0.5365800000000001, 0.1461800000000002], [-0.5300199999999999, 0.14155000000000006], [0, 0], [-0.5374300000000001, 0.1434700000000002], [0, 0], [0, 0], [0, 0], [-0.5367500000000001, 0.14345000000000008], [0, 0], [-0.53746, 0.14462999999999981], [-0.5350699999999999, 0.1431]]
9 192.242 [-0.5369240002782908, 0.14400400015004225] [-0.5137186342178442, 0.26181789366434466] [[0, 0], [0, 0], [-0.53637, 0.14459], [-0.53661, 0.14387999999999979], [-0.5365800000000001, 0.1461800000000002], [-0.5300199999999999, 0.14155000000000006], [0, 0], [-0.5374300000000001, 0.1434700000000002], [0, 0], [0, 0], [0, 0], [-0.5367500000000001, 0.14345000000000008], [0, 0], [-0.53746, 0.14462999999999981], [-0.5350699999999999, 0.1431]]
9 197.545 [-0.5370363701132046, 0.14398717258232385] [-0.5137186342178442, 0.26181789366434466] [[0, 0], [0, 0], [-0.53637, 0.14459], [-0.53718, 0.14379000000000008], [-0.5365800000000001, 0.1461800000000002], [-0.5300199999999999, 0.14155000000000006], [0, 0], [-0.5374300000000001, 0.1434700000000002], [0, 0], [0, 0], [0, 0], [-0.5367500000000001, 0.14345000000000008], [0, 0], [-0.53746, 0.14462999999999981], [-0.5350699999999999, 0.1431]]
