ID TIME pos
2 5.055 [0.4074668990529544, 0.3216735600171104] []
2 10.142 [0.4074668990529544, 0.3216735600171104] []
2 15.158 [0.4074668990529544, 0.3216735600171104] []
2 20.163 [0.4074668990529544, 0.3216735600171104] []
2 25.227 [0.4074668990529544, 0.3216735600171104] []
2 35.29 [0.4074668990529544, 0.3216735600171104] []
2 40.366 [0.4074668990529544, 0.3216735600171104] []
2 45.452 [0.4074668990529544, 0.3216735600171104] []
2 50.539 [0.4074668990529544, 0.3216735600171104] []
2 55.617 [0.4074668990529544, 0.3216735600171104] []
2 60.684 [0.4074668990529544, 0.3216735600171104] []
2 65.74 [0.4074668990529544, 0.3216735600171104] []
2 70.797 [0.4074668990529544, 0.3216735600171104] []
2 75.808 [0.4074668990529544, 0.3216735600171104] [(34138, 24241, 1676641714, 0, 1, 10000000000000000000, 10000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 34138, 24241)]
2 100.241 [0.4074668990529544, 0.3216735600171104] [(34185, 30934, 1676641714, 0, 3, 30000000000000000000, 30000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 34185, 30934), (11771, 82584, 1676641746, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 11771, 82584)]
2 133.056 [0.4074668990529544, 0.3216735600171104] [(38304, 29347, 1676641714, 0, 9, 90000000000000000000, 70000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 39349, 31011), (11771, 82584, 1676641746, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 11771, 82584)]
2 138.094 [0.4074668990529544, 0.3216735600171104] [(37806, 28793, 1676641784, 1, 10, 100000000000000000000, 70000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 39349, 31011), (11771, 82584, 1676641746, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 11771, 82584)]
2 181.032 [0.4074668990529544, 0.3216735600171104] [(37806, 28793, 1676641830, 1, 10, 100000000000000000000, 70000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 39349, 31011), (11817, 82494, 1676641746, 0, 4, 39285714285714284000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 11771, 82584), (40063, 32686, 1676641794, 0, 3, 32142857142857142000, 32142857142857142000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 1, 40063, 32686)]
