ID TIME pos
3 0.014 [0, 0] [0.46328539902163157, 0.18742737993338576]
3 5.042 [0, 0] [0.46328539902163157, 0.18742737993338576]
3 10.043 [0, 0] [0.46328539902163157, 0.18742737993338576]
3 15.143 [0, 0] [0.46328539902163157, 0.18742737993338576]
3 20.144 [0, 0] [0.46328539902163157, 0.18742737993338576]
3 25.242 [0, 0] [0.46328539902163157, 0.18742737993338576]
3 30.242 [0, 0] [0.46328539902163157, 0.18742737993338576]
3 35.343 [0, 0] [0.46328539902163157, 0.18742737993338576]
3 40.445 [0, 0] [0.46328539902163157, 0.18742737993338576]
3 45.445 [0, 0] [0.46328539902163157, 0.18742737993338576]
3 50.544 [0, 0] [0.46328539902163157, 0.18742737993338576]
3 55.644 [0, 0] [0.46328539902163157, 0.18742737993338576]
3 60.742 [0, 0] [0.46328539902163157, 0.18742737993338576]
3 65.841 [0, 0] [0.46328539902163157, 0.18742737993338576]
3 70.843 [0, 0] [0.46328539902163157, 0.18742737993338576]
