ID TIME DIST RECRUIT_DIST SCOUT_DIST red green blue yellow TOTAL VALUE
0 0.015 0.047249990389964365 0.047249990389964365 0 0 0 0 0 0 0
0 0.109 0.14699999589638554 0.14699999589638554 0 0 0 0 0 0 0
0 0.209 0.29925002148318286 0.29925002148318286 0 0 0 0 0 0 0
0 0.309 0.5040000259813262 0.5040000259813262 0 0 0 0 0 0 0
0 0.409 0.7612500558898846 0.7612500558898846 0 0 0 0 0 0 0
0 0.527 1.0710000637521808 1.0710000637521808 0 0 0 0 0 0 0
0 0.609 1.4332500487194768 1.4332500487194768 0 0 0 0 0 0 0
0 0.709 1.8480000871310807 1.8480000871310807 0 0 0 0 0 0 0
0 0.805 2.315250064218206 2.315250064218206 0 0 0 0 0 0 0
0 0.904 2.8308002527501217 2.8308002527501217 0 0 0 0 0 0 0
0 1.004 3.3918506821474796 3.3918506821474796 0 0 0 0 0 0 0
0 1.111 3.9984013511594823 3.9984013511594823 0 0 0 0 0 0 0
0 1.209 4.650452314300076 4.650452314300076 0 0 0 0 0 0 0
0 1.315 5.338553265678643 5.338553265678643 0 0 0 0 0 0 0
0 1.408 6.061654198427065 6.061654198427065 0 0 0 0 0 0 0
0 1.506 6.8197548248183315 6.8197548248183315 0 0 0 0 0 0 0
0 1.631 7.59080543970664 7.59080543970664 0 0 0 0 0 0 0
0 1.714 8.372522496245423 8.372522496245423 0 0 0 0 0 0 0
0 1.816 9.1739341691302 9.1739341691302 0 0 0 0 0 0 0
0 1.916 10.00145061054952 10.00145061054952 0 0 0 0 0 0 0
0 2.014 10.858640826783489 10.858640826783489 0 0 0 0 0 0 0
0 2.108 11.742912487421375 11.742912487421375 0 0 0 0 0 0 0
0 2.222 12.654173960229402 12.654173960229402 0 0 0 0 0 0 0
0 2.317 13.591132917492562 13.591132917492562 0 0 0 0 0 0 0
0 2.419 14.556049485496379 14.556049485496379 0 0 0 0 0 0 0
0 2.515 15.549773293183732 15.549773293183732 0 0 0 0 0 0 0
0 2.608 16.572964420839195 16.572964420839195 0 0 0 0 0 0 0
0 2.731 17.62309996386161 17.62309996386161 0 0 0 0 0 0 0
0 2.817 18.700418903424378 18.700418903424378 0 0 0 0 0 0 0
0 2.919 19.80547620769329 19.80547620769329 0 0 0 0 0 0 0
0 3.016 20.93533674333926 20.93533674333926 0 0 0 0 0 0 0
0 3.118 22.09559302133221 22.09559302133221 0 0 0 0 0 0 0
0 3.225 23.287618559120773 23.287618559120773 0 0 0 0 0 0 0
0 3.328 24.51227639392282 24.51227639392282 0 0 0 0 0 0 0
0 3.419 25.761720366215734 25.761720366215734 0 0 0 0 0 0 0
0 3.519 27.032254520061592 27.032254520061592 0 0 0 0 0 0 0
0 3.619 28.3253955739966 28.3253955739966 0 0 0 0 0 0 0
0 3.727 29.641848807644397 29.641848807644397 0 0 0 0 0 0 0
0 3.819 30.98002105960004 30.98002105960004 0 0 0 0 0 0 0
0 3.923 32.34023727158062 32.34023727158062 0 0 0 0 0 0 0
0 4.014 33.72281617760952 33.72281617760952 0 0 0 0 0 0 0
0 4.12 35.12902152274107 35.12902152274107 0 0 0 0 0 0 0
0 4.224 36.559982644053534 36.559982644053534 0 0 0 0 0 0 0
0 4.325 38.01986910650962 38.01986910650962 0 0 0 0 0 0 0
