ID TIME POS
6 0.252 -0.239917i + 0.227552j
6 10.421 -0.63438i + 0.419828j
6 20.522 -0.347285i + 0.599194j
6 30.671 -0.372808i + -0.0459242j
6 40.84 -0.166383i + 0.475079j
6 50.877 -0.160245i + -0.0708009j
6 60.895 -0.0434499i + 0.0229752j
6 70.976 -0.400749i + -0.181478j
6 81.116 0.151048i + -0.37234j
6 91.135 0.0733381i + -0.3688j
6 101.199 0.0103146i + -0.275568j
6 111.341 -0.318748i + -0.208754j
6 121.399 -0.000512743i + -0.228974j
6 131.443 0.077159i + 0.0769817j
6 141.52 0.0957108i + 0.434639j
6 151.576 -0.203508i + 0.742774j
6 161.688 -0.153263i + 0.196007j
6 171.8 -0.279844i + 0.263244j
6 181.808 -0.0731335i + 0.178271j
6 191.93 -0.254856i + 0.174387j
6 202.526 -0.704619i + -0.013006j
6 212.615 -0.34962i + 0.570201j
6 222.626 -0.198503i + 0.205755j
6 232.747 0.126586i + 0.138175j
6 242.809 0.298093i + -0.024973j
6 252.827 0.25495i + -0.557656j
6 262.835 0.22134i + -0.850208j
6 272.916 -0.177925i + -0.892707j
6 283.007 0.146185i + -0.638784j
6 293.039 0.0579302i + -0.666209j
6 303.113 -0.245007i + -0.983662j
6 313.242 -0.449456i + -1.04152j
6 323.247 0.00455983i + -0.768217j
6 333.353 -0.385855i + -0.506549j
6 343.429 -0.0355451i + -0.461669j
6 353.475 0.164131i + -0.0811859j
6 363.502 0.135572i + -0.0929652j
6 373.57 0.228697i + -0.0874796j
6 383.629 0.244741i + -0.443219j
6 393.676 0.254851i + -0.349291j
6 403.74 0.0938585i + -0.121393j
6 413.783 0.273084i + 0.195541j
6 423.904 0.353751i + -0.190997j
6 433.922 0.180453i + -0.0103747j
6 443.937 0.0566501i + -0.734881j
6 454.006 -0.136076i + -0.550326j
6 464.037 -0.045514i + -0.643229j
6 474.108 0.0708087i + -0.463204j
6 484.235 -0.069992i + -0.392006j
6 494.435 -0.0742997i + -0.384728j
6 504.531 -0.0584267i + -0.39759j
6 514.637 -0.142568i + -0.533175j
6 525.017 -0.162851i + -0.700579j
6 535.083 -0.0837692i + -0.32764j
6 545.171 -0.608853i + -0.939355j
6 555.19 -0.253499i + -0.897483j
6 565.326 -0.0460915i + -0.184749j
6 575.416 0.111049i + -0.26153j
6 585.475 -0.101731i + 0.280423j
6 595.499 -0.0413441i + 0.222795j
6 605.578 0.774571i + 0.286363j
6 615.753 0.240713i + 0.366652j
6 626.115 0.504565i + -0.367577j
6 636.476 0.269004i + -0.824542j
6 646.815 0.0433587i + -0.745376j
6 656.984 -0.112921i + -0.931522j
6 667.173 -0.0143656i + -0.748113j
6 677.299 -0.172401i + -0.21134j
6 687.363 -0.116395i + -0.344746j
6 697.445 -0.0603436i + -0.333718j
6 707.519 0.38098i + 0.0904378j
6 717.534 -0.366505i + -0.0638248j
6 727.536 -0.313774i + 0.809768j
6 737.542 -0.702798i + -0.131001j
6 747.623 -0.133648i + 0.00691403j
6 757.656 0.0811961i + 0.262509j
6 767.666 -0.428303i + 0.0539122j
6 777.795 0.223022i + -0.139303j
6 787.885 -0.209391i + 0.165931j
6 798.041 0.382185i + -0.439795j
6 808.394 0.44611i + 0.506663j
6 818.401 0.737183i + -0.213628j
6 828.429 0.341824i + -0.144087j
6 838.606 0.541821i + -0.435979j
6 848.663 0.257186i + -0.244412j
6 858.77 0.411703i + -0.276779j
6 869.076 0.51102i + -0.287884j
6 879.529 -0.014882i + 0.0472623j
6 889.875 -0.23726i + 0.0108275j
6 900.197 -0.0187296i + -0.566058j
6 910.571 -0.288417i + -0.389517j
6 920.863 -0.0991224i + -0.972912j
6 931.106 -0.0468234i + -0.379308j
6 941.397 0.0554623i + -0.122214j
6 951.758 -0.187553i + -0.258844j
6 961.825 0.276617i + 0.280418j
6 972.065 -0.152944i + 0.486884j
6 982.065 0.332992i + 0.493562j
6 992.068 -0.189417i + 0.42769j
6 1002.088 -0.203224i + 0.312537j
6 1012.16 -0.121655i + 0.0098643j
6 1022.174 -0.254337i + 0.230688j
6 1032.234 -0.204534i + 0.192872j
6 1042.28 -0.331118i + 0.41641j
6 1052.401 -0.683895i + 0.0660013j
6 1062.449 -0.324802i + 0.233034j
6 1072.455 -0.352334i + 0.204649j
6 1082.754 -0.370718i + 0.219687j
6 1092.787 -0.306028i + 0.277224j
6 1103.002 0.299494i + -0.0462567j
6 1113.097 0.610909i + -0.240698j
6 1123.111 0.258685i + 0.135667j
6 1133.278 0.452365i + -0.229306j
6 1143.427 0.099579i + 0.038784j
6 1153.534 -0.110244i + -0.397937j
6 1163.562 -0.088287i + -0.192276j
6 1173.738 -0.409598i + -0.353796j
6 1184.031 -0.213083i + -0.240236j
6 1194.057 -0.301606i + -0.420554j
6 1204.166 0.168206i + -0.667819j
6 1214.347 -0.10984i + -0.756796j
6 1224.428 -0.544932i + -0.826445j
6 1234.477 -0.212679i + -0.976568j
6 1244.557 -0.0847804i + -0.465442j
6 1254.601 0.0165897i + -0.144719j
6 1264.624 -0.113709i + 0.119716j
6 1274.719 0.109494i + 0.0639011j
6 1284.762 0.318546i + -0.225487j
6 1294.888 0.0192196i + 0.38998j
6 1304.91 0.319493i + -0.300464j
6 1314.945 0.602185i + -0.363892j
6 1324.978 0.201778i + -0.325128j
6 1335.013 0.146669i + -0.15693j
6 1345.109 -0.0193975i + 0.213661j
6 1355.238 -0.231512i + 0.221333j
6 1365.534 0.0427062i + 0.399684j
6 1375.745 -0.550272i + 0.42603j
6 1385.786 -0.477704i + 0.257334j
6 1395.819 -0.260817i + 0.168516j
6 1405.894 -0.157406i + 0.231736j
6 1416.071 -0.198851i + -0.245908j
6 1426.091 -0.536334i + -0.332021j
6 1436.103 -0.459929i + 0.191657j
6 1446.165 -0.112191i + -0.035238j
6 1456.231 -0.0336837i + -0.653398j
6 1466.476 0.0333704i + -0.612262j
6 1476.754 -0.222902i + -0.506393j
6 1487.046 -0.082408i + -0.776071j
6 1497.271 -0.0355345i + -0.6713j
6 1507.395 -0.0626246i + -0.100671j
6 1517.591 -0.0650475i + 0.286073j
6 1527.857 -0.085179i + 0.278515j
6 1538.185 0.0988306i + -0.326064j
6 1548.36 -0.335598i + 0.174859j
6 1558.404 -0.0974825i + 0.186873j
6 1568.509 -0.42532i + 0.0479591j
6 1578.57 -0.243157i + 0.111344j
6 1588.744 -0.192716i + 0.651429j
6 1598.836 -0.299719i + 0.402548j
6 1608.927 -0.15725i + 0.185767j
6 1619.018 -0.510408i + 0.375049j
6 1629.215 -0.839493i + 0.271994j
6 1639.434 -0.523427i + 0.628818j
6 1649.685 0.013314i + -0.0103497j
6 1659.722 -0.175675i + 0.247847j
6 1669.729 0.0349524i + 0.150532j
6 1679.824 -0.544627i + 0.103368j
6 1689.902 -0.627094i + 0.0978144j
6 1699.983 -0.414828i + -0.0877733j
6 1710.009 -0.0364484i + 0.00687209j
6 1720.114 0.148964i + 0.172548j
6 1730.215 0.533943i + -0.0915645j
6 1740.262 0.103839i + 0.143069j
6 1750.356 0.0266977i + -0.107997j
6 1760.423 -0.477019i + -0.345323j
6 1770.467 0.242236i + -0.468116j
6 1780.478 0.10322i + -0.623787j
6 1790.505 -0.289641i + -0.989188j
6 1800.697 0.0366179i + -0.601462j
6 1810.762 0.0405881i + -0.327159j
6 1820.831 0.185143i + -0.198466j
6 1830.933 -0.324632i + -0.0980813j
6 1840.989 -0.0912577i + 0.159203j
6 1851.103 -0.410734i + 0.257247j
6 1861.222 -0.767556i + 0.443562j
6 1871.309 -0.615106i + 0.702226j
6 1881.37 -0.603013i + 0.447205j
6 1891.401 -0.62009i + 0.0816099j
6 1901.549 -0.274733i + -0.232448j
6 1911.574 0.0422288i + -0.0972597j
6 1921.628 0.468612i + -0.0850516j
