ID TIME pos
2 5.071 [0.4491111638869735, -0.4177785974369984] []
2 10.101 [0.4491111638869735, -0.4177785974369984] []
2 15.172 [0.4491111638869735, -0.4177785974369984] []
2 20.188 [0.4491111638869735, -0.4177785974369984] []
2 25.214 [0.4491111638869735, -0.4177785974369984] []
2 30.249 [0.4491111638869735, -0.4177785974369984] []
2 35.257 [0.4491111638869735, -0.4177785974369984] []
2 40.369 [0.4491111638869735, -0.4177785974369984] []
2 45.455 [0.4491111638869735, -0.4177785974369984] []
2 50.506 [0.4491111638869735, -0.4177785974369984] [(10698, -33400, 1676646197, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 10698, -33400)]
2 71.352 [0.4491111638869735, -0.4177785974369984] [(23420, -36445, 1676646197, 0, 5, 50000000000000000000, 30000000000000000000, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 32414, -38824)]
2 126.968 [0.4491111638869735, -0.4177785974369984] [(17546, -34781, 1676646197, 2, 10, 100000000000000000000, 30000000000000000000, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 32414, -38824), (64198, -87935, 1676646261, 0, 1, 12142857142857142000, 12142857142857142000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 64198, -87935)]
