ID TIME FPS
4 160.041 0.54
4 160.503 0.46
4 161.0 0.49
4 161.513 0.51
4 162.002 0.49
4 162.497 0.5
4 163.03 0.53
4 163.498 0.47
4 164.005 0.51
4 164.504 0.5
4 164.998 0.49
4 165.506 0.51
4 166.008 0.5
4 166.499 0.49
4 167.001 0.5
4 167.538 0.54
4 168.004 0.47
4 168.505 0.5
4 169.024 0.52
4 169.503 0.48
4 170.002 0.5
4 170.511 0.51
4 171.001 0.49
4 171.509 0.51
4 172.006 0.5
4 172.503 0.5
4 173.001 0.5
4 173.506 0.5
4 174.004 0.5
4 174.505 0.5
4 175.009 0.5
4 175.501 0.49
4 176.007 0.51
4 176.503 0.5
4 177.008 0.5
4 177.505 0.5
4 178.001 0.5
4 178.513 0.51
4 179.003 0.49
4 179.504 0.5
4 180.005 0.5
4 180.507 0.5
4 181.008 0.5
4 181.512 0.5
4 182.008 0.5
4 182.506 0.5
4 183.005 0.5
4 183.51 0.5
4 184.013 0.5
4 184.508 0.49
4 185.004 0.5
4 185.512 0.51
4 186.008 0.5
4 186.51 0.5
4 187.005 0.49
4 187.507 0.5
4 188.012 0.5
4 188.509 0.5
4 189.006 0.5
4 189.505 0.5
4 190.013 0.51
4 190.503 0.49
4 191.013 0.51
4 191.51 0.5
4 192.009 0.5
4 192.533 0.52
4 193.005 0.47
4 193.532 0.52
4 194.016 0.48
4 194.505 0.49
4 195.006 0.5
4 195.513 0.51
4 196.016 0.5
4 196.507 0.49
4 197.016 0.51
4 197.505 0.49
4 198.008 0.5
4 198.513 0.5
4 199.005 0.49
4 199.507 0.5
4 200.016 0.51
4 200.506 0.49
4 201.01 0.5
4 201.508 0.5
4 202.019 0.51
4 202.51 0.49
4 203.01 0.5
4 203.515 0.5
4 204.011 0.5
4 204.551 0.54
4 205.009 0.46
4 205.515 0.51
4 206.04 0.52
4 206.507 0.46
4 207.019 0.51
4 207.526 0.51
4 208.026 0.49
4 208.518 0.49
4 209.031 0.51
4 209.514 0.48
4 210.027 0.51
4 210.511 0.48
4 211.02 0.51
4 211.53 0.51
4 212.024 0.49
4 212.546 0.52
4 213.009 0.46
4 213.515 0.51
4 214.03 0.51
4 214.51 0.48
4 215.036 0.53
4 215.511 0.47
4 216.015 0.5
4 216.524 0.51
4 217.041 0.52
4 217.516 0.47
4 218.016 0.5
4 218.531 0.52
4 219.028 0.49
4 219.527 0.5
4 220.033 0.51
4 220.513 0.48
4 221.024 0.51
4 221.55 0.52
