ID TIME pos
14 111.783 [-0.2321200543852235, -0.48296029277621777] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
14 116.791 [-0.2321200543852235, -0.48296029277621777] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
14 121.798 [-0.2321200543852235, -0.48296029277621777] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
14 126.806 [-0.2321200543852235, -0.48296029277621777] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
14 131.814 [-0.2321200543852235, -0.48296029277621777] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.1550100000000001, -0.40062], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
14 136.823 [-0.2321200543852235, -0.48296029277621777] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.16056000000000004, -0.4199600000000001], [0, 0], [-0.15503, -0.4006099999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
14 141.83 [-0.2321200543852235, -0.48296029277621777] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.16059, -0.42005000000000003], [0, 0], [-0.15503, -0.4006099999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
14 146.837 [-0.2321200543852235, -0.48296029277621777] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.16059, -0.42005000000000003], [0, 0], [-0.15503, -0.4006099999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
14 151.845 [-0.2321200543852235, -0.48296029277621777] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.16059, -0.42005000000000003], [0, 0], [-0.15503, -0.4006099999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
14 156.852 [-0.2321200543852235, -0.48296029277621777] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
14 161.859 [-0.2321200543852235, -0.48296029277621777] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
14 166.968 [-0.2321200543852235, -0.48296029277621777] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
14 172.075 [-0.2321200543852235, -0.48296029277621777] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
14 177.084 [-0.2321200543852235, -0.48296029277621777] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
14 182.091 [-0.24548167573087062, -0.4408233821293696] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.6080300000000001, -0.46950000000000003], [-0.13992000000000004, -0.41747], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
14 187.1 [-0.24874719800356623, -0.43052652821272236] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.6080300000000001, -0.46950000000000003], [-0.14288999999999996, -0.40811], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
14 192.108 [-0.2487479998968626, -0.4305240003251302] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.6080300000000001, -0.46950000000000003], [-0.14288999999999996, -0.40811], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
14 197.116 [-0.24874799999998676, -0.4305240000000417] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.6080300000000001, -0.46950000000000003], [-0.14288999999999996, -0.40811], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
14 202.123 [-0.248748, -0.43052399999999996] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.6080300000000001, -0.46950000000000003], [-0.14288999999999996, -0.40811], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
14 207.131 [-0.248748, -0.43052399999999996] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.6080300000000001, -0.46950000000000003], [-0.14288999999999996, -0.40811], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
14 212.14 [-0.248748, -0.43052399999999996] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.6080300000000001, -0.46950000000000003], [-0.14288999999999996, -0.40811], [0, 0], [-0.04259999999999997, -0.54678], [0, 0], [0, 0], [0, 0], [0, 0]]
14 217.148 [-0.248748, -0.43052399999999996] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [0, 0], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.6080300000000001, -0.46950000000000003], [-0.14288999999999996, -0.40811], [0, 0], [-0.04259999999999997, -0.54678], [0, 0], [0, 0], [0, 0], [0, 0]]
14 222.256 [-0.1767532824074074, -0.42717517129629634] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [-0.1934499999999999, -0.40517000000000003], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.6080300000000001, -0.46950000000000003], [-0.14288999999999996, -0.40811], [0, 0], [-0.04259999999999997, -0.54678], [-0.27034, -0.41235], [0, 0], [0, 0], [0, 0]]
14 227.263 [-0.17707968093985096, -0.42652396989384406] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [-0.1934499999999999, -0.40517000000000003], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.6080300000000001, -0.46950000000000003], [-0.14288999999999996, -0.40811], [0, 0], [-0.04259999999999997, -0.54678], [-0.23570000000000002, -0.4026400000000001], [0, 0], [0, 0], [0, 0]]
14 232.271 [-0.1770799996884178, -0.4265233339549745] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [-0.1934499999999999, -0.40517000000000003], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.6080300000000001, -0.46950000000000003], [-0.14288999999999996, -0.40811], [0, 0], [-0.04259999999999997, -0.54678], [-0.23570000000000002, -0.4026400000000001], [0, 0], [0, 0], [0, 0]]
14 237.279 [-0.1770799999996957, -0.42652333333394044] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [-0.1934499999999999, -0.40517000000000003], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.6080300000000001, -0.46950000000000003], [-0.14304000000000006, -0.40764], [0, 0], [-0.04259999999999997, -0.54678], [-0.23570000000000002, -0.4026400000000001], [0, 0], [0, 0], [0, 0]]
14 242.386 [-0.17707999999999968, -0.426523333333334] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [-0.1934499999999999, -0.40517000000000003], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.6080300000000001, -0.46950000000000003], [-0.14304000000000006, -0.40764], [0, 0], [-0.04259999999999997, -0.54678], [-0.23570000000000002, -0.4026400000000001], [0, 0], [0, 0], [0, 0]]
14 247.394 [-0.17707999999999996, -0.42652333333333337] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [-0.1934499999999999, -0.40517000000000003], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.6080300000000001, -0.46950000000000003], [-0.14304000000000006, -0.40764], [0, 0], [-0.04259999999999997, -0.54678], [-0.23570000000000002, -0.4026400000000001], [0, 0], [0, 0], [0, 0]]
