ID TIME pos
12 5.325 [0.4424617472495039, -0.24709488887064923] []
12 10.38 [0.4424617472495039, -0.24709488887064923] []
12 15.393 [0.4424617472495039, -0.24709488887064923] []
12 20.423 [0.4424617472495039, -0.24709488887064923] []
12 25.511 [0.4424617472495039, -0.24709488887064923] []
12 55.863 [0.4424617472495039, -0.24709488887064923] [(32422, -5131, 1676643510, 0, 4, 40000000000000000000, 30000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 35990, -4168)]
12 60.917 [0.4424617472495039, -0.24709488887064923] [(30350, -5562, 1676643510, 0, 5, 50000000000000000000, 30000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 35990, -4168)]
12 65.935 [0.4424617472495039, -0.24709488887064923] [(29458, -5767, 1676643510, 0, 7, 70000000000000000000, 30000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 35990, -4168)]
12 70.966 [0.4424617472495039, -0.24709488887064923] [(28515, -6146, 1676643510, 0, 8, 80000000000000000000, 30000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 35990, -4168)]
12 75.97 [0.4424617472495039, -0.24709488887064923] [(30723, -7945, 1676643510, 0, 9, 90000000000000000000, 40000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 39090, -8712)]
12 170.911 [0.4424617472495039, -0.24709488887064923] [(31304, -7689, 1676643510, 2, 10, 100000000000000000000, 40000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 39090, -8712), (30057, -13593, 1676643570, 0, 6, 58333333333333334000, 18333333333333334000, 1, '0xd4aEDD30d11907e10B6353e59685BB7Efc14F55D', 0, 43770, -22143), (46301, -23939, 1676643638, 1, 10, 93333333333333334000, 88333333333333334000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 46338, -23786), (47305, -40306, 1676643638, 0, 1, 13333333333333334000, 13333333333333334000, 1, '0x0fa9077350FC3Ee6924743e1AD9b735c657C455E', 1, 47305, -40306)]
12 203.795 [0.4424617472495039, -0.24709488887064923] [(31304, -7689, 1676643510, 2, 10, 100000000000000000000, 40000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 39090, -8712), (31489, -14302, 1676643570, 0, 9, 82500000000000000000, 28888888888888890000, 1, '0xd4aEDD30d11907e10B6353e59685BB7Efc14F55D', 0, 42137, -21165), (46301, -23939, 1676643684, 1, 10, 93333333333333334000, 88333333333333334000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 46338, -23786), (49824, -34238, 1676643638, 0, 4, 46944444444444444000, 33333333333333334000, 1, '0x0fa9077350FC3Ee6924743e1AD9b735c657C455E', 1, 50423, -32241)]
12 229.625 [0.4424617472495039, -0.24709488887064923] [(31304, -7689, 1676643510, 2, 10, 100000000000000000000, 40000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 39090, -8712), (31288, -14360, 1676643570, 2, 10, 92777777777777779000, 28888888888888890000, 1, '0xd4aEDD30d11907e10B6353e59685BB7Efc14F55D', 0, 42137, -21165), (46301, -23939, 1676643706, 1, 10, 93333333333333334000, 88333333333333334000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 46338, -23786), (49378, -32557, 1676643638, 0, 7, 74907407407407407000, 56018518518518519000, 1, '0x0fa9077350FC3Ee6924743e1AD9b735c657C455E', 1, 49809, -30259), (36237, -11111, 1676643702, 0, 2, 26944444444444444000, 26944444444444444000, 0, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 1, 36237, -11111)]
12 265.536 [0.4424617472495039, -0.24709488887064923] [(31304, -7689, 1676643510, 2, 10, 100000000000000000000, 40000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 39090, -8712), (31288, -14360, 1676643570, 2, 10, 92777777777777779000, 28888888888888890000, 1, '0xd4aEDD30d11907e10B6353e59685BB7Efc14F55D', 0, 42137, -21165), (46301, -23939, 1676643744, 1, 10, 93333333333333334000, 88333333333333334000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 46338, -23786), (48339, -31806, 1676643744, 1, 10, 104768518518518516000, 72268518518518518000, 1, '0x0fa9077350FC3Ee6924743e1AD9b735c657C455E', 1, 48564, -29682), (38095, -15281, 1676643702, 0, 5, 68055555555555557000, 55648148148148149000, 0, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 1, 39097, -17790)]
12 302.835 [0.4424617472495039, -0.24709488887064923] [(31304, -7689, 1676643510, 2, 10, 100000000000000000000, 40000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 39090, -8712), (31288, -14360, 1676643570, 2, 10, 92777777777777779000, 28888888888888890000, 1, '0xd4aEDD30d11907e10B6353e59685BB7Efc14F55D', 0, 42137, -21165), (46301, -23939, 1676643784, 1, 10, 93333333333333334000, 88333333333333334000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 46338, -23786), (48339, -31806, 1676643784, 1, 10, 104768518518518516000, 72268518518518518000, 1, '0x0fa9077350FC3Ee6924743e1AD9b735c657C455E', 1, 48564, -29682), (37820, -14682, 1676643784, 1, 10, 101395502645502648060, 58148148148148149000, 0, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 1, 39229, -17982), (45894, -28159, 1676643762, 0, 5, 59026455026455029730, 59026455026455029730, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 45894, -28159)]
12 307.865 [0.4424617472495039, -0.24709488887064923] [(31304, -7689, 1676643510, 2, 10, 100000000000000000000, 40000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 39090, -8712), (31288, -14360, 1676643570, 2, 10, 92777777777777779000, 28888888888888890000, 1, '0xd4aEDD30d11907e10B6353e59685BB7Efc14F55D', 0, 42137, -21165), (46301, -23939, 1676643790, 1, 10, 93333333333333334000, 88333333333333334000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 46338, -23786), (48339, -31806, 1676643790, 1, 10, 104768518518518516000, 72268518518518518000, 1, '0x0fa9077350FC3Ee6924743e1AD9b735c657C455E', 1, 48564, -29682), (37820, -14682, 1676643790, 1, 10, 101395502645502648060, 58148148148148149000, 0, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 1, 39229, -17982), (46029, -27183, 1676643762, 0, 6, 74033068783068785730, 74033068783068785730, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 46029, -27183)]
12 312.978 [0.4424617472495039, -0.24709488887064923] [(31304, -7689, 1676643510, 2, 10, 100000000000000000000, 40000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 39090, -8712), (31288, -14360, 1676643570, 2, 10, 92777777777777779000, 28888888888888890000, 1, '0xd4aEDD30d11907e10B6353e59685BB7Efc14F55D', 0, 42137, -21165), (46301, -23939, 1676643794, 1, 10, 93333333333333334000, 88333333333333334000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 46338, -23786), (48339, -31806, 1676643794, 1, 10, 104768518518518516000, 72268518518518518000, 1, '0x0fa9077350FC3Ee6924743e1AD9b735c657C455E', 1, 48564, -29682), (37820, -14682, 1676643794, 1, 10, 101395502645502648060, 58148148148148149000, 0, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 1, 39229, -17982), (45517, -26364, 1676643762, 0, 7, 78993386243386246230, 74033068783068785730, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 46029, -27183)]
12 318.005 [0.4424617472495039, -0.24709488887064923] [(31304, -7689, 1676643510, 2, 10, 100000000000000000000, 40000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 39090, -8712), (31288, -14360, 1676643570, 2, 10, 92777777777777779000, 28888888888888890000, 1, '0xd4aEDD30d11907e10B6353e59685BB7Efc14F55D', 0, 42137, -21165), (46301, -23939, 1676643794, 1, 10, 93333333333333334000, 88333333333333334000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 46338, -23786), (48339, -31806, 1676643794, 1, 10, 104768518518518516000, 72268518518518518000, 1, '0x0fa9077350FC3Ee6924743e1AD9b735c657C455E', 1, 48564, -29682), (37820, -14682, 1676643794, 1, 10, 101395502645502648060, 58148148148148149000, 0, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 1, 39229, -17982), (45517, -26364, 1676643762, 0, 7, 78993386243386246230, 74033068783068785730, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 46029, -27183)]
12 323.051 [0.4424617472495039, -0.24709488887064923] [(31304, -7689, 1676643510, 2, 10, 100000000000000000000, 40000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 39090, -8712), (31288, -14360, 1676643570, 2, 10, 92777777777777779000, 28888888888888890000, 1, '0xd4aEDD30d11907e10B6353e59685BB7Efc14F55D', 0, 42137, -21165), (46301, -23939, 1676643794, 1, 10, 93333333333333334000, 88333333333333334000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 46338, -23786), (48339, -31806, 1676643794, 1, 10, 104768518518518516000, 72268518518518518000, 1, '0x0fa9077350FC3Ee6924743e1AD9b735c657C455E', 1, 48564, -29682), (37820, -14682, 1676643794, 1, 10, 101395502645502648060, 58148148148148149000, 0, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 1, 39229, -17982), (45517, -26364, 1676643762, 0, 7, 78993386243386246230, 74033068783068785730, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 46029, -27183)]
12 328.176 [0.4424617472495039, -0.24709488887064923] [(31304, -7689, 1676643510, 2, 10, 100000000000000000000, 40000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 39090, -8712), (31288, -14360, 1676643570, 2, 10, 92777777777777779000, 28888888888888890000, 1, '0xd4aEDD30d11907e10B6353e59685BB7Efc14F55D', 0, 42137, -21165), (46301, -23939, 1676643810, 1, 10, 93333333333333334000, 88333333333333334000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 46338, -23786), (48339, -31806, 1676643810, 1, 10, 104768518518518516000, 72268518518518518000, 1, '0x0fa9077350FC3Ee6924743e1AD9b735c657C455E', 1, 48564, -29682), (37820, -14682, 1676643810, 1, 10, 101395502645502648060, 58148148148148149000, 0, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 1, 39229, -17982), (45518, -26363, 1676643762, 0, 8, 79062830687830690761, 74102513227513230261, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 46029, -27181)]
12 333.219 [0.4424617472495039, -0.24709488887064923] [(31304, -7689, 1676643510, 2, 10, 100000000000000000000, 40000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 39090, -8712), (31288, -14360, 1676643570, 2, 10, 92777777777777779000, 28888888888888890000, 1, '0xd4aEDD30d11907e10B6353e59685BB7Efc14F55D', 0, 42137, -21165), (46301, -23939, 1676643814, 1, 10, 93333333333333334000, 88333333333333334000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 46338, -23786), (48339, -31806, 1676643814, 1, 10, 104768518518518516000, 72268518518518518000, 1, '0x0fa9077350FC3Ee6924743e1AD9b735c657C455E', 1, 48564, -29682), (37820, -14682, 1676643814, 1, 10, 101395502645502648060, 58148148148148149000, 0, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 1, 39229, -17982), (45092, -25439, 1676643762, 0, 9, 85887566137566140761, 80927248677248680261, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 45533, -26131)]
12 338.262 [0.4424617472495039, -0.24709488887064923] [(31304, -7689, 1676643510, 2, 10, 100000000000000000000, 40000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 39090, -8712), (31288, -14360, 1676643570, 2, 10, 92777777777777779000, 28888888888888890000, 1, '0xd4aEDD30d11907e10B6353e59685BB7Efc14F55D', 0, 42137, -21165), (46301, -23939, 1676643814, 1, 10, 93333333333333334000, 88333333333333334000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 46338, -23786), (48339, -31806, 1676643814, 1, 10, 104768518518518516000, 72268518518518518000, 1, '0x0fa9077350FC3Ee6924743e1AD9b735c657C455E', 1, 48564, -29682), (37820, -14682, 1676643814, 1, 10, 101395502645502648060, 58148148148148149000, 0, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 1, 39229, -17982), (45092, -25439, 1676643762, 0, 9, 85887566137566140761, 80927248677248680261, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 45533, -26131)]
12 343.279 [0.4424617472495039, -0.24709488887064923] [(31304, -7689, 1676643510, 2, 10, 100000000000000000000, 40000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 39090, -8712), (31288, -14360, 1676643570, 2, 10, 92777777777777779000, 28888888888888890000, 1, '0xd4aEDD30d11907e10B6353e59685BB7Efc14F55D', 0, 42137, -21165), (46301, -23939, 1676643814, 1, 10, 93333333333333334000, 88333333333333334000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 46338, -23786), (48339, -31806, 1676643814, 1, 10, 104768518518518516000, 72268518518518518000, 1, '0x0fa9077350FC3Ee6924743e1AD9b735c657C455E', 1, 48564, -29682), (37820, -14682, 1676643814, 1, 10, 101395502645502648060, 58148148148148149000, 0, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 1, 39229, -17982), (45092, -25439, 1676643762, 0, 9, 85887566137566140761, 80927248677248680261, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 45533, -26131)]
12 348.481 [0.4424617472495039, -0.24709488887064923] [(31304, -7689, 1676643510, 2, 10, 100000000000000000000, 40000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 39090, -8712), (31288, -14360, 1676643570, 2, 10, 92777777777777779000, 28888888888888890000, 1, '0xd4aEDD30d11907e10B6353e59685BB7Efc14F55D', 0, 42137, -21165), (46301, -23939, 1676643814, 1, 10, 93333333333333334000, 88333333333333334000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 46338, -23786), (48339, -31806, 1676643814, 1, 10, 104768518518518516000, 72268518518518518000, 1, '0x0fa9077350FC3Ee6924743e1AD9b735c657C455E', 1, 48564, -29682), (37820, -14682, 1676643814, 1, 10, 101395502645502648060, 58148148148148149000, 0, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 1, 39229, -17982), (45092, -25439, 1676643762, 0, 9, 85887566137566140761, 80927248677248680261, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 45533, -26131)]
