ID TIME pos
12 5.271 [0.4491111638869735, -0.4177785974369984] []
12 10.363 [0.4491111638869735, -0.4177785974369984] []
12 15.43 [0.4491111638869735, -0.4177785974369984] []
12 20.472 [0.4491111638869735, -0.4177785974369984] []
12 25.539 [0.4491111638869735, -0.4177785974369984] []
12 30.59 [0.4491111638869735, -0.4177785974369984] []
12 35.723 [0.4491111638869735, -0.4177785974369984] []
12 40.764 [0.4491111638869735, -0.4177785974369984] []
12 45.97 [0.4491111638869735, -0.4177785974369984] [(10698, -33400, 1676646189, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 10698, -33400)]
12 124.137 [0.4491111638869735, -0.4177785974369984] [(17546, -34781, 1676646197, 2, 10, 100000000000000000000, 30000000000000000000, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 32414, -38824), (64198, -87935, 1676646261, 0, 1, 12142857142857142000, 12142857142857142000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 64198, -87935)]
12 179.997 [0.4491111638869735, -0.4177785974369984] [(17546, -34781, 1676646197, 2, 10, 100000000000000000000, 30000000000000000000, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 32414, -38824), (50233, -69127, 1676646261, 0, 2, 24285714285714284000, 24285714285714284000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 50233, -69127), (39944, -32200, 1676646315, 0, 1, 10000000000000000000, 10000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 39944, -32200)]
12 211.337 [0.4491111638869735, -0.4177785974369984] [(17546, -34781, 1676646197, 2, 10, 100000000000000000000, 30000000000000000000, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 32414, -38824), (50233, -69127, 1676646261, 0, 2, 24285714285714284000, 24285714285714284000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 50233, -69127), (39944, -32200, 1676646315, 0, 1, 10000000000000000000, 10000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 39944, -32200)]
12 236.587 [0.4491111638869735, -0.4177785974369984] [(17546, -34781, 1676646197, 2, 10, 100000000000000000000, 30000000000000000000, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 32414, -38824), (49837, -68901, 1676646261, 0, 3, 34285714285714284000, 24285714285714284000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 50233, -69127), (37607, -30758, 1676646315, 0, 2, 22142857142857142000, 22142857142857142000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 37607, -30758)]
12 335.93 [0.4491111638869735, -0.4177785974369984] [(17546, -34781, 1676646197, 2, 10, 100000000000000000000, 30000000000000000000, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 32414, -38824), (49512, -68926, 1676646261, 0, 6, 59285714285714284000, 34285714285714284000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 47684, -66392), (41956, -35241, 1676646315, 0, 4, 39285714285714284000, 39285714285714284000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 41956, -35241)]
12 366.297 [0.4491111638869735, -0.4177785974369984] [(17546, -34781, 1676646197, 2, 10, 100000000000000000000, 30000000000000000000, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 32414, -38824), (52213, -72025, 1676646261, 0, 7, 71428571428571426000, 34285714285714284000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 47684, -66392), (41735, -37314, 1676646315, 0, 5, 49285714285714284000, 49285714285714284000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 41735, -37314)]
12 371.363 [0.4491111638869735, -0.4177785974369984] [(17546, -34781, 1676646197, 2, 10, 100000000000000000000, 30000000000000000000, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 32414, -38824), (52213, -72025, 1676646261, 0, 7, 71428571428571426000, 34285714285714284000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 47684, -66392), (41735, -37314, 1676646315, 0, 5, 49285714285714284000, 49285714285714284000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 41735, -37314)]
12 376.402 [0.4491111638869735, -0.4177785974369984] [(17546, -34781, 1676646197, 2, 10, 100000000000000000000, 30000000000000000000, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 32414, -38824), (52213, -72025, 1676646261, 0, 7, 71428571428571426000, 34285714285714284000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 47684, -66392), (41735, -37314, 1676646315, 0, 5, 49285714285714284000, 49285714285714284000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 41735, -37314)]
12 381.48 [0.4491111638869735, -0.4177785974369984] [(17546, -34781, 1676646197, 2, 10, 100000000000000000000, 30000000000000000000, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 32414, -38824), (52213, -72025, 1676646261, 0, 7, 71428571428571426000, 34285714285714284000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 47684, -66392), (41735, -37314, 1676646315, 0, 5, 49285714285714284000, 49285714285714284000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 41735, -37314)]
12 386.561 [0.4491111638869735, -0.4177785974369984] [(17546, -34781, 1676646197, 2, 10, 100000000000000000000, 30000000000000000000, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 32414, -38824), (52213, -72025, 1676646261, 0, 7, 71428571428571426000, 34285714285714284000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 47684, -66392), (41735, -37314, 1676646315, 0, 5, 49285714285714284000, 49285714285714284000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 41735, -37314)]
12 391.627 [0.4491111638869735, -0.4177785974369984] [(17546, -34781, 1676646197, 2, 10, 100000000000000000000, 30000000000000000000, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 32414, -38824), (52213, -72025, 1676646261, 0, 7, 71428571428571426000, 34285714285714284000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 47684, -66392), (41735, -37314, 1676646315, 0, 5, 49285714285714284000, 49285714285714284000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 41735, -37314)]
12 396.695 [0.4491111638869735, -0.4177785974369984] [(17546, -34781, 1676646197, 2, 10, 100000000000000000000, 30000000000000000000, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 32414, -38824), (52213, -72025, 1676646261, 0, 7, 71428571428571426000, 34285714285714284000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 47684, -66392), (41735, -37314, 1676646315, 0, 5, 49285714285714284000, 49285714285714284000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, 41735, -37314)]
