ID TIME pos
14 728.319 [0.3019989530025341, -0.4101108368971562] [(40666, -61398, 1674772017, 2, 15, 150000000000000000000, 40000000000000000000, 0, '0xc8529dE5603FF9D6FE9A77d43c27D3e7085B4E43', 0, 40050, -59086), (62104, -35755, 1674772262, 2, 15, 149999999999999999991, 11818181818181818181, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 62210, -35658), (48967, -51535, 1674772496, 0, 13, 116688311688311688303, 29902597402597402595, 0, '0xBa1CD5ded4B25dF273d435c969a01dc0B577c95c', 0, 48460, -51959), (4065, -3387, 1674772502, 0, 13, 77711038961038961031, 12240259740259740259, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 3336, -2156)]
14 733.371 [0.3019989530025341, -0.4101108368971562] [(40666, -61398, 1674772017, 2, 15, 150000000000000000000, 40000000000000000000, 0, '0xc8529dE5603FF9D6FE9A77d43c27D3e7085B4E43', 0, 40050, -59086), (62104, -35755, 1674772262, 2, 15, 149999999999999999991, 11818181818181818181, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 62210, -35658), (48967, -51535, 1674772496, 0, 13, 116688311688311688303, 29902597402597402595, 0, '0xBa1CD5ded4B25dF273d435c969a01dc0B577c95c', 0, 48460, -51959), (4065, -3387, 1674772502, 0, 13, 77711038961038961031, 12240259740259740259, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 3336, -2156)]
14 738.475 [0.3019989530025341, -0.4101108368971562] [(40666, -61398, 1674772017, 2, 15, 150000000000000000000, 40000000000000000000, 0, '0xc8529dE5603FF9D6FE9A77d43c27D3e7085B4E43', 0, 40050, -59086), (62104, -35755, 1674772262, 2, 15, 149999999999999999991, 11818181818181818181, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 62210, -35658), (48967, -51535, 1674772496, 0, 13, 116688311688311688303, 29902597402597402595, 0, '0xBa1CD5ded4B25dF273d435c969a01dc0B577c95c', 0, 48460, -51959), (4065, -3387, 1674772502, 0, 13, 77711038961038961031, 12240259740259740259, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 3336, -2156)]
14 743.571 [0.3019989530025341, -0.4101108368971562] [(40666, -61398, 1674772017, 2, 15, 150000000000000000000, 40000000000000000000, 0, '0xc8529dE5603FF9D6FE9A77d43c27D3e7085B4E43', 0, 40050, -59086), (62104, -35755, 1674772262, 2, 15, 149999999999999999991, 11818181818181818181, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 62210, -35658), (48967, -51535, 1674772496, 0, 13, 116688311688311688303, 29902597402597402595, 0, '0xBa1CD5ded4B25dF273d435c969a01dc0B577c95c', 0, 48460, -51959), (4065, -3387, 1674772502, 0, 13, 77711038961038961031, 12240259740259740259, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 3336, -2156)]
14 748.661 [0.3019989530025341, -0.4101108368971562] [(40666, -61398, 1674772017, 2, 15, 150000000000000000000, 40000000000000000000, 0, '0xc8529dE5603FF9D6FE9A77d43c27D3e7085B4E43', 0, 40050, -59086), (62104, -35755, 1674772262, 2, 15, 149999999999999999991, 11818181818181818181, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 62210, -35658), (49042, -51574, 1674772496, 0, 14, 122808441558441558432, 29902597402597402595, 0, '0xBa1CD5ded4B25dF273d435c969a01dc0B577c95c', 0, 48460, -51959), (4022, -3571, 1674772502, 2, 15, 96071428571428571419, 12240259740259740259, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 3336, -2156)]
14 753.723 [0.3019989530025341, -0.4101108368971562] [(40666, -61398, 1674772017, 2, 15, 150000000000000000000, 40000000000000000000, 0, '0xc8529dE5603FF9D6FE9A77d43c27D3e7085B4E43', 0, 40050, -59086), (62104, -35755, 1674772262, 2, 15, 149999999999999999991, 11818181818181818181, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 62210, -35658), (49042, -51574, 1674772496, 0, 14, 122808441558441558432, 29902597402597402595, 0, '0xBa1CD5ded4B25dF273d435c969a01dc0B577c95c', 0, 48460, -51959), (4022, -3571, 1674772502, 2, 15, 96071428571428571419, 12240259740259740259, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 3336, -2156)]
14 758.8 [0.3019989530025341, -0.4101108368971562] [(40666, -61398, 1674772017, 2, 15, 150000000000000000000, 40000000000000000000, 0, '0xc8529dE5603FF9D6FE9A77d43c27D3e7085B4E43', 0, 40050, -59086), (62104, -35755, 1674772262, 2, 15, 149999999999999999991, 11818181818181818181, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 62210, -35658), (49042, -51574, 1674772496, 0, 14, 122808441558441558432, 29902597402597402595, 0, '0xBa1CD5ded4B25dF273d435c969a01dc0B577c95c', 0, 48460, -51959), (4022, -3571, 1674772502, 2, 15, 96071428571428571419, 12240259740259740259, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 3336, -2156)]
14 763.91 [0.3019989530025341, -0.4101108368971562] [(40666, -61398, 1674772017, 2, 15, 150000000000000000000, 40000000000000000000, 0, '0xc8529dE5603FF9D6FE9A77d43c27D3e7085B4E43', 0, 40050, -59086), (62104, -35755, 1674772262, 2, 15, 149999999999999999991, 11818181818181818181, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 62210, -35658), (49042, -51574, 1674772496, 0, 14, 122808441558441558432, 29902597402597402595, 0, '0xBa1CD5ded4B25dF273d435c969a01dc0B577c95c', 0, 48460, -51959), (4022, -3571, 1674772502, 2, 15, 96071428571428571419, 12240259740259740259, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 3336, -2156)]
14 773.972 [0.3019989530025341, -0.4101108368971562] [(40666, -61398, 1674772017, 2, 15, 150000000000000000000, 40000000000000000000, 0, '0xc8529dE5603FF9D6FE9A77d43c27D3e7085B4E43', 0, 40050, -59086), (62104, -35755, 1674772262, 2, 15, 149999999999999999991, 11818181818181818181, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 62210, -35658), (49042, -51574, 1674772496, 0, 14, 122808441558441558432, 29902597402597402595, 0, '0xBa1CD5ded4B25dF273d435c969a01dc0B577c95c', 0, 48460, -51959), (4022, -3571, 1674772502, 2, 15, 96071428571428571419, 12240259740259740259, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 3336, -2156)]
14 779.02 [0.3019989530025341, -0.4101108368971562] [(40666, -61398, 1674772017, 2, 15, 150000000000000000000, 40000000000000000000, 0, '0xc8529dE5603FF9D6FE9A77d43c27D3e7085B4E43', 0, 40050, -59086), (62104, -35755, 1674772262, 2, 15, 149999999999999999991, 11818181818181818181, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 62210, -35658), (49042, -51574, 1674772496, 0, 14, 122808441558441558432, 29902597402597402595, 0, '0xBa1CD5ded4B25dF273d435c969a01dc0B577c95c', 0, 48460, -51959), (4022, -3571, 1674772502, 2, 15, 96071428571428571419, 12240259740259740259, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 3336, -2156)]
