ID TIME MB
7 0.1 146557
7 10.138 147654
7 20.175 147654
7 30.207 147654
7 40.241 147654
7 50.284 147654
7 60.314 147654
7 70.344 147654
7 80.364 147654
7 90.379 147654
7 100.406 147654
7 110.417 147654
