ID TIME pos
6 1.209 [0.3082226433878467, -0.12489078825665714] [0.3953053413927685, -0.3069639617784788] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
6 6.217 [0.3082226433878467, -0.12489078825665714] [0.3953053413927685, -0.3069639617784788] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.39877000000000007, 0.4162499999999998]]
6 11.225 [0.3082226433878467, -0.12489078825665714] [0.3953053413927685, -0.3069639617784788] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.39877000000000007, 0.4162499999999998]]
6 16.233 [0.3082226433878467, -0.12489078825665714] [0.3953053413927685, -0.3069639617784788] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.39877000000000007, 0.4162499999999998]]
6 21.338 [0.3082226433878467, -0.12489078825665714] [0.3953053413927685, -0.3069639617784788] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.3215699999999999, -0.4171499999999999], [0, 0], [-0.39877000000000007, 0.4162499999999998]]
6 26.345 [0.3082226433878467, -0.12489078825665714] [0.3953053413927685, -0.3069639617784788] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.3215699999999999, -0.4171499999999999], [0, 0], [-0.39877000000000007, 0.4162499999999998]]
6 31.352 [0.3082226433878467, -0.12489078825665714] [0.3953053413927685, -0.3069639617784788] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.3215699999999999, -0.4171499999999999], [0, 0], [-0.39877000000000007, 0.4162499999999998]]
6 36.359 [0.3082226433878467, -0.12489078825665714] [0.3953053413927685, -0.3069639617784788] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.3215699999999999, -0.4171499999999999], [0, 0], [-0.39877000000000007, 0.4162499999999998]]
6 41.367 [0.3082226433878467, -0.12489078825665714] [0.3953053413927685, -0.3069639617784788] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.3215699999999999, -0.4171499999999999], [0, 0], [-0.39877000000000007, 0.4162499999999998]]
6 46.375 [0.3082226433878467, -0.12489078825665714] [0.3953053413927685, -0.3069639617784788] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.3215699999999999, -0.4171499999999999], [0, 0], [-0.39877000000000007, 0.4162499999999998]]
6 51.383 [0.3082226433878467, -0.12489078825665714] [0.3953053413927685, -0.3069639617784788] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.3215699999999999, -0.4171499999999999], [0, 0], [-0.39877000000000007, 0.4162499999999998]]
