ID TIME pos
1 0.101 [0, 0] [0.3019231251934492, 0.32744640200502934]
1 5.106 [0, 0] [0.3019231251934492, 0.32744640200502934]
1 10.113 [0, 0] [0.3019231251934492, 0.32744640200502934]
1 15.119 [0, 0] [0.3019231251934492, 0.32744640200502934]
1 20.126 [0, 0] [0.3019231251934492, 0.32744640200502934]
1 25.132 [0, 0] [0.3019231251934492, 0.32744640200502934]
1 30.139 [0, 0] [0.3019231251934492, 0.32744640200502934]
1 35.146 [0, 0] [0.3019231251934492, 0.32744640200502934]
1 40.152 [0, 0] [0.3019231251934492, 0.32744640200502934]
1 45.159 [0, 0] [0.3019231251934492, 0.32744640200502934]
1 50.165 [0, 0] [0.3019231251934492, 0.32744640200502934]
1 55.172 [0, 0] [0.3019231251934492, 0.32744640200502934]
1 60.179 [0.30447999999999986, 0.4027599999999998] [0.3019231251934492, 0.32744640200502934]
1 65.185 [0.3045, 0.4026900000000002] [0.3019231251934492, 0.32744640200502934]
1 70.191 [0.30036999999999986, 0.4301066666666668] [0.3019231251934492, 0.32744640200502934]
1 75.198 [0.29771499999999995, 0.428925] [0.3019231251934492, 0.32744640200502934]
1 80.205 [0.304922073094865, 0.41254920571969056] [0.3019231251934492, 0.32744640200502934]
1 85.211 [0.3056392159520079, 0.41127920571969057] [0.3019231251934492, 0.32744640200502934]
1 90.217 [0.306249215952008, 0.41051777714826204] [0.3019231251934492, 0.32744640200502934]
1 95.225 [0.3064677873805794, 0.4101234914339763] [0.3019231251934492, 0.32744640200502934]
1 100.231 [0.3062580639580069, 0.4093193050047293] [0.3019231251934492, 0.32744640200502934]
1 105.237 [0.3073518139580069, 0.4061055550047293] [0.3019231251934492, 0.32744640200502934]
1 110.241 [0.30709950106036865, 0.40363404000343955] [0.3019231251934492, 0.32744640200502934]
1 115.247 [0.3061967737876414, 0.40117767636707585] [0.3019231251934492, 0.32744640200502934]
1 120.252 [0.3061249556058232, 0.40079494909434854] [0.3019231251934492, 0.32744640200502934]
1 125.26 [0.3060976828785505, 0.4006240400034395] [0.3019231251934492, 0.32744640200502934]
1 130.267 [0.30604950106036866, 0.4006304036398032] [0.3019231251934492, 0.32744640200502934]
1 135.273 [0.3062613192421868, 0.3989431309125304] [0.3019231251934492, 0.32744640200502934]
1 140.28 [0.30626222833309596, 0.3989485854579849] [0.3019231251934492, 0.32744640200502934]
1 145.286 [0.3062558646967323, 0.39913585818525765] [0.3019231251934492, 0.32744640200502934]
1 150.293 [0.3062967737876414, 0.39912858545798485] [0.3019231251934492, 0.32744640200502934]
1 155.299 [0.3062967737876414, 0.39912858545798485] [0.3019231251934492, 0.32744640200502934]
1 160.305 [0.3070895010603687, 0.3952076763670758] [0.3019231251934492, 0.32744640200502934]
1 165.311 [0.30722041015127777, 0.3927904036398031] [0.3019231251934492, 0.32744640200502934]
1 170.318 [0.30704950106036866, 0.3924885854579849] [0.3019231251934492, 0.32744640200502934]
1 175.324 [0.30704950106036866, 0.39248404000343945] [0.3019231251934492, 0.32744640200502934]
1 180.331 [0.30704950106036866, 0.39248404000343945] [0.3019231251934492, 0.32744640200502934]
1 185.338 [0.30704950106036866, 0.39248404000343945] [0.3019231251934492, 0.32744640200502934]
1 190.343 [0.30704950106036866, 0.39248404000343945] [0.3019231251934492, 0.32744640200502934]
1 195.35 [0.3071249556058232, 0.39067676727616674] [0.3019231251934492, 0.32744640200502934]
1 200.357 [0.30712404651491415, 0.390559494548894] [0.3019231251934492, 0.32744640200502934]
1 205.363 [0.30712404651491415, 0.3905567672761668] [0.3019231251934492, 0.32744640200502934]
1 210.37 [0.30712404651491415, 0.3905567672761668] [0.3019231251934492, 0.32744640200502934]
1 215.376 [0.30712404651491415, 0.3905567672761668] [0.3019231251934492, 0.32744640200502934]
1 220.383 [0.30712404651491415, 0.3905567672761668] [0.3019231251934492, 0.32744640200502934]
1 225.39 [0.30712404651491415, 0.3905567672761668] [0.3019231251934492, 0.32744640200502934]
1 230.396 [0.30712404651491415, 0.3905567672761668] [0.3019231251934492, 0.32744640200502934]
1 235.402 [0.30708677378764143, 0.389538585457985] [0.3019231251934492, 0.32744640200502934]
1 240.41 [0.3070404101512778, 0.3898431309125305] [0.3019231251934492, 0.32744640200502934]
1 245.416 [0.30818495560582326, 0.38704040363980313] [0.3019231251934492, 0.32744640200502934]
1 250.422 [0.30818495560582326, 0.3870340400034395] [0.3019231251934492, 0.32744640200502934]
1 255.429 [0.30818495560582326, 0.3870340400034395] [0.3019231251934492, 0.32744640200502934]
1 260.436 [0.30831704263867127, 0.3868378700031529] [0.3019231251934492, 0.32744640200502934]
1 265.443 [0.3083220426386713, 0.3868078700031529] [0.3019231251934492, 0.32744640200502934]
1 270.45 [0.3083220426386713, 0.3868078700031529] [0.3019231251934492, 0.32744640200502934]
1 275.456 [0.30800034705108126, 0.38359803384906416] [0.3019231251934492, 0.32744640200502934]
1 280.463 [0.30800034705108126, 0.3835949569259872] [0.3019231251934492, 0.32744640200502934]
