ID TIME pos
5 1.207 [-0.20537371123537204, -0.4518595142046674] [-0.3152513761451852, -0.4258831609575413] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
5 6.214 [-0.20537371123537204, -0.4518595142046674] [-0.3152513761451852, -0.4258831609575413] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.4453499999999999, 0.30728], [0, 0]]
5 11.222 [-0.20537371123537204, -0.4518595142046674] [-0.3152513761451852, -0.4258831609575413] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.4453499999999999, 0.30728], [0, 0]]
5 16.23 [-0.20537371123537204, -0.4518595142046674] [-0.3152513761451852, -0.4258831609575413] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.4453499999999999, 0.30728], [0, 0]]
5 21.237 [-0.20537371123537204, -0.4518595142046674] [-0.3152513761451852, -0.4258831609575413] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.4453499999999999, 0.30728], [0, 0]]
5 26.246 [-0.20537371123537204, -0.4518595142046674] [-0.3152513761451852, -0.4258831609575413] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.4453499999999999, 0.30728], [0, 0]]
5 31.254 [-0.20537371123537204, -0.4518595142046674] [-0.3152513761451852, -0.4258831609575413] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.4453499999999999, 0.30728], [0, 0]]
5 36.262 [-0.20537371123537204, -0.4518595142046674] [-0.3152513761451852, -0.4258831609575413] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.025330000000000075, -0.24723000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.4453499999999999, 0.30728], [0, 0]]
5 41.269 [-0.20537371123537204, -0.4518595142046674] [-0.3152513761451852, -0.4258831609575413] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.025330000000000075, -0.24723000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.4453499999999999, 0.30728], [0, 0]]
5 46.277 [-0.20537371123537204, -0.4518595142046674] [-0.3152513761451852, -0.4258831609575413] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.025330000000000075, -0.24723000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.4453499999999999, 0.30728], [0, 0]]
5 51.285 [-0.20537371123537204, -0.4518595142046674] [-0.3152513761451852, -0.4258831609575413] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.025330000000000075, -0.24723000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.4453499999999999, 0.30728], [0, 0]]
5 56.293 [-0.20537371123537204, -0.4518595142046674] [-0.3152513761451852, -0.4258831609575413] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.025330000000000075, -0.24723000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.4453499999999999, 0.30728], [0, 0]]
5 61.3 [-0.20537371123537204, -0.4518595142046674] [-0.3152513761451852, -0.4258831609575413] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.025330000000000075, -0.24723000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.4453499999999999, 0.30728], [0, 0]]
5 66.309 [-0.20537371123537204, -0.4518595142046674] [-0.3152513761451852, -0.4258831609575413] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.025330000000000075, -0.24723000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.4453499999999999, 0.30728], [0, 0]]
5 71.316 [-0.20537371123537204, -0.4518595142046674] [-0.3152513761451852, -0.4258831609575413] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.025330000000000075, -0.24723000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.4453499999999999, 0.30728], [0, 0]]
5 76.323 [-0.20537371123537204, -0.4518595142046674] [-0.3152513761451852, -0.4258831609575413] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.025330000000000075, -0.24723000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.4453499999999999, 0.30728], [0, 0]]
5 81.332 [-0.20537371123537204, -0.4518595142046674] [-0.3152513761451852, -0.4258831609575413] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.025330000000000075, -0.24723000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.4453499999999999, 0.30728], [0, 0]]
5 86.34 [-0.20537371123537204, -0.4518595142046674] [-0.3152513761451852, -0.4258831609575413] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.025330000000000075, -0.24723000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3529, -0.4086700000000001], [-0.4453499999999999, 0.30728], [0, 0]]
5 91.348 [-0.20537371123537204, -0.4518595142046674] [-0.3152513761451852, -0.4258831609575413] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.1962299999999999, -0.25222999999999995], [-0.025330000000000075, -0.24723000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3529, -0.4086700000000001], [-0.4453499999999999, 0.30728], [0, 0]]
5 96.355 [-0.20537371123537204, -0.4518595142046674] [-0.3152513761451852, -0.4258831609575413] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.1962299999999999, -0.25222999999999995], [-0.025330000000000075, -0.24723000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3529, -0.4086700000000001], [-0.4453499999999999, 0.30728], [0, 0]]
5 101.363 [-0.11401748504516912, -0.16426448424822593] [-0.3152513761451852, -0.4258831609575413] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.08173999999999992, -0.21331999999999995], [-0.025330000000000075, -0.24723000000000006], [0, 0], [0, 0], [-0.3671199999999999, -0.25722], [0, 0], [0, 0], [0.3529, -0.4086700000000001], [-0.4453499999999999, 0.30728], [0, 0]]
