ID TIME MB
1 0.504 150091
1 10.641 165325
1 20.759 169317
1 30.797 169317
1 40.846 170364
1 50.893 170364
1 60.93 170364
1 71.097 193448
1 81.188 201628
1 91.302 205819
1 101.392 210007
1 111.429 212101
1 121.481 213148
1 131.598 221328
1 141.77 229508
1 151.91 236648
1 162.056 243126
1 172.159 246071
1 182.261 255537
1 192.297 255537
1 202.369 267054
1 212.493 274194
1 222.579 280280
1 232.723 290165
1 242.812 295865
1 252.943 309399
1 263.064 314639
1 273.174 322827
1 283.321 330359
1 293.402 336654
1 303.469 343407
1 313.552 347603
1 323.653 352848
1 333.703 353897
1 343.775 357044
1 353.841 371596
1 364.041 379988
1 374.178 387331
1 384.31 393890
1 394.414 402289
1 404.482 410289
1 414.608 417436
1 424.742 423534
1 434.92 429632
1 445.077 437178
1 455.209 443668
1 465.261 444717
1 475.3 444717
1 485.491 458364
1 495.593 465518
1 505.747 470775
1 515.89 475829
1 526.031 485968
1 536.204 497518
1 546.392 507664
1 556.482 518783
1 566.564 524691
1 576.663 530137
1 586.797 534344
1 596.846 534344
1 606.88 534344
1 616.919 534344
1 626.956 534344
1 637.213 563809
1 647.366 569071
1 657.417 571173
1 667.494 575377
1 677.678 582538
1 687.91 593244
1 698.041 597847
1 708.191 606059
1 718.269 611973
1 728.393 622287
1 738.526 626491
1 748.623 629644
1 758.686 631557
1 768.762 635761
1 778.872 639769
1 789.001 643973
1 799.106 654091
1 809.276 660201
1 819.449 667369
1 829.53 670522
1 839.569 671377
1 849.652 681887
1 859.83 688193
1 869.91 692397
1 880.021 702553
1 890.143 708859
