ID TIME pos
12 116.692 [0, 0] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.2935699999999999, 0.42781]]
12 121.699 [0, 0] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.2935699999999999, 0.42781]]
12 126.708 [0, 0] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.2935699999999999, 0.42781]]
12 131.715 [0, 0] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.2935699999999999, 0.42781]]
12 136.724 [0, 0] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.2935699999999999, 0.42781]]
12 141.731 [0, 0] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.2935699999999999, 0.42781]]
12 146.739 [0, 0] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.2935699999999999, 0.42781]]
12 151.746 [0, 0] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.2935699999999999, 0.42781]]
12 156.754 [0, 0] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.2935699999999999, 0.42781]]
12 161.762 [0, 0] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.2935699999999999, 0.42781]]
12 166.77 [0, 0] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.2935699999999999, 0.42781]]
12 171.777 [0, 0] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.2935699999999999, 0.42781]]
12 176.785 [0, 0] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.2935699999999999, 0.42781]]
12 181.794 [0, 0] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.31826, 0.5852300000000001], [-0.6201000000000001, -0.0703100000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.2935699999999999, 0.42781]]
12 186.801 [0, 0] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.4600900000000001, 0.36675000000000013], [0, 0], [-0.31826, 0.5852300000000001], [-0.6201000000000001, -0.0703100000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.2935699999999999, 0.42781]]
12 191.808 [0, 0] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.4600900000000001, 0.36675000000000013], [0, 0], [-0.31826, 0.5852300000000001], [-0.6201000000000001, -0.0703100000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.2935699999999999, 0.42781]]
12 196.817 [0, 0] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.4600900000000001, 0.36675000000000013], [0, 0], [-0.31826, 0.5852300000000001], [-0.6201000000000001, -0.0703100000000001], [-0.30844000000000005, 0.2138300000000002], [0, 0], [0, 0], [0, 0], [0, 0], [0.2935699999999999, 0.42781]]
12 201.825 [-0.5287682232048687, 0.544136867802723] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [-0.32577999999999996, 0.44212000000000007], [0, 0], [0, 0], [0, 0], [-0.4600900000000001, 0.36675000000000013], [0, 0], [-0.31826, 0.5852300000000001], [-0.6201000000000001, -0.0703100000000001], [-0.30844000000000005, 0.2138300000000002], [0, 0], [0, 0], [0, 0], [0, 0], [0.2935699999999999, 0.42781]]
12 206.832 [-0.2493029266500695, 0.31265797099928033] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [-0.19713000000000003, 0.3752200000000001], [0, 0], [-0.23764999999999992, 0.3262100000000001], [0, 0], [-0.37371, 0.30959000000000003], [0, 0], [-0.31826, 0.5852300000000001], [-0.6201000000000001, -0.0703100000000001], [-0.30844000000000005, 0.2138300000000002], [0, 0], [0, 0], [0, 0], [-0.22224, 0.3278599999999998], [0.2935699999999999, 0.42781]]
12 211.839 [-0.24820599287563772, 0.3067747860243334] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [-0.20710000000000006, 0.3628], [-0.2841100000000001, 0.28044], [-0.2319500000000001, 0.32367999999999997], [0, 0], [-0.34951, 0.3141400000000001], [0, 0], [-0.31826, 0.5852300000000001], [-0.6201000000000001, -0.0703100000000001], [-0.30844000000000005, 0.2138300000000002], [0, 0], [0, 0], [0, 0], [-0.21100000000000008, 0.32016], [0.2935699999999999, 0.42781]]
12 216.848 [-0.2489844136599288, 0.3059544759478603] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [-0.20758999999999994, 0.36226], [-0.2872300000000001, 0.27718], [-0.2319500000000001, 0.32367999999999997], [0, 0], [-0.34986000000000006, 0.3137500000000002], [0, 0], [-0.31826, 0.5852300000000001], [-0.6201000000000001, -0.0703100000000001], [-0.30844000000000005, 0.2138300000000002], [0, 0], [0, 0], [0, 0], [-0.21100000000000008, 0.32016], [0.2935699999999999, 0.42781]]
12 221.856 [-0.24817744444413664, 0.30488444444475954] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [-0.20923000000000003, 0.35853], [-0.27752, 0.27021000000000006], [-0.2319500000000001, 0.32367999999999997], [0, 0], [-0.34986000000000006, 0.3137500000000002], [0, 0], [-0.31826, 0.5852300000000001], [-0.6201000000000001, -0.0703100000000001], [-0.30844000000000005, 0.2138300000000002], [0, 0], [0, 0], [0, 0], [-0.21100000000000008, 0.32016], [0.2935699999999999, 0.42781]]
12 226.864 [-0.24799000387444456, 0.30461333874444446] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [-0.20931999999999995, 0.35790999999999995], [-0.2765500000000001, 0.26946000000000003], [-0.2319500000000001, 0.32367999999999997], [0, 0], [-0.34986000000000006, 0.3137500000000002], [0, 0], [-0.31826, 0.5852300000000001], [-0.6201000000000001, -0.0703100000000001], [-0.30844000000000005, 0.2138300000000002], [0, 0], [0, 0], [0, 0], [-0.21100000000000008, 0.32016], [0.2935699999999999, 0.42781]]
12 231.872 [-0.24809500000003876, 0.30441633333338747] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [-0.20931999999999995, 0.35790999999999995], [-0.2765500000000001, 0.26946000000000003], [-0.2330000000000001, 0.32170999999999994], [0, 0], [-0.34986000000000006, 0.3137500000000002], [0, 0], [-0.31826, 0.5852300000000001], [-0.6201000000000001, -0.0703100000000001], [-0.30844000000000005, 0.2138300000000002], [0, 0], [0, 0], [0, 0], [-0.21100000000000008, 0.32016], [0.2935699999999999, 0.42781]]
12 236.88 [-0.2389367086500001, 0.2688955715633333] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [-0.20931999999999995, 0.35790999999999995], [-0.2765500000000001, 0.26946000000000003], [-0.2330000000000001, 0.32170999999999994], [0, 0], [-0.33976000000000006, 0.2741600000000002], [0, 0], [-0.24568999999999996, 0.30478000000000005], [-0.6201000000000001, -0.0703100000000001], [-0.30844000000000005, 0.2138300000000002], [0, 0], [0, 0], [0, 0], [-0.21100000000000008, 0.32016], [0.2935699999999999, 0.42781]]
12 241.889 [-0.23890666726708654, 0.2687800041557157] [-0.39698186264981145, 0.40400021198237707] [[0, 0], [-0.20931999999999995, 0.35790999999999995], [-0.2765500000000001, 0.26946000000000003], [-0.2330000000000001, 0.32170999999999994], [0, 0], [-0.33968, 0.27386], [0, 0], [-0.24564000000000008, 0.30459000000000014], [-0.6201000000000001, -0.0703100000000001], [-0.30844000000000005, 0.2138300000000002], [0, 0], [0, 0], [0, 0], [-0.21100000000000008, 0.32016], [0.2935699999999999, 0.42781]]
