ID TIME #RESOURCES
0 23.336 1
0 29.648 2
0 31.954 3
0 35.555 4
0 40.76 5
0 41.96 6
0 42.963 7
0 43.762 8
0 44.164 9
0 45.77 10
0 47.87 11
0 48.069 12
0 64.692 13
0 65.493 14
0 71.199 15
0 71.401 16
0 85.117 17
0 85.117 18
0 85.418 19
0 88.621 20
0 104.339 21
0 108.146 22
0 113.954 23
0 117.558 24
0 121.561 25
0 123.766 26
0 124.165 27
0 125.575 28
0 129.572 29
0 134.186 30
0 134.479 31
0 136.982 32
0 138.684 33
0 141.491 34
0 145.7 35
0 150.905 36
0 152.505 37
0 153.708 38
0 158.01 39
0 160.413 40
0 160.714 41
0 166.322 42
0 170.347 43
0 174.33 44
0 176.855 45
0 183.745 46
0 184.443 47
0 186.047 48
0 190.753 49
0 191.554 50
0 192.854 51
0 198.666 52
0 202.669 53
0 208.174 54
0 209.076 55
0 213.584 56
0 219.491 57
0 220.391 58
0 225.0 59
0 228.502 60
0 233.208 61
0 235.012 62
0 238.521 63
0 242.921 64
0 251.031 65
0 252.932 66
0 254.135 67
0 256.936 68
0 258.342 69
0 258.741 70
0 258.742 71
0 259.44 72
0 259.941 73
0 263.547 74
0 276.16 75
0 283.473 76
0 290.879 77
0 292.908 78
0 293.184 79
0 293.783 80
0 295.084 81
0 295.684 82
0 296.987 83
0 302.794 84
0 315.908 85
0 321.516 86
0 325.621 87
0 326.325 88
0 330.027 89
0 332.732 90
0 335.462 91
0 341.444 92
0 345.446 93
0 345.846 94
0 346.756 95
0 350.352 96
0 351.053 97
0 352.456 98
0 353.858 99
0 360.067 100
0 367.58 101
0 367.777 102
0 383.197 103
0 383.8 104
0 389.005 105
0 390.806 106
0 392.407 107
0 393.209 108
0 393.809 109
0 396.712 110
0 397.512 111
0 398.516 112
0 399.415 113
0 405.723 114
0 406.625 115
0 414.636 116
0 417.038 117
0 421.951 118
0 425.749 119
0 427.552 120
0 436.565 121
0 439.265 122
0 442.172 123
0 449.277 124
0 449.88 125
0 451.279 126
0 459.592 127
0 467.726 128
0 470.406 129
0 471.609 130
0 473.008 131
0 474.511 132
0 476.614 133
0 480.119 134
0 483.721 135
0 484.322 136
0 486.527 137
0 489.331 138
0 498.342 139
0 499.351 140
0 502.347 141
0 503.248 142
0 506.352 143
0 506.551 144
0 509.955 145
0 512.355 146
0 528.075 147
0 534.581 148
0 541.886 149
0 543.088 150
0 543.491 151
0 546.29 152
0 553.899 153
0 556.003 154
0 557.004 155
0 559.705 156
0 561.43 157
0 571.421 158
0 571.62 159
0 572.139 160
0 577.325 161
0 583.03 162
0 595.743 163
0 596.745 164
0 598.749 165
