ID TIME pos
12 5.35 [0.40984938894852974, -0.3770307339788938] []
12 10.385 [0.40984938894852974, -0.3770307339788938] [(-37185, -35501, 1676572928, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -37185, -35501)]
12 22.106 [0.40984938894852974, -0.3770307339788938] [(-37185, -35501, 1676572928, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -37185, -35501)]
12 47.559 [0.40984938894852974, -0.3770307339788938] [(-37667, -35529, 1676572928, 0, 6, 60000000000000000000, 10000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -37185, -35501)]
12 57.715 [0.40984938894852974, -0.3770307339788938] [(-37411, -35494, 1676572928, 0, 9, 90000000000000000000, 10000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -37185, -35501)]
12 62.821 [0.40984938894852974, -0.3770307339788938] [(-37411, -35494, 1676572928, 0, 9, 90000000000000000000, 10000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -37185, -35501)]
12 67.888 [0.40984938894852974, -0.3770307339788938] [(-37411, -35494, 1676572928, 0, 9, 90000000000000000000, 10000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -37185, -35501)]
12 72.919 [0.40984938894852974, -0.3770307339788938] [(-37411, -35494, 1676572928, 0, 9, 90000000000000000000, 10000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -37185, -35501)]
12 77.953 [0.40984938894852974, -0.3770307339788938] [(-37551, -35496, 1676572928, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -37185, -35501)]
12 83.03 [0.40984938894852974, -0.3770307339788938] [(-37551, -35496, 1676572928, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -37185, -35501)]
12 88.092 [0.40984938894852974, -0.3770307339788938] [(-37551, -35496, 1676572928, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -37185, -35501)]
12 93.203 [0.40984938894852974, -0.3770307339788938] [(-37551, -35496, 1676572928, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -37185, -35501)]
