ID TIME %RAM %CPU
1 0.003 36.0 14.4
1 6.011 36.1 12.5
1 14.004 36.1 15.8
1 19.014 36.1 14.2
1 26.011 36.1 16.7
1 31.026 36.2 11.6
1 38.01 36.3 19.9
1 43.013 36.3 15.0
1 48.024 36.2 13.6
1 54.053 36.2 14.1
1 60.059 36.3 14.5
1 66.068 36.3 14.6
1 71.078 36.3 12.8
1 77.078 36.3 21.6
1 83.032 36.3 16.3
1 88.066 36.7 17.4
1 94.024 36.6 17.3
1 100.046 36.5 17.1
1 106.021 36.5 17.5
1 112.015 36.5 27.8
1 117.016 36.6 16.1
1 122.031 36.7 12.7
1 130.069 36.6 16.7
1 137.031 36.6 19.1
1 144.017 36.6 18.0
1 150.057 36.7 17.0
1 158.029 36.7 17.9
1 163.062 36.7 18.5
1 169.026 36.8 18.9
1 175.027 36.8 13.6
1 180.065 36.8 12.8
1 186.061 36.8 16.0
1 191.072 36.8 14.8
1 197.053 36.8 14.6
1 203.032 36.7 15.8
1 209.038 36.7 12.5
1 215.06 36.7 14.4
1 220.08 36.7 17.9
1 227.046 36.7 12.4
1 232.064 36.7 13.9
1 237.08 36.7 15.7
1 242.097 36.7 17.7
1 249.067 36.7 12.9
1 256.062 36.7 13.3
1 264.056 36.7 14.3
1 272.039 36.7 14.0
1 278.075 36.7 12.5
1 286.062 36.8 14.9
1 291.089 36.7 14.0
1 297.04 36.7 13.8
1 302.045 36.8 14.4
1 308.043 36.8 10.6
1 313.096 36.8 14.3
1 319.055 36.8 15.0
1 325.047 36.8 12.8
1 332.048 36.8 15.1
1 338.089 36.9 12.7
1 345.106 36.7 14.0
1 351.11 36.7 18.2
1 357.064 36.7 10.7
1 364.075 36.7 14.2
1 370.05 36.7 14.0
1 375.12 36.8 12.1
1 383.044 36.8 15.3
1 389.046 36.8 14.6
1 394.071 36.8 10.5
1 401.04 36.7 14.1
1 406.048 36.7 13.2
1 412.055 36.7 13.7
1 418.046 36.7 13.8
1 423.054 36.8 14.9
1 429.05 36.8 13.3
1 436.047 36.8 14.0
1 441.048 36.9 14.9
1 447.085 36.8 12.4
1 452.118 36.8 15.4
1 458.091 36.7 14.5
1 463.111 36.8 15.9
1 469.112 36.7 17.8
1 475.054 36.7 16.0
1 481.091 36.7 13.2
1 486.118 36.7 11.4
1 493.071 36.7 15.0
1 501.055 36.7 14.1
1 509.102 36.7 14.3
1 516.089 36.5 14.3
1 523.053 36.5 15.0
1 528.069 36.5 13.5
1 534.07 36.5 17.9
1 540.088 36.4 13.4
1 547.078 36.4 13.3
1 552.093 36.4 15.2
1 558.057 36.4 15.9
1 563.12 36.5 12.9
1 569.072 36.5 15.2
1 576.07 36.5 12.8
1 581.126 36.5 16.8
1 587.066 36.5 15.4
1 593.149 36.5 14.0
1 600.088 36.5 13.8
1 605.109 36.5 13.7
1 611.126 36.5 17.9
1 618.098 36.5 13.0
1 623.148 36.5 15.4
1 631.083 36.5 15.8
1 637.114 36.6 10.9
1 643.065 36.6 11.4
1 648.138 36.6 17.3
1 654.143 36.5 16.5
1 661.083 36.4 14.1
1 669.078 36.4 14.8
1 675.108 36.4 12.3
1 681.092 36.4 15.4
1 686.131 36.7 16.1
1 693.094 36.8 14.0
1 698.126 36.8 16.3
1 704.106 36.7 13.6
1 709.149 36.8 13.3
1 716.092 36.8 15.0
1 722.094 36.8 12.7
1 728.078 36.7 15.9
1 733.109 36.7 16.0
1 739.078 36.7 12.2
1 744.139 36.8 12.6
1 751.098 36.8 13.9
1 756.12 36.8 13.1
1 761.135 36.8 45.2
1 768.1 36.8 16.1
1 773.128 36.8 15.1
1 780.088 36.9 25.5
1 787.094 36.9 15.4
1 793.102 36.9 14.1
1 800.118 36.9 17.8
1 806.095 36.9 17.9
1 811.145 37.1 16.7
1 818.101 37.0 29.8
1 823.111 36.5 28.5
1 828.133 36.4 20.2
1 835.105 36.1 21.3
1 842.105 36.1 20.6
1 847.165 36.2 33.6
1 854.109 36.2 21.9
1 859.135 36.2 27.6
1 865.13 36.3 27.6
1 873.121 36.6 33.2
1 878.127 36.6 28.3
1 885.143 36.7 22.2
1 893.137 36.6 23.1
1 899.114 36.6 24.4
1 905.144 36.8 29.2
1 912.122 36.7 23.1
1 917.145 36.6 22.8
1 922.154 36.7 30.8
1 928.158 38.5 30.4
1 935.104 38.5 14.4
1 941.117 36.3 31.9
1 947.147 36.3 21.2
1 952.153 36.2 20.6
1 958.153 36.2 25.0
1 963.204 36.2 24.4
1 969.145 36.1 20.9
1 976.135 36.1 21.3
1 981.139 36.0 22.0
1 988.117 36.0 22.2
1 993.127 36.0 23.7
1 999.161 36.0 21.1
1 1005.114 36.0 22.7
1 1010.124 36.1 22.9
1 1016.136 36.1 23.3
1 1021.159 36.1 20.6
1 1027.116 36.1 22.2
1 1033.137 36.1 21.4
1 1039.152 36.1 22.4
1 1046.134 36.1 22.6
1 1053.17 36.2 21.8
1 1059.126 36.2 22.9
1 1065.127 36.2 23.3
1 1070.147 36.2 21.9
1 1075.166 36.2 20.2
1 1081.134 36.2 22.7
1 1088.145 36.2 21.7
1 1093.188 36.1 26.7
1 1099.138 36.1 23.7
1 1106.129 36.1 21.7
1 1112.147 36.1 22.4
1 1117.168 36.1 20.9
1 1123.168 36.1 26.6
1 1129.143 36.1 22.4
1 1136.13 36.1 23.4
1 1142.17 36.2 20.1
1 1148.132 36.2 23.2
1 1154.139 36.2 21.7
1 1159.149 36.2 22.8
1 1165.143 36.2 23.9
1 1171.171 36.2 21.1
1 1177.148 36.2 20.7
1 1183.131 36.2 22.8
1 1188.138 36.3 21.3
1 1194.136 36.2 19.6
1 1199.173 36.3 23.7
1 1206.143 36.3 20.4
1 1211.186 36.3 20.5
1 1219.15 36.3 22.5
1 1224.164 36.3 21.7
1 1230.138 36.0 22.2
1 1236.188 35.9 18.8
1 1242.188 35.8 23.4
1 1248.176 35.6 20.9
1 1254.154 35.6 27.8
1 1260.168 35.6 21.3
1 1265.169 35.6 20.8
1 1271.155 35.6 22.0
