ID TIME POS
2 0.133 -0.132719i + 0.100203j
2 10.145 0.219226i + 0.281851j
2 20.18 0.318032i + 0.202238j
2 31.147 0.473615i + 0.179288j
2 41.229 0.300735i + 0.153017j
2 51.297 -0.137972i + 0.014578j
2 61.302 0.0127042i + 0.0681162j
2 71.31 0.0812804i + 0.0829474j
2 81.489 0.331905i + 0.203262j
2 91.565 0.596882i + 0.169206j
2 101.608 0.850819i + -0.0880913j
2 111.686 0.891179i + -0.317704j
2 121.719 0.766361i + -0.436635j
2 131.808 0.574772i + -0.0379376j
2 141.944 0.545062i + -0.0834144j
2 151.99 0.205532i + -0.0150236j
2 162.035 0.328395i + 0.172433j
2 172.063 0.293645i + 0.199367j
2 182.203 0.458351i + 0.427753j
2 192.211 0.624565i + 0.560693j
2 202.246 0.825555i + 0.792971j
2 212.312 0.910585i + 0.768677j
2 222.579 0.851845i + 0.80403j
2 232.608 0.763337i + 0.781992j
2 242.659 0.486799i + 0.428569j
2 252.803 0.401792i + 0.223825j
2 263.227 0.13822i + 0.083407j
2 273.78 0.00225364i + -0.212397j
2 284.101 -0.215839i + -0.265849j
2 294.718 -0.341645i + -0.351326j
2 305.038 -0.20977i + -0.443205j
2 315.628 -0.0461634i + -0.360665j
2 326.041 -0.165819i + -0.506285j
2 336.554 -0.431453i + -0.585776j
2 347.181 -0.444027i + -0.563626j
2 357.183 -0.524946i + -0.442038j
2 367.198 -0.213473i + -0.304298j
2 377.312 -0.12823i + -0.0953514j
2 387.543 0.198382i + -0.2721j
2 397.669 0.317491i + -0.349431j
2 407.687 0.503788i + -0.379775j
2 417.705 0.266028i + -0.273322j
2 427.757 0.15488i + -0.158064j
2 437.805 0.274152i + -0.0504759j
2 447.918 0.172173i + -0.121469j
2 457.964 0.147235i + -0.37365j
2 468.164 -0.108952i + -0.364101j
2 478.239 -0.354863i + -0.615311j
2 488.243 -0.328996i + -0.516188j
2 498.34 -0.562714i + -0.475444j
2 508.42 -0.688696i + -0.696409j
2 518.483 -0.84516i + -0.743103j
2 528.496 -0.548805i + -0.520803j
2 538.592 -0.449721i + -0.47857j
2 548.594 -0.328524i + -0.187126j
2 558.6 -0.110294i + 0.00974914j
2 568.698 0.0527908i + 0.0177801j
2 578.757 -0.0820764i + -0.0723268j
2 588.769 -0.268396i + -0.171234j
2 598.825 -0.418542i + -0.488262j
2 608.96 -0.30911i + -0.639872j
2 618.983 -0.341912i + -0.586908j
2 629.171 -0.164919i + -0.455135j
2 639.186 -0.14205i + -0.215693j
2 649.225 -0.15497i + -0.184558j
2 659.307 -0.11201i + -0.182695j
2 669.342 -0.199799i + -0.28481j
2 679.423 -0.441635i + -0.479134j
2 689.458 -0.325317i + -0.189375j
2 699.567 -0.145424i + -0.265999j
2 709.619 -0.213005i + -0.309544j
2 719.787 -0.410658i + -0.488902j
2 729.876 -0.369277i + -0.522225j
2 739.886 -0.336503i + -0.284428j
2 749.972 -0.102498i + -0.0989505j
2 760.116 -0.0484706i + -0.0331843j
2 770.203 0.125879i + 0.167544j
2 780.217 0.491836i + 0.174166j
2 790.849 0.365579i + 0.162867j
2 800.946 0.496428i + 0.0628199j
2 811.039 0.57751i + 0.145228j
2 821.199 0.355381i + 0.0626697j
2 831.292 -0.00285463i + -0.0779805j
2 841.321 -0.0073053i + -0.216745j
2 851.355 0.345129i + -0.0943587j
2 861.364 0.285946i + 0.110543j
2 871.404 0.545115i + 0.048978j
2 881.634 0.563484i + 0.0982421j
2 891.891 0.436761i + 0.0756269j
2 902.301 0.142108i + 0.0119243j
2 912.319 0.325015i + 0.13423j
2 922.367 0.100123i + 0.102953j
2 932.433 0.0524999i + 0.137552j
2 942.484 0.081038i + -0.0255113j
2 952.555 0.0494297i + -0.209453j
2 962.629 0.319451i + -0.451118j
2 972.702 0.439264i + -0.560287j
2 982.835 0.577026i + -0.429956j
2 993.116 0.274819i + -0.113424j
2 1003.178 0.120031i + 0.0373806j
2 1013.26 0.250853i + 0.000287219j
2 1023.318 0.0787131i + -0.198079j
2 1033.437 -0.172765i + -0.54117j
2 1043.504 -0.370157i + -0.605808j
2 1053.641 -0.46525i + -0.77278j
2 1063.712 -0.344613i + -0.773692j
2 1073.839 -0.226844i + -0.596588j
2 1083.935 -0.0682239i + -0.340135j
2 1093.997 -0.112704i + -0.247378j
2 1104.04 -0.00291536i + 0.0760224j
2 1114.111 -0.233132i + 0.276285j
2 1124.144 -0.47979i + 0.459236j
2 1134.195 -0.372371i + 0.741725j
2 1144.29 -0.471015i + 0.927987j
2 1154.359 -0.501888i + 0.97408j
2 1164.369 -0.442181i + 0.93886j
2 1174.464 -0.486313i + 0.975326j
2 1184.557 -0.553679i + 0.796715j
2 1194.816 -0.492066i + 0.937465j
2 1204.9 -0.482749i + 0.989479j
2 1214.986 -0.527315i + 0.943291j
2 1225.079 -0.418424i + 1.11137j
2 1235.131 -0.559956i + 0.902406j
2 1245.197 -0.481251i + 1.00268j
2 1255.23 -0.452602i + 1.00488j
2 1265.526 -0.458569i + 0.832121j
2 1275.695 -0.235598i + 0.677188j
2 1285.79 -0.156088i + 0.408256j
2 1295.981 -0.071754i + 0.105344j
2 1306.026 -0.31069i + 0.00324751j
2 1316.1 -0.518064i + 0.0446059j
2 1326.189 -0.679306i + 0.0612607j
2 1336.194 -0.453122i + 0.218439j
2 1346.261 -0.202933i + 0.13779j
2 1356.333 0.098362i + 0.177703j
2 1366.38 0.357825i + 0.160568j
2 1376.402 0.57291i + 0.16707j
2 1386.472 0.564872i + 0.101465j
2 1396.51 0.436217i + 0.158535j
2 1406.519 0.277987i + 0.130954j
2 1416.552 0.0553467i + 0.0203425j
2 1426.553 0.00415701i + -0.168602j
2 1436.673 -0.429796i + -0.383174j
2 1446.711 -0.400365i + -0.556112j
2 1456.732 -0.41865i + -0.352929j
2 1466.785 -0.260509i + -0.212817j
2 1476.937 -0.0859605i + -0.0568803j
2 1487.023 0.121541i + 0.302069j
2 1497.15 0.312463i + 0.238214j
2 1507.279 0.452158i + 0.144605j
2 1517.311 0.179899i + -0.00461015j
2 1527.317 0.0292205i + -0.111102j
2 1537.536 -0.279939i + -0.237467j
2 1547.664 -0.227117i + -0.422991j
2 1557.682 -0.60734i + -0.482326j
2 1567.766 -0.349725i + -0.484737j
2 1577.854 -0.320542i + -0.280907j
2 1587.889 -0.0819622i + -0.0935772j
2 1597.991 0.279272i + -0.248781j
2 1608.008 0.364314i + -0.288809j
2 1618.068 0.233785i + -0.342639j
2 1628.148 -0.0498231i + -0.544986j
2 1638.295 -0.388873i + -0.599696j
2 1648.318 -0.428955i + -0.471436j
2 1658.345 -0.273338i + -0.406999j
2 1668.391 -0.108542i + -0.299226j
2 1678.486 0.0410032i + -0.239911j
2 1688.565 0.24682i + -0.108932j
2 1698.594 0.17368i + -0.218371j
2 1708.637 0.111971i + -0.189233j
2 1718.67 0.288305i + -0.0496443j
2 1728.752 0.605854i + 0.137943j
2 1739.076 0.592627i + 0.184179j
2 1749.22 0.388695i + 0.089663j
2 1759.293 0.141696i + 0.0640726j
2 1769.356 0.242549i + 0.0452905j
2 1779.531 0.585727i + 0.0141654j
2 1789.568 0.774886i + 0.00959846j
2 1799.6 0.563119i + 0.0355015j
