ID TIME pos
9 0.096 [0, 0] [-0.3627042145495745, -0.3886294839370129]
9 5.104 [0, 0] [-0.3627042145495745, -0.3886294839370129]
9 10.112 [0, 0] [-0.3627042145495745, -0.3886294839370129]
9 15.119 [0, 0] [-0.3627042145495745, -0.3886294839370129]
9 20.125 [-0.35962000000000005, -0.2852699999999999] [-0.3627042145495745, -0.3886294839370129]
9 25.129 [-0.35962000000000005, -0.2852699999999999] [-0.3627042145495745, -0.3886294839370129]
9 30.135 [-0.31917953593815973, -0.30097528723548694] [-0.3627042145495745, -0.3886294839370129]
9 35.142 [-0.32185965195361976, -0.31744646542661525] [-0.3627042145495745, -0.3886294839370129]
9 40.152 [-0.3227421519536197, -0.3157939654266152] [-0.3627042145495745, -0.3886294839370129]
9 45.157 [-0.3243017215628958, -0.3168451723412922] [-0.3627042145495745, -0.3886294839370129]
9 50.159 [-0.3245157215628958, -0.3169891723412922] [-0.3627042145495745, -0.3886294839370129]
9 55.173 [-0.3255731013024132, -0.31660597695107684] [-0.3627042145495745, -0.3886294839370129]
9 60.175 [-0.3261947679690798, -0.3175893102844102] [-0.3627042145495745, -0.3886294839370129]
9 65.182 [-0.3313814346357465, -0.3307576436177435] [-0.3627042145495745, -0.3886294839370129]
9 70.193 [-0.33152837254492556, -0.3390879802437801] [-0.3627042145495745, -0.3886294839370129]
9 75.197 [-0.3315326582592113, -0.339255123100923] [-0.3627042145495745, -0.3886294839370129]
9 80.206 [-0.33158107597680986, -0.3415419827133076] [-0.3627042145495745, -0.3886294839370129]
9 85.212 [-0.33160984531271986, -0.343251762411829] [-0.3627042145495745, -0.3886294839370129]
9 90.216 [-0.3302758607814479, -0.34756058617064606] [-0.3627042145495745, -0.3886294839370129]
9 95.222 [-0.32877086078144796, -0.34507158617064604] [-0.3627042145495745, -0.3886294839370129]
9 100.229 [-0.3286718607814479, -0.3450375861706461] [-0.3627042145495745, -0.3886294839370129]
9 105.24 [-0.32868086078144787, -0.34494458617064605] [-0.3627042145495745, -0.3886294839370129]
9 110.24 [-0.32868686078144793, -0.34492558617064606] [-0.3627042145495745, -0.3886294839370129]
9 115.251 [-0.3287068607814479, -0.344997586170646] [-0.3627042145495745, -0.3886294839370129]
9 120.253 [-0.3277080552558618, -0.3433796237914964] [-0.3627042145495745, -0.3886294839370129]
9 125.26 [-0.3277744188922254, -0.3431687147005873] [-0.3627042145495745, -0.3886294839370129]
9 130.274 [-0.3330723839845399, -0.34620048847553836] [-0.3627042145495745, -0.3886294839370129]
9 135.278 [-0.33302821731787324, -0.3462713218088717] [-0.3627042145495745, -0.3886294839370129]
9 140.283 [-0.3330198839845399, -0.3453704884755384] [-0.3627042145495745, -0.3886294839370129]
9 145.283 [-0.3330215506512066, -0.34536715514220506] [-0.3627042145495745, -0.3886294839370129]
9 150.29 [-0.32990758521649843, -0.3443842970543431] [-0.3627042145495745, -0.3886294839370129]
9 155.298 [-0.3298814313703445, -0.34434198936203547] [-0.3627042145495745, -0.3886294839370129]
9 160.305 [-0.3298806621395753, -0.34434275859280467] [-0.3627042145495745, -0.3886294839370129]
9 165.308 [-0.3298806621395753, -0.34434275859280467] [-0.3627042145495745, -0.3886294839370129]
9 170.32 [-0.3298814313703445, -0.34434275859280467] [-0.3627042145495745, -0.3886294839370129]
9 175.322 [-0.3298814313703445, -0.34434275859280467] [-0.3627042145495745, -0.3886294839370129]
9 180.327 [-0.3298668159857291, -0.34432198936203545] [-0.3627042145495745, -0.3886294839370129]
9 185.338 [-0.33012143137034455, -0.3444612201312661] [-0.3627042145495745, -0.3886294839370129]
9 190.34 [-0.3285414313703445, -0.34292275859280463] [-0.3627042145495745, -0.3886294839370129]
9 195.347 [-0.32600296983188304, -0.34363891243895844] [-0.3627042145495745, -0.3886294839370129]
9 200.356 [-0.3260206621395753, -0.34352737397741995] [-0.3627042145495745, -0.3886294839370129]
9 205.367 [-0.3260045082934214, -0.3435304509004969] [-0.3627042145495745, -0.3886294839370129]
9 210.371 [-0.32633527752419067, -0.34361968166972773] [-0.3627042145495745, -0.3886294839370129]
9 215.373 [-0.32643604675495996, -0.3463589124389585] [-0.3627042145495745, -0.3886294839370129]
9 220.383 [-0.3267098929088061, -0.3471866047466508] [-0.3627042145495745, -0.3886294839370129]
9 225.388 [-0.3266983544472677, -0.3472681432081893] [-0.3627042145495745, -0.3886294839370129]
9 230.393 [-0.3266983544472677, -0.3472681432081893] [-0.3627042145495745, -0.3886294839370129]
9 235.402 [-0.3266983544472677, -0.3472681432081893] [-0.3627042145495745, -0.3886294839370129]
9 240.406 [-0.3266983544472677, -0.3472681432081893] [-0.3627042145495745, -0.3886294839370129]
9 245.41 [-0.32667490055817716, -0.34787684726474716] [-0.3627042145495745, -0.3886294839370129]
9 250.417 [-0.3266734719867485, -0.3478754186933185] [-0.3627042145495745, -0.3886294839370129]
9 255.428 [-0.32573847198674866, -0.34748827583617575] [-0.3627042145495745, -0.3886294839370129]
9 260.434 [-0.32573418627246287, -0.34748684726474716] [-0.3627042145495745, -0.3886294839370129]
9 265.442 [-0.32573418627246287, -0.34748684726474716] [-0.3627042145495745, -0.3886294839370129]
9 270.448 [-0.32573418627246287, -0.34748684726474716] [-0.3627042145495745, -0.3886294839370129]
9 275.456 [-0.3255985738542987, -0.34778039078043066] [-0.3627042145495745, -0.3886294839370129]
9 280.457 [-0.3256205738542987, -0.347805724113764] [-0.3627042145495745, -0.3886294839370129]
9 285.467 [-0.32561990718763206, -0.34780439078043074] [-0.3627042145495745, -0.3886294839370129]
