ID TIME pos
3 0.1 [0, 0] [-0.3838908250909344, 0.3082442288673111]
3 5.109 [0, 0] [-0.3838908250909344, 0.3082442288673111]
3 10.114 [0, 0] [-0.3838908250909344, 0.3082442288673111]
3 15.12 [0, 0] [-0.3838908250909344, 0.3082442288673111]
3 20.126 [0, 0] [-0.3838908250909344, 0.3082442288673111]
3 25.132 [0, 0] [-0.3838908250909344, 0.3082442288673111]
3 30.141 [0, 0] [-0.3838908250909344, 0.3082442288673111]
3 35.146 [0, 0] [-0.3838908250909344, 0.3082442288673111]
3 40.154 [0, 0] [-0.3838908250909344, 0.3082442288673111]
3 45.161 [-0.3873, 0.26975000000000016] [-0.3838908250909344, 0.3082442288673111]
3 50.164 [-0.3873, 0.26975000000000016] [-0.3838908250909344, 0.3082442288673111]
3 55.173 [-0.389135, 0.269895] [-0.3838908250909344, 0.3082442288673111]
3 60.179 [-0.39579666666666663, 0.2755699999999999] [-0.3838908250909344, 0.3082442288673111]
3 65.186 [-0.39993749999999995, 0.25887250000000006] [-0.3838908250909344, 0.3082442288673111]
3 70.192 [-0.39907, 0.25856] [-0.3838908250909344, 0.3082442288673111]
3 75.2 [-0.3996879687447783, 0.26505574222738054] [-0.3838908250909344, 0.3082442288673111]
3 80.205 [-0.3993042187447783, 0.2649069922273805] [-0.3838908250909344, 0.3082442288673111]
3 85.212 [-0.3993942187447783, 0.26471074222738056] [-0.3838908250909344, 0.3082442288673111]
3 90.218 [-0.39965374999535846, 0.2632917708687827] [-0.3838908250909344, 0.3082442288673111]
3 95.225 [-0.39965374999535846, 0.2632906597576716] [-0.3838908250909344, 0.3082442288673111]
3 100.232 [-0.39965374999535846, 0.2632906597576716] [-0.3838908250909344, 0.3082442288673111]
3 105.238 [-0.4004343749958227, 0.2605215937819044] [-0.3838908250909344, 0.3082442288673111]
3 110.243 [-0.40414437499582273, 0.2578925937819044] [-0.3838908250909344, 0.3082442288673111]
3 115.249 [-0.4041173749958227, 0.25783959378190435] [-0.3838908250909344, 0.3082442288673111]
3 120.256 [-0.40410852272347514, 0.2574014488926404] [-0.3838908250909344, 0.3082442288673111]
3 125.262 [-0.4068148863598387, 0.260297812529004] [-0.3838908250909344, 0.3082442288673111]
3 130.269 [-0.40698579545074787, 0.2605014488926403] [-0.3838908250909344, 0.3082442288673111]
3 135.275 [-0.4071728124965188, 0.26059466148492033] [-0.3838908250909344, 0.3082442288673111]
3 140.281 [-0.41310874999678665, 0.26082507213992645] [-0.3838908250909344, 0.3082442288673111]
3 145.288 [-0.41509798076601745, 0.2610589182937726] [-0.3838908250909344, 0.3082442288673111]
3 150.296 [-0.4151195192275559, 0.2610589182937726] [-0.3838908250909344, 0.3082442288673111]
3 155.301 [-0.41653413461217126, 0.26145507213992647] [-0.3838908250909344, 0.3082442288673111]
3 160.306 [-0.41668105768909436, 0.26159737983223413] [-0.3838908250909344, 0.3082442288673111]
3 165.314 [-0.4167672115352482, 0.2616227644476187] [-0.3838908250909344, 0.3082442288673111]
3 170.32 [-0.41677874999678666, 0.2616173798322341] [-0.3838908250909344, 0.3082442288673111]
3 175.327 [-0.4165518269198636, 0.26137276444761876] [-0.3838908250909344, 0.3082442288673111]
3 180.334 [-0.4165518269198636, 0.26137276444761876] [-0.3838908250909344, 0.3082442288673111]
3 185.341 [-0.41672951922755586, 0.26129814906300336] [-0.3838908250909344, 0.3082442288673111]
3 190.347 [-0.41796798076601743, 0.26094276444761877] [-0.3838908250909344, 0.3082442288673111]
3 195.354 [-0.4179779807660174, 0.2609566106014649] [-0.3838908250909344, 0.3082442288673111]
3 200.362 [-0.4179779807660174, 0.2609566106014649] [-0.3838908250909344, 0.3082442288673111]
3 205.368 [-0.4180825961506328, 0.2609719952168495] [-0.3838908250909344, 0.3082442288673111]
3 210.374 [-0.41839259615063273, 0.2609681490630033] [-0.3838908250909344, 0.3082442288673111]
3 215.382 [-0.41839413461217123, 0.26097045675531105] [-0.3838908250909344, 0.3082442288673111]
3 220.388 [-0.41922721153524817, 0.26119276444761874] [-0.3838908250909344, 0.3082442288673111]
3 225.395 [-0.4192372115352481, 0.26119507213992643] [-0.3838908250909344, 0.3082442288673111]
3 230.4 [-0.4192125961506328, 0.2613389182937726] [-0.3838908250909344, 0.3082442288673111]
3 235.406 [-0.4192125961506328, 0.26133737983223415] [-0.3838908250909344, 0.3082442288673111]
3 240.413 [-0.4192125961506328, 0.26133737983223415] [-0.3838908250909344, 0.3082442288673111]
3 245.42 [-0.4187864423044789, 0.2612619952168495] [-0.3838908250909344, 0.3082442288673111]
3 250.426 [-0.4187972115352482, 0.26126045675531107] [-0.3838908250909344, 0.3082442288673111]
3 255.432 [-0.4187972115352482, 0.26126045675531107] [-0.3838908250909344, 0.3082442288673111]
3 260.439 [-0.4189187499967865, 0.2614781490630034] [-0.3838908250909344, 0.3082442288673111]
3 265.445 [-0.41891951922755577, 0.2614796875245418] [-0.3838908250909344, 0.3082442288673111]
3 270.452 [-0.41891951922755577, 0.2614796875245418] [-0.3838908250909344, 0.3082442288673111]
3 275.461 [-0.41899413461217117, 0.26151045675531104] [-0.3838908250909344, 0.3082442288673111]
3 280.466 [-0.41899413461217117, 0.26151045675531104] [-0.3838908250909344, 0.3082442288673111]
3 285.473 [-0.41899413461217117, 0.26151045675531104] [-0.3838908250909344, 0.3082442288673111]
3 290.48 [-0.41921336538140197, 0.2626827644476188] [-0.3838908250909344, 0.3082442288673111]
3 295.487 [-0.4192149038429405, 0.2626896875245418] [-0.3838908250909344, 0.3082442288673111]
3 300.494 [-0.41920336538140207, 0.26270276444761875] [-0.3838908250909344, 0.3082442288673111]
3 305.5 [-0.41920336538140207, 0.26270276444761875] [-0.3838908250909344, 0.3082442288673111]
3 310.506 [-0.41920336538140207, 0.26270276444761875] [-0.3838908250909344, 0.3082442288673111]
3 315.513 [-0.41920336538140207, 0.26270276444761875] [-0.3838908250909344, 0.3082442288673111]
3 320.52 [-0.41920336538140207, 0.26270276444761875] [-0.3838908250909344, 0.3082442288673111]
3 325.526 [-0.41920336538140207, 0.26270276444761875] [-0.3838908250909344, 0.3082442288673111]
3 330.533 [-0.41920336538140207, 0.26270276444761875] [-0.3838908250909344, 0.3082442288673111]
3 335.54 [-0.41941567307370964, 0.26286430290915724] [-0.3838908250909344, 0.3082442288673111]
3 340.546 [-0.4194172115352482, 0.26286430290915724] [-0.3838908250909344, 0.3082442288673111]
3 345.555 [-0.41958874999678675, 0.2628404567553111] [-0.3838908250909344, 0.3082442288673111]
3 350.559 [-0.41959028845832513, 0.26284122598608034] [-0.3838908250909344, 0.3082442288673111]
3 355.566 [-0.41959028845832513, 0.26284122598608034] [-0.3838908250909344, 0.3082442288673111]
3 360.573 [-0.41959028845832513, 0.26284122598608034] [-0.3838908250909344, 0.3082442288673111]
3 365.579 [-0.41960951922755585, 0.2628566106014649] [-0.3838908250909344, 0.3082442288673111]
3 370.584 [-0.4196002884583251, 0.26290430290915723] [-0.3838908250909344, 0.3082442288673111]
3 375.591 [-0.41960874999678666, 0.262906610601465] [-0.3838908250909344, 0.3082442288673111]
3 380.597 [-0.41960874999678666, 0.262906610601465] [-0.3838908250909344, 0.3082442288673111]
3 385.604 [-0.41960874999678666, 0.262906610601465] [-0.3838908250909344, 0.3082442288673111]
3 390.612 [-0.4197425961506328, 0.26388661060146495] [-0.3838908250909344, 0.3082442288673111]
3 395.619 [-0.4197425961506328, 0.26388661060146495] [-0.3838908250909344, 0.3082442288673111]
3 400.623 [-0.41974413461217136, 0.2638873798322342] [-0.3838908250909344, 0.3082442288673111]
3 405.63 [-0.41974413461217136, 0.2638873798322342] [-0.3838908250909344, 0.3082442288673111]
3 410.636 [-0.42000951922755586, 0.2638081490630034] [-0.3838908250909344, 0.3082442288673111]
3 415.643 [-0.4203941346121712, 0.2637919952168496] [-0.3838908250909344, 0.3082442288673111]
3 420.649 [-0.4205541346121713, 0.26351199521684954] [-0.3838908250909344, 0.3082442288673111]
3 425.656 [-0.42055644230447903, 0.2635127644476188] [-0.3838908250909344, 0.3082442288673111]
3 430.663 [-0.42055490384294053, 0.2635127644476188] [-0.3838908250909344, 0.3082442288673111]
3 435.671 [-0.4189545535684448, 0.26204828127278884] [-0.3838908250909344, 0.3082442288673111]
3 440.675 [-0.42068169642558756, 0.26123970984421746] [-0.3838908250909344, 0.3082442288673111]
3 445.681 [-0.420755267854159, 0.26123970984421746] [-0.3838908250909344, 0.3082442288673111]
3 450.688 [-0.4208716964255875, 0.2613697098442174] [-0.3838908250909344, 0.3082442288673111]
3 455.695 [-0.4208881249970161, 0.26137256698707456] [-0.3838908250909344, 0.3082442288673111]
3 460.699 [-0.4210138392827304, 0.2613704241299317] [-0.3838908250909344, 0.3082442288673111]
3 465.707 [-0.42101455356844475, 0.261371138415646] [-0.3838908250909344, 0.3082442288673111]
3 470.715 [-0.4210009821398733, 0.2613668527013603] [-0.3838908250909344, 0.3082442288673111]
3 475.721 [-0.42118598213987324, 0.2612068527013603] [-0.3838908250909344, 0.3082442288673111]
3 480.728 [-0.41763891666388175, 0.26101906252126955] [-0.3838908250909344, 0.3082442288673111]
3 485.735 [-0.4177569166638817, 0.2610610625212696] [-0.3838908250909344, 0.3082442288673111]
3 490.742 [-0.417776249997215, 0.26105306252126964] [-0.3838908250909344, 0.3082442288673111]
3 495.748 [-0.41777691666388167, 0.26105306252126964] [-0.3838908250909344, 0.3082442288673111]
3 500.755 [-0.4177775833305484, 0.26105306252126964] [-0.3838908250909344, 0.3082442288673111]
3 505.761 [-0.41782024999721507, 0.26106506252126965] [-0.3838908250909344, 0.3082442288673111]
3 510.768 [-0.41782091666388177, 0.26106106252126965] [-0.3838908250909344, 0.3082442288673111]
3 515.774 [-0.41781691666388177, 0.261060395854603] [-0.3838908250909344, 0.3082442288673111]
3 520.781 [-0.41781691666388177, 0.261060395854603] [-0.3838908250909344, 0.3082442288673111]
3 525.787 [-0.41781691666388177, 0.261060395854603] [-0.3838908250909344, 0.3082442288673111]
3 530.794 [-0.41781691666388177, 0.261060395854603] [-0.3838908250909344, 0.3082442288673111]
3 535.8 [-0.41781691666388177, 0.261060395854603] [-0.3838908250909344, 0.3082442288673111]
3 540.807 [-0.41674824999721505, 0.26120972918793633] [-0.3838908250909344, 0.3082442288673111]
3 545.814 [-0.4168709166638817, 0.2611237291879363] [-0.3838908250909344, 0.3082442288673111]
3 550.819 [-0.4168909166638818, 0.26112439585460295] [-0.3838908250909344, 0.3082442288673111]
3 555.828 [-0.4168655833305483, 0.261100395854603] [-0.3838908250909344, 0.3082442288673111]
3 560.835 [-0.416480249997215, 0.2603730625212696] [-0.3838908250909344, 0.3082442288673111]
3 565.841 [-0.416480249997215, 0.2603730625212696] [-0.3838908250909344, 0.3082442288673111]
3 570.849 [-0.41613958333054835, 0.2603630625212696] [-0.3838908250909344, 0.3082442288673111]
3 575.854 [-0.41605491666388167, 0.26012439585460295] [-0.3838908250909344, 0.3082442288673111]
3 580.861 [-0.4160849166638817, 0.2603630625212696] [-0.3838908250909344, 0.3082442288673111]
3 585.868 [-0.4161289166638817, 0.26034972918793625] [-0.3838908250909344, 0.3082442288673111]
3 590.874 [-0.41619558333054835, 0.2603437291879363] [-0.3838908250909344, 0.3082442288673111]
3 595.881 [-0.41634891666388174, 0.2602677291879363] [-0.3838908250909344, 0.3082442288673111]
