ID TIME pos
13 255.527 [0.4199203879098675, 0.37791414818545854] [0.445992151382498, 0.4043407707571747]
13 260.537 [0.41985038790986745, 0.37785568664699704] [0.445992151382498, 0.4043407707571747]
13 265.544 [0.41985038790986745, 0.37785568664699704] [0.445992151382498, 0.4043407707571747]
13 270.547 [0.42392678877344847, 0.3803688518864973] [0.445992151382498, 0.4043407707571747]
13 275.555 [0.423223217344877, 0.37937599474364003] [0.445992151382498, 0.4043407707571747]
13 280.568 [0.42829500285521854, 0.38082826176073076] [0.445992151382498, 0.4043407707571747]
13 285.569 [0.42771300285521857, 0.38086626176073074] [0.445992151382498, 0.4043407707571747]
13 290.579 [0.42775166952188515, 0.3810042617607306] [0.445992151382498, 0.4043407707571747]
13 295.58 [0.4276583361885518, 0.380935595094064] [0.445992151382498, 0.4043407707571747]
13 300.585 [0.4276583361885518, 0.380935595094064] [0.445992151382498, 0.4043407707571747]
13 305.591 [0.4276550028552185, 0.38093626176073064] [0.445992151382498, 0.4043407707571747]
13 310.6 [0.4276550028552185, 0.38093626176073064] [0.445992151382498, 0.4043407707571747]
13 315.607 [0.4276550028552185, 0.38093626176073064] [0.445992151382498, 0.4043407707571747]
13 320.62 [0.4277216695218851, 0.38059359509406393] [0.445992151382498, 0.4043407707571747]
13 325.622 [0.4277216695218851, 0.38059359509406393] [0.445992151382498, 0.4043407707571747]
13 330.629 [0.4276416695218852, 0.38055292842739724] [0.445992151382498, 0.4043407707571747]
13 335.637 [0.4276416695218852, 0.38055292842739724] [0.445992151382498, 0.4043407707571747]
13 340.641 [0.4306463361885518, 0.3804675950940639] [0.445992151382498, 0.4043407707571747]
13 345.646 [0.4306470028552185, 0.3804675950940639] [0.445992151382498, 0.4043407707571747]
13 350.656 [0.4306470028552185, 0.3804675950940639] [0.445992151382498, 0.4043407707571747]
13 355.662 [0.4306470028552185, 0.3804675950940639] [0.445992151382498, 0.4043407707571747]
13 360.664 [0.43168900285521855, 0.3802369284273973] [0.445992151382498, 0.4043407707571747]
13 365.677 [0.43194100285521847, 0.38010426176073064] [0.445992151382498, 0.4043407707571747]
13 370.783 [0.4319516695218851, 0.3800982617607307] [0.445992151382498, 0.4043407707571747]
13 375.883 [0.4319516695218851, 0.3800982617607307] [0.445992151382498, 0.4043407707571747]
13 380.896 [0.4321243361885517, 0.3802129284273974] [0.445992151382498, 0.4043407707571747]
13 386.002 [0.43212566952188514, 0.38021359509406405] [0.445992151382498, 0.4043407707571747]
13 391.003 [0.43212566952188514, 0.38021359509406405] [0.445992151382498, 0.4043407707571747]
