ID TIME pos
11 0.095 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 5.104 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 10.117 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 15.22 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 20.226 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 25.236 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 30.242 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 35.246 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 40.254 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 45.258 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 50.269 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 55.273 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 60.279 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 65.285 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 70.293 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 75.298 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 80.309 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 85.315 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 90.32 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 95.327 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 100.334 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 105.339 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 110.445 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 115.45 [0, 0] [0.5040544357065714, 0.14495530061428424]
11 120.456 [0.46434, 0.21254000000000017] [0.5040544357065714, 0.14495530061428424]
11 125.468 [0.46434, 0.21254000000000017] [0.5040544357065714, 0.14495530061428424]
11 130.568 [0.46434, 0.21254000000000017] [0.5040544357065714, 0.14495530061428424]
11 135.573 [0.46434, 0.21254000000000017] [0.5040544357065714, 0.14495530061428424]
11 140.58 [0.46434, 0.21254000000000017] [0.5040544357065714, 0.14495530061428424]
11 145.586 [0.46434, 0.21254000000000017] [0.5040544357065714, 0.14495530061428424]
11 150.594 [0.4805466666666667, 0.23045333333333332] [0.5040544357065714, 0.14495530061428424]
11 155.6 [0.48618999999999996, 0.23174199999999995] [0.5040544357065714, 0.14495530061428424]
11 160.607 [0.486456, 0.23224600000000004] [0.5040544357065714, 0.14495530061428424]
11 165.614 [0.490416, 0.23335] [0.5040544357065714, 0.14495530061428424]
11 170.621 [0.48840374999999997, 0.23007125000000006] [0.5040544357065714, 0.14495530061428424]
11 175.626 [0.48834625, 0.22877499999999995] [0.5040544357065714, 0.14495530061428424]
11 180.743 [0.48874125, 0.22800125] [0.5040544357065714, 0.14495530061428424]
11 185.843 [0.48874625000000005, 0.2279925] [0.5040544357065714, 0.14495530061428424]
11 190.846 [0.488875, 0.22745625000000003] [0.5040544357065714, 0.14495530061428424]
11 195.858 [0.48849875000000004, 0.22735625000000004] [0.5040544357065714, 0.14495530061428424]
11 200.86 [0.503954707694851, 0.212264444897452] [0.5040544357065714, 0.14495530061428424]
11 205.864 [0.5039459820536133, 0.2120582411559976] [0.5040544357065714, 0.14495530061428424]
11 210.872 [0.5042301487202799, 0.21190407448933102] [0.5040544357065714, 0.14495530061428424]
11 215.874 [0.49894859881872, 0.2088022226055363] [0.5040544357065714, 0.14495530061428424]
11 220.888 [0.49892090651102766, 0.20876453029784406] [0.5040544357065714, 0.14495530061428424]
