ID TIME pos
4 0.099 [0, 0] [-0.3627042145495745, -0.3886294839370129]
4 5.105 [0, 0] [-0.3627042145495745, -0.3886294839370129]
4 10.112 [0, 0] [-0.3627042145495745, -0.3886294839370129]
4 15.118 [0, 0] [-0.3627042145495745, -0.3886294839370129]
4 20.125 [0, 0] [-0.3627042145495745, -0.3886294839370129]
4 25.132 [0, 0] [-0.3627042145495745, -0.3886294839370129]
4 30.14 [0, 0] [-0.3627042145495745, -0.3886294839370129]
4 35.145 [0.1610100000000001, -0.3282799999999999] [-0.3627042145495745, -0.3886294839370129]
4 40.148 [0.1610100000000001, -0.3282799999999999] [-0.3627042145495745, -0.3886294839370129]
4 45.158 [0.1610100000000001, -0.3282799999999999] [-0.3627042145495745, -0.3886294839370129]
4 50.163 [0.1610100000000001, -0.3282799999999999] [-0.3627042145495745, -0.3886294839370129]
4 55.17 [0.1610100000000001, -0.3282799999999999] [-0.3627042145495745, -0.3886294839370129]
4 60.176 [0.1610100000000001, -0.3282799999999999] [-0.3627042145495745, -0.3886294839370129]
4 65.182 [0.1610100000000001, -0.3282799999999999] [-0.3627042145495745, -0.3886294839370129]
4 70.189 [0.1610100000000001, -0.3282799999999999] [-0.3627042145495745, -0.3886294839370129]
4 75.195 [0.1610100000000001, -0.3282799999999999] [-0.3627042145495745, -0.3886294839370129]
4 80.205 [0.1610100000000001, -0.3282799999999999] [-0.3627042145495745, -0.3886294839370129]
4 85.21 [0.1610100000000001, -0.3282799999999999] [-0.3627042145495745, -0.3886294839370129]
4 90.217 [-0.09611666666666663, -0.3895733333333333] [-0.3627042145495745, -0.3886294839370129]
4 95.222 [-0.14253624999999998, -0.40220500000000003] [-0.3627042145495745, -0.3886294839370129]
4 100.229 [-0.14797888888888888, -0.40357666666666664] [-0.3627042145495745, -0.3886294839370129]
4 105.234 [-0.14236222222222225, -0.4018955555555555] [-0.3627042145495745, -0.3886294839370129]
4 110.238 [-0.13823777777777776, -0.40164444444444447] [-0.3627042145495745, -0.3886294839370129]
4 115.245 [-0.15690699999999996, -0.40393999999999997] [-0.3627042145495745, -0.3886294839370129]
4 120.25 [-0.16097, -0.406877] [-0.3627042145495745, -0.3886294839370129]
4 125.259 [-0.16023700000000002, -0.406827] [-0.3627042145495745, -0.3886294839370129]
4 130.263 [-0.16064, -0.406792] [-0.3627042145495745, -0.3886294839370129]
4 135.269 [-0.15999100000000005, -0.40692500000000004] [-0.3627042145495745, -0.3886294839370129]
4 140.277 [-0.15992699999999999, -0.40698300000000004] [-0.3627042145495745, -0.3886294839370129]
4 145.282 [-0.16070900000000002, -0.40707699999999997] [-0.3627042145495745, -0.3886294839370129]
4 150.288 [-0.18543038674361653, -0.4110613317156156] [-0.3627042145495745, -0.3886294839370129]
4 155.295 [-0.1874645211816485, -0.4116970540726477] [-0.3627042145495745, -0.3886294839370129]
4 160.302 [-0.18774368784831516, -0.4118670540726477] [-0.3627042145495745, -0.3886294839370129]
4 165.309 [-0.18775618784831516, -0.41186872073931435] [-0.3627042145495745, -0.3886294839370129]
4 170.315 [-0.18879118784831517, -0.41134872073931433] [-0.3627042145495745, -0.3886294839370129]
4 175.322 [-0.18880868784831517, -0.41134705407264766] [-0.3627042145495745, -0.3886294839370129]
4 180.33 [-0.18891368784831516, -0.41135122073931435] [-0.3627042145495745, -0.3886294839370129]
4 185.336 [-0.18947368784831511, -0.41142788740598096] [-0.3627042145495745, -0.3886294839370129]
4 190.343 [-0.19137785451498182, -0.4108887207393144] [-0.3627042145495745, -0.3886294839370129]
4 195.348 [-0.19172263493690628, -0.4111234345285979] [-0.3627042145495745, -0.3886294839370129]
4 200.356 [-0.19184032724459857, -0.4109642037593671] [-0.3627042145495745, -0.3886294839370129]
4 205.362 [-0.19184801955229086, -0.410964203759367] [-0.3627042145495745, -0.3886294839370129]
4 210.368 [-0.19143173244141296, -0.4111646177765551] [-0.3627042145495745, -0.3886294839370129]
4 215.375 [-0.1915588752985558, -0.41119533206226944] [-0.3627042145495745, -0.3886294839370129]
4 220.384 [-0.1915588752985558, -0.41119533206226944] [-0.3627042145495745, -0.3886294839370129]
4 225.39 [-0.1916903038699844, -0.4114224749194123] [-0.3627042145495745, -0.3886294839370129]
4 230.396 [-0.19170101815569868, -0.41146247491941235] [-0.3627042145495745, -0.3886294839370129]
4 235.402 [-0.19170101815569868, -0.41146247491941235] [-0.3627042145495745, -0.3886294839370129]
4 240.407 [-0.19287530386998442, -0.4118760463479837] [-0.3627042145495745, -0.3886294839370129]
4 245.41 [-0.19287530386998442, -0.4118760463479837] [-0.3627042145495745, -0.3886294839370129]
4 250.42 [-0.19287530386998442, -0.4118760463479837] [-0.3627042145495745, -0.3886294839370129]
4 255.426 [-0.19304744672712726, -0.4119246177765552] [-0.3627042145495745, -0.3886294839370129]
4 260.433 [-0.1959253038699844, -0.41279604634798367] [-0.3627042145495745, -0.3886294839370129]
4 265.442 [-0.1959253038699844, -0.41279604634798367] [-0.3627042145495745, -0.3886294839370129]
4 270.444 [-0.19593601815569867, -0.4128031892051265] [-0.3627042145495745, -0.3886294839370129]
4 275.454 [-0.19609744672712726, -0.4128753320622694] [-0.3627042145495745, -0.3886294839370129]
4 280.46 [-0.19609887529855582, -0.41287604634798364] [-0.3627042145495745, -0.3886294839370129]
4 285.466 [-0.19609887529855582, -0.41287604634798364] [-0.3627042145495745, -0.3886294839370129]
4 290.473 [-0.19609887529855582, -0.41287604634798364] [-0.3627042145495745, -0.3886294839370129]
4 295.476 [-0.19609887529855582, -0.41287604634798364] [-0.3627042145495745, -0.3886294839370129]
4 300.489 [-0.19609887529855582, -0.41287604634798364] [-0.3627042145495745, -0.3886294839370129]
4 305.493 [-0.19609887529855582, -0.41287604634798364] [-0.3627042145495745, -0.3886294839370129]
4 310.5 [-0.19609887529855582, -0.41287604634798364] [-0.3627042145495745, -0.3886294839370129]
4 315.505 [-0.19744601815569868, -0.4134739034908409] [-0.3627042145495745, -0.3886294839370129]
