[4 INFO main 29] Initialising Python Geth Console...
[4 INFO main 33] Initialising RandB board...
[4 INFO main 33] Initialising navigation...
[4 INFO main 33] Initialising random-walk...
[4 INFO main 33] Initialising odometry...
[4 INFO main 33] Initialising ground-sensors...
[4 INFO main 964] --//-- Starting Experiment --//--
[4 INFO main 2065] Idle.IDLE -> Scout.Query | Duration: 23.42
[4 INFO main 103296] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 104200] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 107201] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 107305] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 107400] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 108399] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 108803] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 109403] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 109503] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 110404] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 111608] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 112504] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 113104] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 113506] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 114006] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 114507] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 114907] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 115508] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 115607] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 116510] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 116608] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 117511] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 117815] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 118513] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 119013] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 119514] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 120421] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 120516] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 120814] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 121519] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 122019] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 122619] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 122716] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 123621] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 123818] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 124722] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 124819] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 125724] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 125821] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 126825] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 127625] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 127827] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 128125] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 128828] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 129027] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 129828] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 129926] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 130830] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 130927] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 131832] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 132130] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 132833] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 132930] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 133834] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 134432] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 134836] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 134933] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 135837] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 136337] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 136837] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 137037] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 137840] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 137936] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 138840] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 139039] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 139942] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 140639] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 140943] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 141042] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 141944] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 142341] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 142945] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
