ID TIME cluster
13 1676888829.233 (-8354, 62619, 1676888832, 1, 10, 50000000000000000000, 30000000000000000000, 1, '0xd4aEDD30d11907e10B6353e59685BB7Efc14F55D', 0, -11783, 65697) 1
13 1676888829.233 (53537, 40937, 1676887082, 2, 10, 48749999999999999000, 5000000000000000000, 0, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 0, 53494, 41185) 0
13 1676888829.234 (55446, -48304, 1676887128, 2, 10, 48749999999999999300, 5000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 55640, -48612) 0
13 1676888829.234 (-10580, 70923, 1676888832, 1, 10, 51666666666666666000, 46666666666666666000, 1, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 1, -11449, 72112) 1
13 1676888829.234 (53595, -50157, 1676887338, 2, 10, 53611111111111111000, 3750000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 54654, -51284) 0
13 1676888829.234 (-10596, 72936, 1676888832, 1, 10, 51944444444444446600, 51944444444444446600, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 1, -10596, 72936) 1
13 1676888829.234 (-11655, 85980, 1676888832, 1, 10, 51215277777777781300, 38784722222222225300, 0, '0xBa1CD5ded4B25dF273d435c969a01dc0B577c95c', 1, -12993, 84178) 1
13 1676888829.234 (53580, -50016, 1676887548, 2, 10, 47821180555555555300, 2812500000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 54240, -50498) 0
13 1676888829.235 (-10786, 74260, 1676888832, 1, 10, 53791232638888889300, 47437065972222222300, 1, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 1, -11340, 72745) 1
13 1676888829.235 (55826, -49264, 1676887700, 2, 10, 46716579861111110000, 2109375000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 56957, -49059) 0
13 1676888829.235 (-14838, 72250, 1676888832, 1, 10, 54058883101851850000, 54058883101851850000, 1, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 1, -14838, 72250) 1
13 1676888829.235 (57012, -50854, 1676887880, 2, 10, 47999131944444444000, 1582031250000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 57343, -51230) 0
13 1676888829.235 (-11637, 72788, 1676888832, 1, 10, 52961516203703703000, 52961516203703703000, 1, '0xc8529dE5603FF9D6FE9A77d43c27D3e7085B4E43', 1, -11745, 72752) 1
13 1676888829.235 (-12791, 77496, 1676888832, 1, 10, 53032407407407408000, 53032407407407408000, 1, '0xc72B1b70e69D270544369132d53529e37Be87742', 1, -12791, 77496) 1
13 1676888829.235 (57162, -51637, 1676888090, 2, 10, 51607168692129629000, 1582031250000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 55593, -49497) 0
13 1676888829.235 (-12024, 78452, 1676888832, 1, 10, 54478036385995369000, 50098153573495369000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 1, -11688, 78205) 1
13 1676888829.236 (-16956, -60895, 1676888210, 2, 10, 49524558738425925600, 6786747685185185000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -16995, -59984) 0
13 1676888829.236 (-19967, 92425, 1676888304, 2, 10, 52239784900053048600, 9292434252829218000, 0, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 1, -15902, 86261) 0
13 1676888829.236 (35768, 6025, 1676888324, 2, 10, 50861650631751545000, 5492078993055555000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 36058, 4914) 0
13 1676888829.236 (-26618, -22629, 1676888380, 2, 10, 51957148799189815000, 4818974247685185000, 0, '0x0fa9077350FC3Ee6924743e1AD9b735c657C455E', 0, -26565, -21852) 0
13 1676888829.236 (55466, -50106, 1676888420, 3, 1, 494384765625000000, 494384765625000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 55466, -50106) 0
13 1676888829.236 (-8709, 69301, 1676888832, 1, 10, 49150572097841112600, 44199771959595227600, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -8691, 70151) 1
13 1676888829.236 (-11620, 74614, 1676888832, 1, 10, 57178113507417766500, 51468756893316686500, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 1, -11947, 75142) 1
13 1676888829.236 (-12171, 73535, 1676888780, 0, 8, 35937794919530714230, 28485289173797761230, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -12953, 73856) 1
