ID TIME pos
4 0.099 [0, 0] [0.4612953267791399, 0.48784784885369537]
4 5.107 [0, 0] [0.4612953267791399, 0.48784784885369537]
4 10.114 [0, 0] [0.4612953267791399, 0.48784784885369537]
4 15.115 [0, 0] [0.4612953267791399, 0.48784784885369537]
4 20.126 [0, 0] [0.4612953267791399, 0.48784784885369537]
4 25.132 [0, 0] [0.4612953267791399, 0.48784784885369537]
4 30.139 [0, 0] [0.4612953267791399, 0.48784784885369537]
4 35.145 [0, 0] [0.4612953267791399, 0.48784784885369537]
4 40.151 [0, 0] [0.4612953267791399, 0.48784784885369537]
4 45.158 [0, 0] [0.4612953267791399, 0.48784784885369537]
4 50.165 [0, 0] [0.4612953267791399, 0.48784784885369537]
4 55.171 [0, 0] [0.4612953267791399, 0.48784784885369537]
4 60.178 [0, 0] [0.4612953267791399, 0.48784784885369537]
4 65.186 [0, 0] [0.4612953267791399, 0.48784784885369537]
4 70.191 [0, 0] [0.4612953267791399, 0.48784784885369537]
4 75.198 [0, 0] [0.4612953267791399, 0.48784784885369537]
4 80.204 [0, 0] [0.4612953267791399, 0.48784784885369537]
4 85.211 [0, 0] [0.4612953267791399, 0.48784784885369537]
4 90.217 [0, 0] [0.4612953267791399, 0.48784784885369537]
4 95.224 [0, 0] [0.4612953267791399, 0.48784784885369537]
4 100.232 [0, 0] [0.4612953267791399, 0.48784784885369537]
4 105.238 [0, 0] [0.4612953267791399, 0.48784784885369537]
4 110.244 [0.5823100000000001, 0.40336000000000016] [0.4612953267791399, 0.48784784885369537]
4 115.248 [0.5729466666666667, 0.4092733333333333] [0.4612953267791399, 0.48784784885369537]
4 120.255 [0.57049, 0.41245] [0.4612953267791399, 0.48784784885369537]
4 125.262 [0.576682, 0.408548] [0.4612953267791399, 0.48784784885369537]
4 130.268 [0.5781339999999999, 0.4076240000000001] [0.4612953267791399, 0.48784784885369537]
4 135.275 [0.5784699999999999, 0.40697166666666673] [0.4612953267791399, 0.48784784885369537]
4 140.281 [0.5835485714285714, 0.41065] [0.4612953267791399, 0.48784784885369537]
4 145.287 [0.5755471428571427, 0.4121585714285715] [0.4612953267791399, 0.48784784885369537]
4 150.294 [0.5742614285714286, 0.41227714285714295] [0.4612953267791399, 0.48784784885369537]
4 155.301 [0.5742885714285714, 0.4123314285714286] [0.4612953267791399, 0.48784784885369537]
4 160.308 [0.5704755555555556, 0.4132911111111112] [0.4612953267791399, 0.48784784885369537]
4 165.315 [0.5618855091395834, 0.41314217183104723] [0.4612953267791399, 0.48784784885369537]
4 170.322 [0.5618692167112846, 0.4143061575117932] [0.4612953267791399, 0.48784784885369537]
4 175.329 [0.5580715846565705, 0.4162118377031938] [0.4612953267791399, 0.48784784885369537]
4 180.335 [0.5575369692719551, 0.4165002992416553] [0.4612953267791399, 0.48784784885369537]
4 185.343 [0.5571700461950321, 0.4166764530878092] [0.4612953267791399, 0.48784784885369537]
4 190.347 [0.559510046195032, 0.41675876078011687] [0.4612953267791399, 0.48784784885369537]
4 195.353 [0.5598908154258012, 0.41676568385703994] [0.4612953267791399, 0.48784784885369537]
4 200.36 [0.5597538923488782, 0.41684029924165533] [0.4612953267791399, 0.48784784885369537]
4 205.366 [0.5587077385027244, 0.41746106847242453] [0.4612953267791399, 0.48784784885369537]
4 210.373 [0.5583946615796475, 0.4178018377031938] [0.4612953267791399, 0.48784784885369537]
4 215.38 [0.5586064714668155, 0.41815742072439427] [0.4612953267791399, 0.48784784885369537]
4 220.389 [0.5584771857525298, 0.41817099215296566] [0.4612953267791399, 0.48784784885369537]
4 225.395 [0.5584664714668156, 0.41817384929582285] [0.4612953267791399, 0.48784784885369537]
4 230.499 [0.558465042895387, 0.4181745635815371] [0.4612953267791399, 0.48784784885369537]
4 235.505 [0.558465042895387, 0.4181745635815371] [0.4612953267791399, 0.48784784885369537]
4 240.512 [0.5583393286096726, 0.41827742072439417] [0.4612953267791399, 0.48784784885369537]
4 245.518 [0.5583393286096726, 0.41827742072439417] [0.4612953267791399, 0.48784784885369537]
4 250.524 [0.5583393286096726, 0.41827742072439417] [0.4612953267791399, 0.48784784885369537]
4 255.53 [0.5583393286096726, 0.41827742072439417] [0.4612953267791399, 0.48784784885369537]
