ID TIME pos
1 1.204 [0, 0] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
1 101.357 [0.41002368631108504, -0.3126710453926771] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0, 0], [0.3940199999999998, -0.41272], [0.47669000000000006, -0.2344599999999999], [0, 0], [0, 0], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.3894000000000002, -0.15863000000000005], [0, 0], [0.6166499999999999, -0.13049], [0, 0], [0, 0], [0, 0]]
1 106.364 [0.41002368631108504, -0.3126710453926771] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0, 0], [0.3940199999999998, -0.41272], [0.47669000000000006, -0.2344599999999999], [0, 0], [0, 0], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.3894000000000002, -0.15863000000000005], [0, 0], [0.6166499999999999, -0.13049], [0, 0], [0, 0], [0, 0]]
1 111.372 [0.41002368631108504, -0.3126710453926771] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0, 0], [0.4264899999999998, -0.32444000000000006], [0.47669000000000006, -0.2344599999999999], [0, 0], [0, 0], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.3894000000000002, -0.15863000000000005], [0, 0], [0.6166499999999999, -0.13049], [0, 0], [0, 0], [0, 0]]
1 116.38 [0.41002368631108504, -0.3126710453926771] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0, 0], [0.43187, -0.3098399999999999], [0.47669000000000006, -0.2344599999999999], [0, 0], [0, 0], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.3894000000000002, -0.15863000000000005], [0, 0], [0.6166499999999999, -0.13049], [0, 0], [0, 0], [0, 0]]
1 121.388 [0.41002368631108504, -0.3126710453926771] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0, 0], [0.43187, -0.3098399999999999], [0.47669000000000006, -0.2344599999999999], [0, 0], [0, 0], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.3894000000000002, -0.15863000000000005], [0, 0], [0.6166499999999999, -0.13049], [0, 0], [0, 0], [0, 0]]
1 126.396 [0.41002368631108504, -0.3126710453926771] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0, 0], [0.43187, -0.3098399999999999], [0.47669000000000006, -0.2344599999999999], [0, 0], [0, 0], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.4287000000000001, -0.2853000000000001], [0, 0], [0.6166499999999999, -0.13049], [0, 0], [0, 0], [0, 0]]
1 131.404 [0.4678467107888857, -0.2859351306740846] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0, 0], [0.43187, -0.3098399999999999], [0.47669000000000006, -0.2344599999999999], [0, 0], [0.5871400000000002, -0.3773200000000001], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.44623999999999997, -0.2950999999999999], [0, 0], [0.6166499999999999, -0.13049], [0, 0], [0, 0], [0, 0]]
1 136.411 [0.4771311034152463, -0.28164443588655624] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0, 0], [0.43187, -0.3098399999999999], [0.47669000000000006, -0.2344599999999999], [0, 0], [0.5871400000000002, -0.3773200000000001], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0, 0], [0.6166499999999999, -0.13049], [0, 0], [0, 0], [0, 0]]
1 141.419 [0.45364220161856067, -0.2882127985732826] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0, 0], [0.43187, -0.3098399999999999], [0.47669000000000006, -0.2344599999999999], [0.30977999999999994, -0.31699999999999995], [0.5871400000000002, -0.3773200000000001], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.4328599999999998, -0.30545], [0.6166499999999999, -0.13049], [0, 0], [0, 0], [0, 0]]
1 146.426 [0.4536088893220162, -0.28821999992798575] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0, 0], [0.43187, -0.3098399999999999], [0.47669000000000006, -0.2344599999999999], [0.30977999999999994, -0.31699999999999995], [0.5871400000000002, -0.3773200000000001], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.43278000000000016, -0.3054699999999999], [0.6166499999999999, -0.13049], [0, 0], [0, 0], [0, 0]]
