ID TIME DIST RECRUIT_DIST SCOUT_DIST red green blue yellow TOTAL VALUE
0 0.019 0.04725001905945792 0.04725001905945792 0 0 0 0 0 0 0
0 0.106 0.14700006123565132 0.14700006123565132 0 0 0 0 0 0 0
0 0.206 0.2992500446643944 0.2992500446643944 0 0 0 0 0 0 0
0 0.307 0.5040000273866979 0.5040000273866979 0 0 0 0 0 0 0
0 0.406 0.7612500439135305 0.7612500439135305 0 0 0 0 0 0 0
0 0.525 1.0710000092458243 1.0710000092458243 0 0 0 0 0 0 0
0 0.606 1.4332499576628897 1.4332499576628897 0 0 0 0 0 0 0
0 0.708 1.84799994007875 1.84799994007875 0 0 0 0 0 0 0
0 0.806 2.313098113538316 2.313098113538316 0 0 0 0 0 0 0
0 0.903 2.8200749932043347 2.8200749932043347 0 0 0 0 0 0 0
0 1.01 3.3691975692103555 3.3691975692103555 0 0 0 0 0 0 0
0 1.129 3.9607167074933227 3.9607167074933227 0 0 0 0 0 0 0
0 1.253 4.594868683183326 4.594868683183326 0 0 0 0 0 0 0
0 1.307 5.25303522634164 5.25303522634164 0 0 0 0 0 0 0
0 1.41 5.936303933799745 5.936303933799745 0 0 0 0 0 0 0
0 1.508 6.642003255825694 6.642003255825694 0 0 0 0 0 0 0
0 1.631 7.357213646933548 7.357213646933548 0 0 0 0 0 0 0
0 1.715 8.079480730804343 8.079480730804343 0 0 0 0 0 0 0
0 1.815 8.811609642051367 8.811609642051367 0 0 0 0 0 0 0
0 1.913 9.550970982490234 9.550970982490234 0 0 0 0 0 0 0
0 2.013 10.300227534953546 10.300227534953546 0 0 0 0 0 0 0
0 2.135 11.06059064632405 11.06059064632405 0 0 0 0 0 0 0
0 2.216 11.83660380999116 11.83660380999116 0 0 0 0 0 0 0
0 2.313 12.623887833723312 12.623887833723312 0 0 0 0 0 0 0
0 2.413 13.426940213499755 13.426940213499755 0 0 0 0 0 0 0
0 2.515 14.253488512835103 14.253488512835103 0 0 0 0 0 0 0
0 2.625 15.103480290920638 15.103480290920638 0 0 0 0 0 0 0
