ID TIME pos
5 0.098 [0, 0] [-0.3627042145495745, -0.3886294839370129]
5 5.109 [0, 0] [-0.3627042145495745, -0.3886294839370129]
5 10.113 [0, 0] [-0.3627042145495745, -0.3886294839370129]
5 15.119 [0, 0] [-0.3627042145495745, -0.3886294839370129]
5 20.125 [0, 0] [-0.3627042145495745, -0.3886294839370129]
5 25.131 [0, 0] [-0.3627042145495745, -0.3886294839370129]
5 30.137 [0, 0] [-0.3627042145495745, -0.3886294839370129]
5 35.144 [0, 0] [-0.3627042145495745, -0.3886294839370129]
5 40.148 [0, 0] [-0.3627042145495745, -0.3886294839370129]
5 45.157 [0, 0] [-0.3627042145495745, -0.3886294839370129]
5 50.163 [0, 0] [-0.3627042145495745, -0.3886294839370129]
5 55.169 [0, 0] [-0.3627042145495745, -0.3886294839370129]
5 60.178 [0, 0] [-0.3627042145495745, -0.3886294839370129]
5 65.182 [0, 0] [-0.3627042145495745, -0.3886294839370129]
5 70.188 [0, 0] [-0.3627042145495745, -0.3886294839370129]
5 75.195 [0, 0] [-0.3627042145495745, -0.3886294839370129]
5 80.2 [0, 0] [-0.3627042145495745, -0.3886294839370129]
5 85.208 [-0.3227899999999999, -0.36938000000000004] [-0.3627042145495745, -0.3886294839370129]
5 90.214 [-0.3227899999999999, -0.36938000000000004] [-0.3627042145495745, -0.3886294839370129]
5 95.222 [-0.3227899999999999, -0.36938000000000004] [-0.3627042145495745, -0.3886294839370129]
5 100.229 [-0.3363, -0.35778] [-0.3627042145495745, -0.3886294839370129]
5 105.236 [-0.33277582905339925, -0.3233629654340636] [-0.3627042145495745, -0.3886294839370129]
5 110.238 [-0.33319928204577076, -0.33095254180062594] [-0.3627042145495745, -0.3886294839370129]
5 115.244 [-0.3332078534743422, -0.33094254180062593] [-0.3627042145495745, -0.3886294839370129]
5 120.253 [-0.3332078534743422, -0.33094254180062593] [-0.3627042145495745, -0.3886294839370129]
5 125.26 [-0.34053937179004945, -0.3372297240755477] [-0.3627042145495745, -0.3886294839370129]
5 130.266 [-0.34051937179004943, -0.3372059740755477] [-0.3627042145495745, -0.3886294839370129]
5 135.27 [-0.3406031217900494, -0.3372759740755477] [-0.3627042145495745, -0.3886294839370129]
5 140.273 [-0.3406156217900494, -0.3372772240755477] [-0.3627042145495745, -0.3886294839370129]
