ID TIME pos
10 1.213 [-0.2360237896546039, 0.6206086034722459] [-0.2877818038578227, 0.4168869411467225] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
10 6.321 [-0.2360237896546039, 0.6206086034722459] [-0.2877818038578227, 0.4168869411467225] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
10 11.328 [-0.2360237896546039, 0.6206086034722459] [-0.2877818038578227, 0.4168869411467225] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
10 16.432 [-0.2360237896546039, 0.6206086034722459] [-0.2877818038578227, 0.4168869411467225] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
10 21.438 [-0.2360237896546039, 0.6206086034722459] [-0.2877818038578227, 0.4168869411467225] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.28790000000000004, -0.44649000000000005]]
10 26.444 [-0.2360237896546039, 0.6206086034722459] [-0.2877818038578227, 0.4168869411467225] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.28790000000000004, -0.44649000000000005]]
10 31.451 [-0.2360237896546039, 0.6206086034722459] [-0.2877818038578227, 0.4168869411467225] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.28790000000000004, -0.44649000000000005]]
10 36.559 [-0.2360237896546039, 0.6206086034722459] [-0.2877818038578227, 0.4168869411467225] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.28790000000000004, -0.44649000000000005]]
10 41.565 [-0.2360237896546039, 0.6206086034722459] [-0.2877818038578227, 0.4168869411467225] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.28790000000000004, -0.44649000000000005]]
10 46.574 [-0.2360237896546039, 0.6206086034722459] [-0.2877818038578227, 0.4168869411467225] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40569999999999995, -0.4489700000000001], [0, 0], [0, 0], [0.28790000000000004, -0.44649000000000005]]
10 51.58 [-0.2360237896546039, 0.6206086034722459] [-0.2877818038578227, 0.4168869411467225] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40569999999999995, -0.4489700000000001], [0, 0], [0, 0], [0.28790000000000004, -0.44649000000000005]]
10 56.588 [-0.2360237896546039, 0.6206086034722459] [-0.2877818038578227, 0.4168869411467225] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40569999999999995, -0.4489700000000001], [0, 0], [0.38458000000000014, -0.39332999999999996], [0.28790000000000004, -0.44649000000000005]]
10 61.694 [-0.2360237896546039, 0.6206086034722459] [-0.2877818038578227, 0.4168869411467225] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40569999999999995, -0.4489700000000001], [0, 0], [0.38458000000000014, -0.39332999999999996], [0.28790000000000004, -0.44649000000000005]]
10 66.701 [-0.2360237896546039, 0.6206086034722459] [-0.2877818038578227, 0.4168869411467225] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40569999999999995, -0.4489700000000001], [0, 0], [0.38458000000000014, -0.39332999999999996], [0.28790000000000004, -0.44649000000000005]]
10 71.709 [-0.2360237896546039, 0.6206086034722459] [-0.2877818038578227, 0.4168869411467225] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40569999999999995, -0.4489700000000001], [0, 0], [0.38458000000000014, -0.39332999999999996], [0.28790000000000004, -0.44649000000000005]]
10 76.716 [-0.2360237896546039, 0.6206086034722459] [-0.2877818038578227, 0.4168869411467225] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40569999999999995, -0.4489700000000001], [0, 0], [0.38458000000000014, -0.39332999999999996], [0.28790000000000004, -0.44649000000000005]]
10 81.723 [-0.2360237896546039, 0.6206086034722459] [-0.2877818038578227, 0.4168869411467225] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40569999999999995, -0.4489700000000001], [0, 0], [0.38458000000000014, -0.39332999999999996], [0.28790000000000004, -0.44649000000000005]]
10 86.73 [-0.2360237896546039, 0.6206086034722459] [-0.2877818038578227, 0.4168869411467225] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40569999999999995, -0.4489700000000001], [0, 0], [0.38458000000000014, -0.39332999999999996], [0.28790000000000004, -0.44649000000000005]]
10 91.738 [-0.2360237896546039, 0.6206086034722459] [-0.2877818038578227, 0.4168869411467225] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40569999999999995, -0.4489700000000001], [0, 0], [0.38458000000000014, -0.39332999999999996], [0.28790000000000004, -0.44649000000000005]]
