ID TIME pos
15 0.092 [0, 0] [0.0625990228316881, -0.3801812478121904]
15 5.113 [0, 0] [0.0625990228316881, -0.3801812478121904]
15 10.115 [0, 0] [0.0625990228316881, -0.3801812478121904]
15 15.118 [0.06471999999999989, -0.27316000000000007] [0.0625990228316881, -0.3801812478121904]
15 20.126 [0.07577999999999996, -0.24283500000000002] [0.0625990228316881, -0.3801812478121904]
15 25.128 [0.1460657210249826, -0.20008082983339612] [0.0625990228316881, -0.3801812478121904]
15 30.134 [0.14012857681998597, -0.20404666386671694] [0.0625990228316881, -0.3801812478121904]
15 35.141 [0.1395485768199861, -0.20446066386671688] [0.0625990228316881, -0.3801812478121904]
15 40.149 [0.1395485768199861, -0.20446066386671688] [0.0625990228316881, -0.3801812478121904]
15 45.159 [0.1395485768199861, -0.20446066386671688] [0.0625990228316881, -0.3801812478121904]
15 50.167 [0.13497214734998844, -0.2077772198889308] [0.0625990228316881, -0.3801812478121904]
15 55.167 [0.12739786051249136, -0.21068416491669806] [0.0625990228316881, -0.3801812478121904]
15 60.174 [0.12736661051249132, -0.21065916491669806] [0.0625990228316881, -0.3801812478121904]
15 65.186 [0.12736661051249132, -0.21065916491669806] [0.0625990228316881, -0.3801812478121904]
15 70.187 [0.12736661051249132, -0.21065916491669806] [0.0625990228316881, -0.3801812478121904]
15 75.194 [0.12736661051249132, -0.21065916491669806] [0.0625990228316881, -0.3801812478121904]
15 80.202 [0.12596786051249131, -0.21194916491669807] [0.0625990228316881, -0.3801812478121904]
15 85.206 [0.1259491105124913, -0.21194791491669807] [0.0625990228316881, -0.3801812478121904]
15 90.207 [0.12594411051249133, -0.2119516649166981] [0.0625990228316881, -0.3801812478121904]
15 95.213 [0.12594411051249133, -0.2119516649166981] [0.0625990228316881, -0.3801812478121904]
15 100.222 [0.12594411051249133, -0.2119516649166981] [0.0625990228316881, -0.3801812478121904]
15 105.232 [0.12594411051249133, -0.2119516649166981] [0.0625990228316881, -0.3801812478121904]
15 110.326 [0.12262536051249134, -0.2151966649166981] [0.0625990228316881, -0.3801812478121904]
15 115.338 [0.12257536051249135, -0.21524541491669807] [0.0625990228316881, -0.3801812478121904]
15 120.355 [0.12246411051249134, -0.2153829149166981] [0.0625990228316881, -0.3801812478121904]
15 125.359 [0.12244286051249137, -0.21537916491669806] [0.0625990228316881, -0.3801812478121904]
15 130.369 [0.12244286051249137, -0.21537916491669806] [0.0625990228316881, -0.3801812478121904]
15 135.466 [0.12244286051249137, -0.21537916491669806] [0.0625990228316881, -0.3801812478121904]
15 140.476 [0.11730365378888122, -0.21986036881484272] [0.0625990228316881, -0.3801812478121904]
15 145.58 [0.11701365378888119, -0.21993481325928718] [0.0625990228316881, -0.3801812478121904]
15 150.584 [0.11696920934443675, -0.2199159243703983] [0.0625990228316881, -0.3801812478121904]
15 155.59 [0.11696920934443675, -0.2199159243703983] [0.0625990228316881, -0.3801812478121904]
15 160.597 [0.11261328840999307, -0.2211583319333585] [0.0625990228316881, -0.3801812478121904]
15 165.606 [0.1102102884099931, -0.2244403319333585] [0.0625990228316881, -0.3801812478121904]
15 170.61 [0.10765328840999308, -0.22595033193335845] [0.0625990228316881, -0.3801812478121904]
15 175.62 [0.10765328840999314, -0.22595533193335843] [0.0625990228316881, -0.3801812478121904]
15 180.626 [0.10506753491817555, -0.22797666539396222] [0.0625990228316881, -0.3801812478121904]
