ID TIME DIST RECRUIT_DIST SCOUT_DIST red green blue yellow TOTAL VALUE
0 0.003 0.047249986482566834 0.047249986482566834 0 0 0 0 0 0 0
0 0.108 0.1469999766015804 0.1469999766015804 0 0 0 0 0 0 0
0 0.209 0.29904825186951584 0.29904825186951584 0 0 0 0 0 0 0
0 0.309 0.5031451085666572 0.5031451085666572 0 0 0 0 0 0 0
0 0.41 0.7593397383420054 0.7593397383420054 0 0 0 0 0 0 0
0 0.509 1.0676675638550825 1.0676675638550825 0 0 0 0 0 0 0
0 0.61 1.4281588777893843 1.4281588777893843 0 0 0 0 0 0 0
0 0.71 1.8408419658994373 1.8408419658994373 0 0 0 0 0 0 0
0 0.81 2.3001445633470294 2.3001445633470294 0 0 0 0 0 0 0
0 0.91 2.804694041943702 2.804694041943702 0 0 0 0 0 0 0
0 1.01 3.354517775061667 3.354517775061667 0 0 0 0 0 0 0
0 1.111 3.949643232190813 3.949643232190813 0 0 0 0 0 0 0
0 1.218 4.5900977806126795 4.5900977806126795 0 0 0 0 0 0 0
0 1.315 5.266565736611616 5.266565736611616 0 0 0 0 0 0 0
0 1.414 5.981142589557634 5.981142589557634 0 0 0 0 0 0 0
0 1.515 6.737234595168741 6.737234595168741 0 0 0 0 0 0 0
0 1.615 7.506847717202026 7.506847717202026 0 0 0 0 0 0 0
0 1.715 8.290053779206202 8.290053779206202 0 0 0 0 0 0 0
0 1.815 9.090279332405357 9.090279332405357 0 0 0 0 0 0 0
0 1.915 9.907909404577563 9.907909404577563 0 0 0 0 0 0 0
0 2.015 10.742850168839723 10.742850168839723 0 0 0 0 0 0 0
0 2.112 11.594546847059888 11.594546847059888 0 0 0 0 0 0 0
0 2.216 12.459843098012533 12.459843098012533 0 0 0 0 0 0 0
0 2.316 13.343797824659463 13.343797824659463 0 0 0 0 0 0 0
0 2.416 14.250430541748896 14.250430541748896 0 0 0 0 0 0 0
0 2.514 15.179914429514557 15.179914429514557 0 0 0 0 0 0 0
0 2.616 16.135416819108585 16.135416819108585 0 0 0 0 0 0 0
0 2.716 17.11827536087357 17.11827536087357 0 0 0 0 0 0 0
0 2.817 18.129605764187634 18.129605764187634 0 0 0 0 0 0 0
0 2.916 19.17092510716348 19.17092510716348 0 0 0 0 0 0 0
0 3.017 20.2413257695048 20.2413257695048 0 0 0 0 0 0 0
0 3.117 21.34368223408178 21.34368223408178 0 0 0 0 0 0 0
0 3.217 22.475363429966524 22.475363429966524 0 0 0 0 0 0 0
0 3.318 23.63468391181515 23.63468391181515 0 0 0 0 0 0 0
0 3.417 24.824381306380346 24.824381306380346 0 0 0 0 0 0 0
0 3.517 26.041802854050143 26.041802854050143 0 0 0 0 0 0 0
0 3.614 27.284655986274462 27.284655986274462 0 0 0 0 0 0 0
0 3.718 28.55321209953286 28.55321209953286 0 0 0 0 0 0 0
0 3.818 29.8479653325353 29.8479653325353 0 0 0 0 0 0 0
0 3.918 31.168875266482885 31.168875266482885 0 0 0 0 0 0 0
0 4.017 32.51317320103014 32.51317320103014 0 0 0 0 0 0 0
0 4.118 33.87831107812162 33.87831107812162 0 0 0 0 0 0 0
0 4.219 35.266765577360424 35.266765577360424 0 0 0 0 0 0 0
0 4.319 36.670875553535154 36.670875553535154 0 0 0 0 0 0 0
0 4.415 38.09555148553888 38.09555148553888 0 0 0 0 0 0 0
0 4.519 39.540508712373295 39.540508712373295 0 0 0 0 0 0 0
0 4.619 41.00845681589757 41.00845681589757 0 0 0 0 0 0 0
0 4.719 42.495030294162916 42.495030294162916 0 0 0 0 0 0 0
0 4.819 44.00466386984407 44.00466386984407 0 0 0 0 0 0 0
0 4.92 45.53988004697935 45.53988004697935 0 0 0 0 0 0 0
0 5.019 47.10476904533344 47.10476904533344 0 0 0 0 0 0 0
0 5.12 48.70240625126786 48.70240625126786 0 0 0 0 0 0 0
0 5.217 50.3359805809083 50.3359805809083 0 0 0 0 0 0 0
0 5.321 51.99867342523621 51.99867342523621 0 0 0 0 0 0 0
0 5.42 53.692983483255276 53.692983483255276 0 0 0 0 0 0 0
0 5.519 55.417154746329764 55.417154746329764 0 0 0 0 0 0 0
0 5.621 57.1710341016843 57.1710341016843 0 0 0 0 0 0 0
0 5.721 58.95471106824471 58.95471106824471 0 0 0 0 0 0 0
0 5.821 60.76563713281537 60.76563713281537 0 0 0 0 0 0 0
0 5.918 62.60061965095759 62.60061965095759 0 0 0 0 0 0 0
0 6.02 64.46079652961362 64.46079652961362 0 0 0 0 0 0 0
0 6.121 66.34603419089328 66.34603419089328 0 0 0 0 0 0 0
0 6.221 68.25740350239805 68.25740350239805 0 0 0 0 0 0 0
