ID TIME pos
14 5.296 [-0.4411076302668614, 0.39179316232373923] []
14 10.303 [-0.4411076302668614, 0.39179316232373923] []
14 15.384 [-0.4411076302668614, 0.39179316232373923] []
14 20.45 [-0.4411076302668614, 0.39179316232373923] []
14 25.526 [-0.4411076302668614, 0.39179316232373923] []
14 30.545 [-0.4411076302668614, 0.39179316232373923] []
14 70.932 [-0.4411076302668614, 0.39179316232373923] [(-38753, 55849, 1676648204, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -38753, 55849)]
14 76.011 [-0.4411076302668614, 0.39179316232373923] [(-47828, 43976, 1676648204, 0, 3, 30000000000000000000, 30000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -47828, 43976)]
14 81.021 [-0.4411076302668614, 0.39179316232373923] [(-45289, 47046, 1676648204, 0, 4, 40000000000000000000, 30000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -47828, 43976)]
14 86.028 [-0.4411076302668614, 0.39179316232373923] [(-45289, 47046, 1676648204, 0, 4, 40000000000000000000, 30000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -47828, 43976)]
14 91.126 [-0.4411076302668614, 0.39179316232373923] [(-45289, 47046, 1676648204, 0, 4, 40000000000000000000, 30000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -47828, 43976)]
14 96.168 [-0.4411076302668614, 0.39179316232373923] [(-43137, 49876, 1676648204, 0, 6, 60000000000000000000, 30000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -47828, 43976)]
14 101.174 [-0.4411076302668614, 0.39179316232373923] [(-43277, 49149, 1676648204, 0, 8, 80000000000000000000, 40000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -48221, 42602)]
14 106.341 [-0.4411076302668614, 0.39179316232373923] [(-43093, 48968, 1676648256, 1, 10, 100000000000000000000, 50000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -48078, 42167)]
14 111.495 [-0.4411076302668614, 0.39179316232373923] [(-43093, 48968, 1676648262, 1, 10, 100000000000000000000, 50000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -48078, 42167), (-43613, 42447, 1676648262, 0, 1, 10000000000000000000, 10000000000000000000, 1, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 1, -43613, 42447)]
14 172.615 [-0.4411076302668614, 0.39179316232373923] [(-43093, 48968, 1676648322, 1, 10, 100000000000000000000, 50000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -48078, 42167), (-44493, 40315, 1676648322, 1, 10, 105000000000000000000, 80000000000000000000, 1, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 1, -45609, 37879), (-45074, 41386, 1676648308, 0, 6, 68125000000000000000, 58125000000000000000, 0, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 0, -45253, 39940)]
14 233.666 [-0.4411076302668614, 0.39179316232373923] [(-43093, 48968, 1676648381, 1, 10, 100000000000000000000, 50000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -48078, 42167), (-44493, 40315, 1676648381, 1, 10, 105000000000000000000, 80000000000000000000, 1, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 1, -45609, 37879), (-41187, 36604, 1676648381, 1, 10, 111250000000000000000, 68125000000000000000, 0, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 0, -46524, 40257), (-41860, 31400, 1676648341, 0, 8, 77053571428571426000, 72053571428571426000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 1, -43324, 31940)]
14 285.282 [-0.4411076302668614, 0.39179316232373923] [(-43093, 48968, 1676648435, 1, 10, 100000000000000000000, 50000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -48078, 42167), (-44493, 40315, 1676648435, 1, 10, 105000000000000000000, 80000000000000000000, 1, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 1, -45609, 37879), (-41187, 36604, 1676648435, 1, 10, 111250000000000000000, 68125000000000000000, 0, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 0, -46524, 40257), (-38680, 30603, 1676648435, 1, 10, 99776785714285710000, 80133928571428568000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 1, -43202, 32394), (-43352, 37537, 1676648419, 0, 5, 41941964285714285000, 32633928571428571000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 1, -43499, 38511)]
