ID TIME pos
3 0.1 [0, 0] [0.05469106741684591, -0.40379182311109]
3 5.108 [0, 0] [0.05469106741684591, -0.40379182311109]
3 10.113 [0, 0] [0.05469106741684591, -0.40379182311109]
3 15.12 [0, 0] [0.05469106741684591, -0.40379182311109]
3 20.125 [0, 0] [0.05469106741684591, -0.40379182311109]
3 25.133 [0, 0] [0.05469106741684591, -0.40379182311109]
3 30.138 [0, 0] [0.05469106741684591, -0.40379182311109]
3 35.145 [0, 0] [0.05469106741684591, -0.40379182311109]
3 40.15 [0, 0] [0.05469106741684591, -0.40379182311109]
3 45.158 [0.09906000000000015, -0.35938000000000003] [0.05469106741684591, -0.40379182311109]
3 50.164 [0.09906000000000015, -0.35938000000000003] [0.05469106741684591, -0.40379182311109]
3 55.174 [0.09906000000000015, -0.35938000000000003] [0.05469106741684591, -0.40379182311109]
3 60.179 [0.09906000000000015, -0.35938000000000003] [0.05469106741684591, -0.40379182311109]
3 65.184 [0.09906000000000015, -0.35938000000000003] [0.05469106741684591, -0.40379182311109]
3 70.191 [0.10709999999999997, -0.342735] [0.05469106741684591, -0.40379182311109]
3 75.198 [0.11389249999999995, -0.349975] [0.05469106741684591, -0.40379182311109]
3 80.207 [0.11510999999999998, -0.349435] [0.05469106741684591, -0.40379182311109]
3 85.21 [0.10821438455144985, -0.33708339734318404] [0.05469106741684591, -0.40379182311109]
3 90.217 [0.11311327344033871, -0.32652228623207297] [0.05469106741684591, -0.40379182311109]
3 95.223 [0.11331771788478316, -0.3266156195654063] [0.05469106741684591, -0.40379182311109]
3 100.23 [0.11320438455144982, -0.3246267306765174] [0.05469106741684591, -0.40379182311109]
3 105.237 [0.11318549566256102, -0.324573397343184] [0.05469106741684591, -0.40379182311109]
3 110.242 [0.11318549566256102, -0.324573397343184] [0.05469106741684591, -0.40379182311109]
3 115.25 [0.11318549566256102, -0.324573397343184] [0.05469106741684591, -0.40379182311109]
3 120.257 [0.11318549566256102, -0.324573397343184] [0.05469106741684591, -0.40379182311109]
3 125.261 [0.1138229460963049, -0.3249920576088656] [0.05469106741684591, -0.40379182311109]
3 130.268 [0.1138109460963049, -0.3248890576088656] [0.05469106741684591, -0.40379182311109]
3 135.275 [0.1138109460963049, -0.3248890576088656] [0.05469106741684591, -0.40379182311109]
3 140.282 [0.1138109460963049, -0.3248890576088656] [0.05469106741684591, -0.40379182311109]
3 145.289 [0.1138109460963049, -0.3248890576088656] [0.05469106741684591, -0.40379182311109]
3 150.293 [0.1137569460963049, -0.32386205760886566] [0.05469106741684591, -0.40379182311109]
3 155.3 [0.1137339460963049, -0.32386305760886563] [0.05469106741684591, -0.40379182311109]
3 160.306 [0.1137339460963049, -0.3238610576088657] [0.05469106741684591, -0.40379182311109]
3 165.313 [0.11276694609630486, -0.3257820576088656] [0.05469106741684591, -0.40379182311109]
3 170.32 [0.11348267826936805, -0.32706914328078696] [0.05469106741684591, -0.40379182311109]
3 175.326 [0.11335813281482258, -0.32706732509896874] [0.05469106741684591, -0.40379182311109]
3 180.333 [0.11398662174692072, -0.32787421467405464] [0.05469106741684591, -0.40379182311109]
3 185.339 [0.11399995508025403, -0.3278783813407213] [0.05469106741684591, -0.40379182311109]
3 190.345 [0.11399995508025403, -0.3278783813407213] [0.05469106741684591, -0.40379182311109]
3 195.352 [0.11399995508025403, -0.3278783813407213] [0.05469106741684591, -0.40379182311109]
3 200.359 [0.11399995508025403, -0.3278783813407213] [0.05469106741684591, -0.40379182311109]
3 205.367 [0.11399995508025403, -0.3278783813407213] [0.05469106741684591, -0.40379182311109]
3 210.374 [0.11399995508025403, -0.3278783813407213] [0.05469106741684591, -0.40379182311109]
3 215.382 [0.11399995508025403, -0.3278783813407213] [0.05469106741684591, -0.40379182311109]
3 220.388 [0.11399995508025403, -0.3278783813407213] [0.05469106741684591, -0.40379182311109]
3 225.395 [0.11383567578307487, -0.3312836125777611] [0.05469106741684591, -0.40379182311109]
3 230.398 [0.11382067578307489, -0.33113861257776117] [0.05469106741684591, -0.40379182311109]
3 235.405 [0.11382067578307489, -0.33113789829204693] [0.05469106741684591, -0.40379182311109]
3 240.411 [0.11382067578307489, -0.33113789829204693] [0.05469106741684591, -0.40379182311109]
3 245.418 [0.11382067578307489, -0.33113789829204693] [0.05469106741684591, -0.40379182311109]
3 250.424 [0.11421639006878914, -0.331780755434904] [0.05469106741684591, -0.40379182311109]
3 255.433 [0.1142242472116463, -0.33181504114918964] [0.05469106741684591, -0.40379182311109]
3 260.436 [0.1142242472116463, -0.33181504114918964] [0.05469106741684591, -0.40379182311109]
3 265.443 [0.1142242472116463, -0.3318264697206183] [0.05469106741684591, -0.40379182311109]
3 270.449 [0.1142242472116463, -0.3318264697206183] [0.05469106741684591, -0.40379182311109]
3 275.456 [0.11421639006878917, -0.3318386125777612] [0.05469106741684591, -0.40379182311109]
3 280.462 [0.11549210435450344, -0.33234432686347537] [0.05469106741684591, -0.40379182311109]
3 285.47 [0.11554067578307488, -0.3324200411491897] [0.05469106741684591, -0.40379182311109]
3 290.476 [0.11555139006878913, -0.33243718400633254] [0.05469106741684591, -0.40379182311109]
3 295.481 [0.11555139006878913, -0.33243718400633254] [0.05469106741684591, -0.40379182311109]
3 300.488 [0.11549281864021774, -0.33395075543490405] [0.05469106741684591, -0.40379182311109]
3 305.495 [0.11508281864021774, -0.33388575543490395] [0.05469106741684591, -0.40379182311109]
3 310.502 [0.11526853292593205, -0.3342921840063325] [0.05469106741684591, -0.40379182311109]
3 315.508 [0.11524781864021774, -0.33437146972061826] [0.05469106741684591, -0.40379182311109]
3 320.514 [0.11524424721164632, -0.33436789829204683] [0.05469106741684591, -0.40379182311109]
3 325.522 [0.1148549614973606, -0.33606932686347546] [0.05469106741684591, -0.40379182311109]
3 330.528 [0.11486710435450347, -0.3361200411491897] [0.05469106741684591, -0.40379182311109]
3 335.535 [0.11486710435450347, -0.3361200411491897] [0.05469106741684591, -0.40379182311109]
