ID TIME pos
11 5.261 [0.4105151752968675, -0.3727422656972347] []
11 10.28 [0.4105151752968675, -0.3727422656972347] []
11 15.352 [0.4105151752968675, -0.3727422656972347] [(-44488, 31018, 1676579367, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -44488, 31018)]
11 56.164 [0.4105151752968675, -0.3727422656972347] [(-40699, 33558, 1676579367, 0, 6, 60000000000000000000, 20000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -35191, 37974)]
11 61.224 [0.4105151752968675, -0.3727422656972347] [(-41672, 32859, 1676579367, 0, 8, 80000000000000000000, 20000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -35191, 37974)]
11 66.338 [0.4105151752968675, -0.3727422656972347] [(-42090, 32790, 1676579367, 0, 9, 90000000000000000000, 20000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -35191, 37974)]
11 71.478 [0.4105151752968675, -0.3727422656972347] [(-42413, 32662, 1676579367, 2, 10, 100000000000000000000, 20000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -35191, 37974)]
11 76.538 [0.4105151752968675, -0.3727422656972347] [(-42413, 32662, 1676579367, 2, 10, 100000000000000000000, 20000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -35191, 37974)]
11 81.639 [0.4105151752968675, -0.3727422656972347] [(-42413, 32662, 1676579367, 2, 10, 100000000000000000000, 20000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -35191, 37974)]
11 86.703 [0.4105151752968675, -0.3727422656972347] [(-42413, 32662, 1676579367, 2, 10, 100000000000000000000, 20000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -35191, 37974)]
11 91.824 [0.4105151752968675, -0.3727422656972347] [(-42413, 32662, 1676579367, 2, 10, 100000000000000000000, 20000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -35191, 37974), (-37905, 44957, 1676579445, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -37905, 44957), (1937, -13807, 1676579447, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 1937, -13807)]
11 126.036 [0.4105151752968675, -0.3727422656972347] [(-42413, 32662, 1676579367, 2, 10, 100000000000000000000, 20000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -35191, 37974), (-37863, 43496, 1676579445, 0, 8, 80000000000000000000, 15000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -33901, 44948), (1937, -13807, 1676579447, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 1937, -13807)]
11 151.536 [0.4105151752968675, -0.3727422656972347] [(-42413, 32662, 1676579367, 2, 10, 100000000000000000000, 20000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -35191, 37974), (-37908, 43703, 1676579445, 2, 10, 101250000000000000000, 15000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -33901, 44948), (1937, -13807, 1676579447, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 1937, -13807)]
11 171.738 [0.4105151752968675, -0.3727422656972347] [(-42413, 32662, 1676579367, 2, 10, 100000000000000000000, 20000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -35191, 37974), (-37908, 43703, 1676579445, 2, 10, 101250000000000000000, 15000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -33901, 44948), (1423, -13132, 1676579447, 0, 2, 20000000000000000000, 10000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 1937, -13807)]
11 212.612 [0.4105151752968675, -0.3727422656972347] [(-42413, 32662, 1676579367, 2, 10, 100000000000000000000, 20000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -35191, 37974), (-37908, 43703, 1676579445, 2, 10, 101250000000000000000, 15000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -33901, 44948), (1441, -13950, 1676579447, 2, 9, 102812500000000000000, 10000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 1937, -13807)]
11 217.834 [0.4105151752968675, -0.3727422656972347] [(-42413, 32662, 1676579367, 2, 10, 100000000000000000000, 20000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -35191, 37974), (-37908, 43703, 1676579445, 2, 10, 101250000000000000000, 15000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, -33901, 44948), (1441, -13950, 1676579447, 2, 9, 102812500000000000000, 10000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 1937, -13807), (40500, -36319, 1676579571, 0, 1, 10937500000000000000, 10937500000000000000, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, 40500, -36319)]
