ID TIME pos
14 0.094 [0, 0] [0.5146479101499363, -0.546950197752196]
14 5.105 [0, 0] [0.5146479101499363, -0.546950197752196]
14 10.116 [0, 0] [0.5146479101499363, -0.546950197752196]
14 15.119 [0, 0] [0.5146479101499363, -0.546950197752196]
14 20.125 [0, 0] [0.5146479101499363, -0.546950197752196]
14 25.138 [0, 0] [0.5146479101499363, -0.546950197752196]
14 30.139 [0, 0] [0.5146479101499363, -0.546950197752196]
14 35.144 [0, 0] [0.5146479101499363, -0.546950197752196]
14 40.152 [0, 0] [0.5146479101499363, -0.546950197752196]
14 45.154 [0, 0] [0.5146479101499363, -0.546950197752196]
14 50.16 [0, 0] [0.5146479101499363, -0.546950197752196]
14 55.17 [0, 0] [0.5146479101499363, -0.546950197752196]
14 60.174 [0, 0] [0.5146479101499363, -0.546950197752196]
14 65.182 [0, 0] [0.5146479101499363, -0.546950197752196]
14 70.192 [0, 0] [0.5146479101499363, -0.546950197752196]
14 75.201 [0, 0] [0.5146479101499363, -0.546950197752196]
14 80.301 [0, 0] [0.5146479101499363, -0.546950197752196]
14 85.317 [0.5435300000000001, -0.3516999999999999] [0.5146479101499363, -0.546950197752196]
14 90.418 [0.5435300000000001, -0.3516999999999999] [0.5146479101499363, -0.546950197752196]
14 95.429 [0.5435300000000001, -0.3516999999999999] [0.5146479101499363, -0.546950197752196]
14 100.429 [0.5435300000000001, -0.3516999999999999] [0.5146479101499363, -0.546950197752196]
14 105.435 [0.5435300000000001, -0.3516999999999999] [0.5146479101499363, -0.546950197752196]
14 110.439 [0.5435300000000001, -0.3516999999999999] [0.5146479101499363, -0.546950197752196]
14 115.445 [0.5435300000000001, -0.3516999999999999] [0.5146479101499363, -0.546950197752196]
14 120.452 [0.522105, -0.53589] [0.5146479101499363, -0.546950197752196]
14 125.457 [0.522105, -0.53589] [0.5146479101499363, -0.546950197752196]
14 130.472 [0.5222466666666667, -0.5408166666666666] [0.5146479101499363, -0.546950197752196]
14 135.473 [0.5222466666666667, -0.5408166666666666] [0.5146479101499363, -0.546950197752196]
14 140.483 [0.5220699999999999, -0.5411433333333333] [0.5146479101499363, -0.546950197752196]
14 145.486 [0.521345, -0.5477775] [0.5146479101499363, -0.546950197752196]
14 150.495 [0.52111, -0.5481499999999999] [0.5146479101499363, -0.546950197752196]
14 155.5 [0.5177214285714286, -0.54915] [0.5146479101499363, -0.546950197752196]
14 160.512 [0.5175885714285714, -0.5492085714285714] [0.5146479101499363, -0.546950197752196]
14 165.513 [0.5161312499999999, -0.54955] [0.5146479101499363, -0.546950197752196]
14 170.518 [0.5228283873794698, -0.5487888711349616] [0.5146479101499363, -0.546950197752196]
14 175.526 [0.5221568550978472, -0.5498039652070482] [0.5146479101499363, -0.546950197752196]
14 180.533 [0.519932481628782, -0.552799044806506] [0.5146479101499363, -0.546950197752196]
14 185.543 [0.5191063277826282, -0.5531659678834291] [0.5146479101499363, -0.546950197752196]
14 190.544 [0.519055558551859, -0.5532221217295828] [0.5146479101499363, -0.546950197752196]
14 195.55 [0.5190009431672435, -0.5538905832680444] [0.5146479101499363, -0.546950197752196]
14 200.558 [0.5176954840782778, -0.5597085054989718] [0.5146479101499363, -0.546950197752196]
14 205.56 [0.5171214840782778, -0.5597571721656384] [0.5146479101499363, -0.546950197752196]
14 210.578 [0.5164441507449445, -0.5588818388323051] [0.5146479101499363, -0.546950197752196]
14 215.579 [0.5163988174116112, -0.5588691721656385] [0.5146479101499363, -0.546950197752196]
14 220.581 [0.5163361507449445, -0.5589038388323052] [0.5146479101499363, -0.546950197752196]
14 225.599 [0.5161781507449444, -0.5588511721656385] [0.5146479101499363, -0.546950197752196]
14 230.694 [0.5161774840782778, -0.5588511721656385] [0.5146479101499363, -0.546950197752196]
14 235.7 [0.5161774840782778, -0.5588511721656385] [0.5146479101499363, -0.546950197752196]
14 240.708 [0.5161774840782778, -0.5588511721656385] [0.5146479101499363, -0.546950197752196]
14 245.711 [0.5161774840782778, -0.5588511721656385] [0.5146479101499363, -0.546950197752196]
14 250.732 [0.5161774840782778, -0.5588511721656385] [0.5146479101499363, -0.546950197752196]
14 255.825 [0.5161774840782778, -0.5588511721656385] [0.5146479101499363, -0.546950197752196]
14 260.826 [0.5161774840782778, -0.5588511721656385] [0.5146479101499363, -0.546950197752196]
14 265.835 [0.5161774840782778, -0.5588511721656385] [0.5146479101499363, -0.546950197752196]
14 270.839 [0.5162961507449445, -0.5593891721656387] [0.5146479101499363, -0.546950197752196]
14 275.845 [0.5162961507449445, -0.5593898388323052] [0.5146479101499363, -0.546950197752196]
14 280.852 [0.5162968174116112, -0.5594005054989719] [0.5146479101499363, -0.546950197752196]
14 285.859 [0.5162968174116112, -0.5594005054989719] [0.5146479101499363, -0.546950197752196]
14 290.865 [0.5166788174116114, -0.551364505498972] [0.5146479101499363, -0.546950197752196]
14 295.872 [0.5167181507449444, -0.5505851721656386] [0.5146479101499363, -0.546950197752196]
14 300.877 [0.5167181507449444, -0.5505851721656386] [0.5146479101499363, -0.546950197752196]
14 305.884 [0.5167181507449444, -0.5505851721656386] [0.5146479101499363, -0.546950197752196]
14 310.89 [0.5167181507449444, -0.5505851721656386] [0.5146479101499363, -0.546950197752196]
14 315.896 [0.5167181507449444, -0.5505851721656386] [0.5146479101499363, -0.546950197752196]
14 320.903 [0.5167181507449444, -0.5505851721656386] [0.5146479101499363, -0.546950197752196]
14 325.92 [0.5181714840782777, -0.5486111721656387] [0.5146479101499363, -0.546950197752196]
14 330.922 [0.5181714840782777, -0.5486111721656387] [0.5146479101499363, -0.546950197752196]
14 335.929 [0.5182694840782778, -0.5489191721656386] [0.5146479101499363, -0.546950197752196]
14 340.932 [0.5182694840782778, -0.5489191721656386] [0.5146479101499363, -0.546950197752196]
14 345.945 [0.5185141507449444, -0.5488011721656386] [0.5146479101499363, -0.546950197752196]
14 351.055 [0.5167768174116111, -0.5631938388323051] [0.5146479101499363, -0.546950197752196]
14 356.058 [0.5167781507449445, -0.5632071721656384] [0.5146479101499363, -0.546950197752196]
14 361.065 [0.5167774840782778, -0.5632065054989718] [0.5146479101499363, -0.546950197752196]
14 366.078 [0.5167774840782778, -0.5632065054989718] [0.5146479101499363, -0.546950197752196]
14 371.184 [0.5167934840782776, -0.5631298388323052] [0.5146479101499363, -0.546950197752196]
14 376.187 [0.5166488174116111, -0.5635245054989718] [0.5146479101499363, -0.546950197752196]
14 381.195 [0.5167081507449444, -0.5636798388323052] [0.5146479101499363, -0.546950197752196]
14 386.202 [0.5179774840782777, -0.5631958388323052] [0.5146479101499363, -0.546950197752196]
14 391.204 [0.5179774840782777, -0.5631951721656385] [0.5146479101499363, -0.546950197752196]
14 396.212 [0.5179774840782777, -0.5631951721656385] [0.5146479101499363, -0.546950197752196]
14 401.228 [0.5179774840782777, -0.5631951721656385] [0.5146479101499363, -0.546950197752196]
14 406.329 [0.5180821507449443, -0.5634258388323052] [0.5146479101499363, -0.546950197752196]
14 411.332 [0.5179788174116111, -0.5635871721656386] [0.5146479101499363, -0.546950197752196]
14 416.338 [0.5180061507449444, -0.563352505498972] [0.5146479101499363, -0.546950197752196]
14 421.351 [0.517968817411611, -0.5651958388323053] [0.5146479101499363, -0.546950197752196]
14 426.352 [0.5179601507449444, -0.5653238388323051] [0.5146479101499363, -0.546950197752196]
14 431.362 [0.5179601507449444, -0.5653238388323051] [0.5146479101499363, -0.546950197752196]
14 436.369 [0.5179601507449444, -0.5653238388323051] [0.5146479101499363, -0.546950197752196]
14 441.378 [0.5179601507449444, -0.5653238388323051] [0.5146479101499363, -0.546950197752196]
14 446.383 [0.5179601507449444, -0.5653238388323051] [0.5146479101499363, -0.546950197752196]
14 451.488 [0.5179601507449444, -0.5653238388323051] [0.5146479101499363, -0.546950197752196]
14 456.494 [0.5179601507449444, -0.5653238388323051] [0.5146479101499363, -0.546950197752196]
14 461.601 [0.5179601507449444, -0.5653238388323051] [0.5146479101499363, -0.546950197752196]
14 466.608 [0.5179601507449444, -0.5653238388323051] [0.5146479101499363, -0.546950197752196]
14 471.618 [0.5179601507449444, -0.5653238388323051] [0.5146479101499363, -0.546950197752196]
14 476.721 [0.5182114840782778, -0.5645265054989719] [0.5146479101499363, -0.546950197752196]
14 481.724 [0.5185554840782778, -0.5654705054989718] [0.5146479101499363, -0.546950197752196]
14 486.73 [0.5185554840782778, -0.5654705054989718] [0.5146479101499363, -0.546950197752196]
14 491.738 [0.5185581507449445, -0.5648625054989719] [0.5146479101499363, -0.546950197752196]
14 496.745 [0.5185828174116112, -0.5648658388323052] [0.5146479101499363, -0.546950197752196]
14 501.76 [0.5185828174116112, -0.5648658388323052] [0.5146479101499363, -0.546950197752196]
14 506.763 [0.5185828174116112, -0.5648658388323052] [0.5146479101499363, -0.546950197752196]
14 511.869 [0.5185828174116112, -0.5648658388323052] [0.5146479101499363, -0.546950197752196]
