ID TIME pos
8 0.097 [0, 0] [-0.3627042145495745, -0.3886294839370129]
8 5.099 [0, 0] [-0.3627042145495745, -0.3886294839370129]
8 10.111 [0, 0] [-0.3627042145495745, -0.3886294839370129]
8 15.118 [0, 0] [-0.3627042145495745, -0.3886294839370129]
8 20.129 [0, 0] [-0.3627042145495745, -0.3886294839370129]
8 25.132 [0, 0] [-0.3627042145495745, -0.3886294839370129]
8 30.138 [0, 0] [-0.3627042145495745, -0.3886294839370129]
8 35.146 [0, 0] [-0.3627042145495745, -0.3886294839370129]
8 40.155 [-0.10998265997909457, -0.3004264401890234] [-0.3627042145495745, -0.3886294839370129]
8 45.155 [-0.048336329989547205, -0.23966822009451166] [-0.3627042145495745, -0.3886294839370129]
8 50.164 [-0.05508132998954732, -0.24631322009451168] [-0.3627042145495745, -0.3886294839370129]
8 55.169 [-0.055181329989547306, -0.24641322009451166] [-0.3627042145495745, -0.3886294839370129]
8 60.175 [-0.055181329989547306, -0.24641322009451166] [-0.3627042145495745, -0.3886294839370129]
8 65.182 [-0.05518632998954723, -0.2464182200945117] [-0.3627042145495745, -0.3886294839370129]
8 70.188 [-0.13762088665969813, -0.29976214672967444] [-0.3627042145495745, -0.3886294839370129]
8 75.195 [-0.21787653199581886, -0.3155392880378047] [-0.3627042145495745, -0.3886294839370129]
8 80.201 [-0.2189465319958189, -0.30726328803780467] [-0.3627042145495745, -0.3886294839370129]
8 85.205 [-0.2125045319958189, -0.3085432880378047] [-0.3627042145495745, -0.3886294839370129]
8 90.214 [-0.2115925319958189, -0.3078892880378047] [-0.3627042145495745, -0.3886294839370129]
8 95.224 [-0.2115925319958189, -0.3078892880378047] [-0.3627042145495745, -0.3886294839370129]
8 100.322 [-0.2115925319958189, -0.3078892880378047] [-0.3627042145495745, -0.3886294839370129]
8 105.33 [-0.22578210999651574, -0.31419440669817056] [-0.3627042145495745, -0.3886294839370129]
8 110.334 [-0.22578210999651574, -0.31419440669817056] [-0.3627042145495745, -0.3886294839370129]
8 115.34 [-0.2269887766631824, -0.3147077400315039] [-0.3627042145495745, -0.3886294839370129]
8 120.347 [-0.2269887766631824, -0.3147077400315039] [-0.3627042145495745, -0.3886294839370129]
8 125.353 [-0.2269887766631824, -0.3147077400315039] [-0.3627042145495745, -0.3886294839370129]
8 130.361 [-0.2269887766631824, -0.3147077400315039] [-0.3627042145495745, -0.3886294839370129]
8 135.368 [-0.2250554433298491, -0.31442940669817054] [-0.3627042145495745, -0.3886294839370129]
8 140.374 [-0.22768210999651575, -0.31892107336483727] [-0.3627042145495745, -0.3886294839370129]
8 145.388 [-0.22768210999651575, -0.31892107336483727] [-0.3627042145495745, -0.3886294839370129]
8 150.491 [-0.23379180856844206, -0.3231766343127176] [-0.3627042145495745, -0.3886294839370129]
8 155.495 [-0.23381895142558493, -0.3231623485984319] [-0.3627042145495745, -0.3886294839370129]
8 160.502 [-0.23849158249738683, -0.3276333050236279] [-0.3627042145495745, -0.3886294839370129]
8 165.511 [-0.23849158249738683, -0.3276333050236279] [-0.3627042145495745, -0.3886294839370129]
8 170.515 [-0.23849158249738683, -0.3276333050236279] [-0.3627042145495745, -0.3886294839370129]
8 175.521 [-0.23849158249738683, -0.3276333050236279] [-0.3627042145495745, -0.3886294839370129]
8 180.528 [-0.23849158249738683, -0.3276333050236279] [-0.3627042145495745, -0.3886294839370129]
8 185.535 [-0.23849158249738683, -0.3276333050236279] [-0.3627042145495745, -0.3886294839370129]
8 190.541 [-0.23849158249738683, -0.3276333050236279] [-0.3627042145495745, -0.3886294839370129]
8 195.547 [-0.2614569622198994, -0.33931516002100254] [-0.3627042145495745, -0.3886294839370129]
8 200.552 [-0.2614569622198994, -0.33931516002100254] [-0.3627042145495745, -0.3886294839370129]
8 205.555 [-0.2614569622198994, -0.33931516002100254] [-0.3627042145495745, -0.3886294839370129]
8 210.566 [-0.2614569622198994, -0.33931516002100254] [-0.3627042145495745, -0.3886294839370129]
8 215.574 [-0.2614569622198994, -0.33931516002100254] [-0.3627042145495745, -0.3886294839370129]
8 220.583 [-0.26303473999767724, -0.33936849335433583] [-0.3627042145495745, -0.3886294839370129]
8 225.59 [-0.2639558511087883, -0.3390918266876692] [-0.3627042145495745, -0.3886294839370129]
8 230.592 [-0.26397251777545505, -0.33908627113211365] [-0.3627042145495745, -0.3886294839370129]
8 235.601 [-0.26397251777545505, -0.33908627113211365] [-0.3627042145495745, -0.3886294839370129]
8 240.605 [-0.264332517775455, -0.3390507155765581] [-0.3627042145495745, -0.3886294839370129]
8 245.612 [-0.26506807333101057, -0.33939960446544704] [-0.3627042145495745, -0.3886294839370129]
8 250.618 [-0.26847026599790946, -0.3406666440189023] [-0.3627042145495745, -0.3886294839370129]
8 255.631 [-0.2651282659979095, -0.3362086440189023] [-0.3627042145495745, -0.3886294839370129]
8 260.638 [-0.26511526599790947, -0.33615864401890233] [-0.3627042145495745, -0.3886294839370129]
8 265.642 [-0.2666542659979095, -0.3367626440189023] [-0.3627042145495745, -0.3886294839370129]
8 270.646 [-0.2686547872708268, -0.3384542218353658] [-0.3627042145495745, -0.3886294839370129]
8 275.652 [-0.2700318883315912, -0.3423005366824186] [-0.3627042145495745, -0.3886294839370129]
8 280.658 [-0.2700302216649246, -0.34229720334908537] [-0.3627042145495745, -0.3886294839370129]
8 285.667 [-0.2753602216649246, -0.343281370015752] [-0.3627042145495745, -0.3886294839370129]
8 290.674 [-0.27538938833159127, -0.343286370015752] [-0.3627042145495745, -0.3886294839370129]
8 295.681 [-0.27538938833159127, -0.343286370015752] [-0.3627042145495745, -0.3886294839370129]
8 300.687 [-0.27538938833159127, -0.343286370015752] [-0.3627042145495745, -0.3886294839370129]
8 305.691 [-0.27538938833159127, -0.343286370015752] [-0.3627042145495745, -0.3886294839370129]
8 310.699 [-0.27538938833159127, -0.343286370015752] [-0.3627042145495745, -0.3886294839370129]
8 315.706 [-0.27538938833159127, -0.343286370015752] [-0.3627042145495745, -0.3886294839370129]
8 320.714 [-0.2752468883315912, -0.3429880366824187] [-0.3627042145495745, -0.3886294839370129]
8 325.72 [-0.2752468883315912, -0.3429880366824187] [-0.3627042145495745, -0.3886294839370129]
