ID TIME pos
14 5.369 [0.44279570339805796, -0.4341079065276827] []
14 10.39 [0.44279570339805796, -0.4341079065276827] []
14 15.483 [0.44279570339805796, -0.4341079065276827] []
14 106.787 [0.44279570339805796, -0.4341079065276827] [(47509, -11538, 1676642546, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 47896, -11477)]
14 111.796 [0.44279570339805796, -0.4341079065276827] [(47509, -11538, 1676642546, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 47896, -11477)]
14 116.874 [0.44279570339805796, -0.4341079065276827] [(47509, -11538, 1676642546, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 47896, -11477)]
14 121.998 [0.44279570339805796, -0.4341079065276827] [(47509, -11538, 1676642546, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 47896, -11477)]
14 127.145 [0.44279570339805796, -0.4341079065276827] [(47509, -11538, 1676642546, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 47896, -11477), (44101, -45687, 1676642644, 0, 1, 10555555555555555000, 10555555555555555000, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, 44101, -45687)]
14 183.637 [0.44279570339805796, -0.4341079065276827] [(47509, -11538, 1676642546, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 47896, -11477), (46674, -36573, 1676642700, 1, 10, 103333333333333330000, 63333333333333330000, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, 46250, -46671), (46629, -46327, 1676642686, 0, 4, 41666666666666665000, 41666666666666665000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 1, 46629, -46327)]
14 224.791 [0.44279570339805796, -0.4341079065276827] [(47509, -11538, 1676642546, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 47896, -11477), (46674, -36573, 1676642744, 1, 10, 103333333333333330000, 63333333333333330000, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, 46250, -46671), (46598, -43577, 1676642744, 1, 10, 98333333333333335000, 98333333333333335000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 1, 46598, -43577), (49987, -50172, 1676642738, 0, 3, 29444444444444445000, 29444444444444445000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 1, 49987, -50172)]
14 300.1 [0.44279570339805796, -0.4341079065276827] [(47509, -11538, 1676642546, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 47896, -11477), (46674, -36573, 1676642814, 1, 10, 103333333333333330000, 63333333333333330000, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, 46250, -46671), (46598, -43577, 1676642814, 1, 10, 98333333333333335000, 98333333333333335000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 1, 46598, -43577), (45379, -45027, 1676642814, 1, 10, 102222222222222225000, 102222222222222225000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 1, 45379, -45027), (49225, -42890, 1676642790, 0, 8, 95000000000000005000, 95000000000000005000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 49225, -42890)]
14 347.167 [0.44279570339805796, -0.4341079065276827] [(47509, -11538, 1676642546, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 47896, -11477), (46674, -36573, 1676642863, 1, 10, 103333333333333330000, 63333333333333330000, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, 46250, -46671), (46598, -43577, 1676642863, 1, 10, 98333333333333335000, 98333333333333335000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 1, 46598, -43577), (45379, -45027, 1676642863, 1, 10, 102222222222222225000, 102222222222222225000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 1, 45379, -45027), (48412, -42618, 1676642863, 1, 10, 110555555555555560000, 110555555555555560000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 48412, -42618), (47578, -37752, 1676642859, 0, 2, 15555555555555555000, 10555555555555555000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 50558, -46097)]
14 376.426 [0.44279570339805796, -0.4341079065276827] [(47509, -11538, 1676642546, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 47896, -11477), (46674, -36573, 1676642895, 1, 10, 103333333333333330000, 63333333333333330000, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, 46250, -46671), (46598, -43577, 1676642895, 1, 10, 98333333333333335000, 98333333333333335000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 1, 46598, -43577), (45379, -45027, 1676642895, 1, 10, 102222222222222225000, 102222222222222225000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 1, 45379, -45027), (48412, -42618, 1676642895, 1, 10, 110555555555555560000, 110555555555555560000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 48412, -42618), (49553, -36171, 1676642859, 0, 5, 38055555555555554000, 33055555555555554000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 50804, -38597), (41627, -52182, 1676642879, 0, 2, 18888888888888890000, 18888888888888890000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 41627, -52182)]
14 408.492 [0.44279570339805796, -0.4341079065276827] [(47509, -11538, 1676642546, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 47896, -11477), (46674, -36573, 1676642927, 1, 10, 103333333333333330000, 63333333333333330000, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, 46250, -46671), (46598, -43577, 1676642927, 1, 10, 98333333333333335000, 98333333333333335000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 1, 46598, -43577), (45379, -45027, 1676642927, 1, 10, 102222222222222225000, 102222222222222225000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 1, 45379, -45027), (48412, -42618, 1676642927, 1, 10, 110555555555555560000, 110555555555555560000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 48412, -42618), (51369, -38587, 1676642859, 0, 7, 56944444444444444000, 51944444444444444000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 52340, -40363), (38296, -52234, 1676642879, 0, 7, 77777777777777780000, 56666666666666670000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 44300, -49201)]
14 437.702 [0.44279570339805796, -0.4341079065276827] [(47509, -11538, 1676642546, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 47896, -11477), (46674, -36573, 1676642955, 1, 10, 103333333333333330000, 63333333333333330000, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, 46250, -46671), (46598, -43577, 1676642955, 1, 10, 98333333333333335000, 98333333333333335000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 1, 46598, -43577), (45379, -45027, 1676642955, 1, 10, 102222222222222225000, 102222222222222225000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 1, 45379, -45027), (48412, -42618, 1676642955, 1, 10, 110555555555555560000, 110555555555555560000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 48412, -42618), (49745, -39096, 1676642859, 0, 11, 87777777777777778000, 75833333333333334000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 50022, -40098), (35656, -53386, 1676642879, 0, 9, 96666666666666668000, 56666666666666670000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 44109, -49100)]
