ID TIME pos
1 5.041 [0.3019989530025341, -0.4101108368971562] []
1 10.107 [0.3019989530025341, -0.4101108368971562] []
1 15.117 [0.3019989530025341, -0.4101108368971562] []
1 20.155 [0.3019989530025341, -0.4101108368971562] []
1 25.233 [0.3019989530025341, -0.4101108368971562] []
1 30.239 [0.3019989530025341, -0.4101108368971562] [(51268, -34923, 1674815456, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 0, 51268, -34923)]
1 39.62 [0.3019989530025341, -0.4101108368971562] [(40575, -33395, 1674815462, 0, 1, 10000000000000000000, 10000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 40575, -33395)]
1 65.013 [0.3019989530025341, -0.4101108368971562] [(45974, -34194, 1674815462, 0, 4, 40000000000000000000, 20000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 45921, -34159)]
1 70.097 [0.3019989530025341, -0.4101108368971562] [(47069, -34583, 1674815462, 0, 5, 50000000000000000000, 20000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 45921, -34159)]
1 75.192 [0.3019989530025341, -0.4101108368971562] [(47981, -34473, 1674815462, 0, 6, 60000000000000000000, 20000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 45921, -34159)]
1 80.203 [0.3019989530025341, -0.4101108368971562] [(47981, -34473, 1674815462, 0, 6, 60000000000000000000, 20000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 45921, -34159)]
1 85.237 [0.3019989530025341, -0.4101108368971562] [(48494, -34644, 1674815462, 0, 7, 70000000000000000000, 20000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 45921, -34159)]
1 90.237 [0.3019989530025341, -0.4101108368971562] [(48673, -34652, 1674815462, 0, 8, 80000000000000000000, 20000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 45921, -34159)]
1 95.327 [0.3019989530025341, -0.4101108368971562] [(48673, -34652, 1674815462, 0, 8, 80000000000000000000, 20000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 45921, -34159)]
1 100.34 [0.3019989530025341, -0.4101108368971562] [(48673, -34652, 1674815462, 0, 8, 80000000000000000000, 20000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 45921, -34159)]
1 105.385 [0.3019989530025341, -0.4101108368971562] [(48673, -34652, 1674815462, 0, 8, 80000000000000000000, 20000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 45921, -34159)]
