ID TIME TPS RAM CPU
0 0.003 386 3.1 17.9
0 0.109 9 3.1 17.9
0 0.209 10 3.1 17.9
0 0.308 10 3.1 17.9
0 0.409 10 3.1 17.9
0 0.509 10 3.1 17.9
0 0.609 10 3.1 17.9
0 0.71 10 3.1 17.9
0 0.81 10 3.1 17.9
0 0.91 10 3.1 17.9
0 1.01 10 3.1 17.9
0 1.106 10 3.1 17.9
0 1.212 9 3.1 17.9
0 1.316 10 3.1 17.9
0 1.416 10 3.1 17.9
0 1.516 10 3.1 17.9
0 1.616 10 3.1 17.9
0 1.716 10 3.1 17.9
0 1.817 10 3.1 17.9
0 1.917 10 3.1 17.9
0 2.017 10 3.1 17.9
0 2.117 10 3.1 17.9
0 2.218 10 3.1 17.9
0 2.317 10 3.1 17.9
0 2.418 10 3.1 17.9
0 2.518 10 3.1 17.9
0 2.618 10 3.1 17.9
0 2.718 10 3.1 17.9
0 2.819 10 3.1 17.9
0 2.918 10 3.1 17.9
0 3.018 10 3.1 17.9
0 3.119 10 3.1 17.9
0 3.219 10 3.1 17.9
0 3.319 10 3.1 17.9
0 3.419 10 3.1 17.9
0 3.52 10 3.1 17.9
0 3.613 11 3.1 17.9
0 3.72 9 3.1 17.9
0 3.82 10 3.1 17.9
0 3.92 10 3.1 17.9
0 4.02 10 3.1 17.9
0 4.112 11 3.1 17.9
0 4.221 9 3.1 17.9
0 4.321 10 3.1 17.9
0 4.421 10 3.1 17.9
0 4.521 10 3.1 17.9
0 4.621 10 3.1 17.9
0 4.716 10 3.1 17.9
0 4.822 9 3.1 17.9
0 4.922 10 3.1 17.9
0 5.022 10 3.1 17.9
0 5.121 10 3.1 17.9
0 5.222 10 3.1 17.9
0 5.322 10 3.1 17.9
0 5.423 10 3.1 17.9
0 5.522 10 3.1 17.9
0 5.622 10 3.1 17.9
0 5.723 10 3.1 17.9
0 5.823 10 3.1 17.9
0 5.923 10 3.1 17.9
0 6.023 10 3.1 17.9
0 6.123 10 3.1 17.9
0 6.226 10 3.1 17.9
0 6.323 10 3.1 17.9
0 6.424 10 3.1 17.9
0 6.524 10 3.1 17.9
0 6.624 10 3.1 17.9
0 6.724 10 3.1 17.9
0 6.824 10 3.1 17.9
0 6.925 10 3.1 17.9
0 7.025 10 3.1 17.9
0 7.124 10 3.1 17.9
0 7.225 10 3.1 17.9
0 7.325 10 3.1 17.9
0 7.426 10 3.1 17.9
0 7.526 10 3.1 17.9
0 7.625 10 3.1 17.9
0 7.726 10 3.1 17.9
0 7.826 10 3.1 17.9
0 7.926 10 3.1 17.9
0 8.026 10 3.1 17.9
0 8.126 10 3.1 17.9
0 8.227 10 3.1 17.9
0 8.326 10 3.1 17.9
0 8.427 10 3.1 17.9
0 8.527 10 3.1 17.9
0 8.626 10 3.1 17.9
0 8.727 10 3.1 17.9
0 8.827 10 3.1 17.9
0 8.927 10 3.1 17.9
0 9.027 10 3.1 17.9
0 9.127 10 3.1 17.9
0 9.228 10 3.1 17.9
0 9.328 10 3.1 17.9
0 9.428 10 3.1 17.9
0 9.528 10 3.1 17.9
0 9.628 10 3.1 17.9
0 9.728 10 3.1 17.9
0 9.828 10 3.1 17.9
0 9.929 10 3.1 17.9
0 10.03 10 1.3 17.9
0 10.129 10 1.3 17.9
0 10.23 10 1.3 17.9
0 10.329 10 1.3 17.9
0 10.429 10 1.3 17.9
0 10.529 10 1.3 17.9
0 10.63 10 1.3 17.9
0 10.73 10 1.3 17.9
0 10.83 10 1.3 17.9
0 10.931 10 1.3 17.9
0 11.03 10 1.3 17.9
0 11.13 10 1.3 17.9
0 11.232 10 1.3 17.9
0 11.332 10 1.3 17.9
0 11.432 10 1.3 17.9
0 11.531 10 1.3 17.9
0 11.631 10 1.3 17.9
0 11.731 10 1.3 17.9
0 11.831 10 1.3 17.9
0 11.932 10 1.3 17.9
0 12.032 10 1.3 17.9
0 12.132 10 1.3 17.9
0 12.232 10 1.3 17.9
0 12.332 10 1.3 17.9
0 12.433 10 1.3 17.9
0 12.532 10 1.3 17.9
0 12.633 10 1.3 17.9
