ID TIME pos
8 0.01 [0, 0] [0.46328539902163157, 0.18742737993338576]
8 5.041 [0, 0] [0.46328539902163157, 0.18742737993338576]
8 10.041 [0, 0] [0.46328539902163157, 0.18742737993338576]
8 15.146 [0, 0] [0.46328539902163157, 0.18742737993338576]
8 20.24 [0, 0] [0.46328539902163157, 0.18742737993338576]
8 25.241 [0, 0] [0.46328539902163157, 0.18742737993338576]
8 30.241 [0, 0] [0.46328539902163157, 0.18742737993338576]
8 35.342 [0, 0] [0.46328539902163157, 0.18742737993338576]
8 40.45 [0, 0] [0.46328539902163157, 0.18742737993338576]
8 45.542 [0, 0] [0.46328539902163157, 0.18742737993338576]
8 50.543 [0, 0] [0.46328539902163157, 0.18742737993338576]
8 55.643 [0, 0] [0.46328539902163157, 0.18742737993338576]
8 60.741 [0, 0] [0.46328539902163157, 0.18742737993338576]
8 65.838 [0.6406700000000001, -0.015120000000000022] [0.46328539902163157, 0.18742737993338576]
8 70.843 [0.6396799999999998, -0.014350000000000085] [0.46328539902163157, 0.18742737993338576]
