ID TIME pos
9 1.211 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
9 56.392 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.43084999999999996, -0.40867999999999993], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.33785, -0.36379000000000006], [0, 0], [0, 0], [0, 0]]
9 61.399 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.43084999999999996, -0.40867999999999993], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.42074999999999996, -0.3746499999999999], [0, 0], [0, 0], [0, 0]]
9 66.406 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.43084999999999996, -0.40867999999999993], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.42074999999999996, -0.3746499999999999], [0, 0], [0, 0], [0, 0]]
9 71.414 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.43084999999999996, -0.40867999999999993], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.42074999999999996, -0.3746499999999999], [0, 0], [0, 0], [0, 0]]
9 76.421 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.43084999999999996, -0.40867999999999993], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.42074999999999996, -0.3746499999999999], [0, 0], [0, 0], [0, 0]]
9 81.428 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.43084999999999996, -0.40867999999999993], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.42074999999999996, -0.3746499999999999], [0, 0], [0, 0], [0, 0]]
9 86.436 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.43084999999999996, -0.40867999999999993], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.4245399999999999, -0.3781000000000001], [0, 0], [0, 0], [0, 0]]
9 91.443 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.43084999999999996, -0.40867999999999993], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.4245399999999999, -0.3781000000000001], [0, 0], [0, 0], [0, 0]]
9 96.451 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.43084999999999996, -0.40867999999999993], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.4245399999999999, -0.3781000000000001], [0, 0], [0, 0], [0, 0]]
9 101.459 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.43084999999999996, -0.40867999999999993], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [-0.40315999999999996, -0.3917299999999999], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.4245399999999999, -0.3781000000000001], [0, 0], [0, 0], [0, 0]]
9 106.467 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.43084999999999996, -0.40867999999999993], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [-0.4042699999999999, -0.3918999999999999], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.4245399999999999, -0.3781000000000001], [0, 0], [0, 0], [0, 0]]
9 111.475 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.43084999999999996, -0.40867999999999993], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [-0.4042699999999999, -0.3918999999999999], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.4245399999999999, -0.3781000000000001], [0, 0], [0, 0], [0, 0]]
9 116.482 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [-0.4042699999999999, -0.3918999999999999], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.4245399999999999, -0.3781000000000001], [0, 0], [0, 0], [0, 0]]
9 121.49 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [-0.40408, -0.39127], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.4245399999999999, -0.3781000000000001], [0, 0], [0, 0], [0, 0]]
9 126.497 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [-0.40408, -0.39127], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.4245399999999999, -0.3781000000000001], [0, 0], [0, 0], [0, 0]]
9 131.605 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [-0.40408, -0.39127], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.4245399999999999, -0.3781000000000001], [0, 0], [0, 0], [0, 0]]
9 136.711 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [-0.40408, -0.39127], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.4245399999999999, -0.3781000000000001], [0, 0], [0, 0], [0, 0]]
9 141.718 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [-0.40344, -0.39220999999999995], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.4245399999999999, -0.3781000000000001], [0, 0], [0, 0], [0, 0]]
9 146.726 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [-0.40344, -0.39220999999999995], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.4245399999999999, -0.3781000000000001], [0, 0], [0, 0], [0, 0]]
9 151.733 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [-0.40344, -0.39220999999999995], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.4245399999999999, -0.3781000000000001], [0, 0], [0, 0], [0, 0]]
9 156.74 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [-0.40344, -0.39220999999999995], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.4245399999999999, -0.3781000000000001], [0, 0], [0, 0], [0, 0]]
9 161.848 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [-0.40344, -0.39220999999999995], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.4245399999999999, -0.3781000000000001], [0, 0], [0, 0], [0, 0]]
9 166.855 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [-0.40344, -0.39220999999999995], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.4245399999999999, -0.3781000000000001], [0, 0], [0, 0], [0, 0]]
9 171.865 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [-0.37714000000000003, -0.40467999999999993], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.4245399999999999, -0.3781000000000001], [0, 0], [0, 0], [0, 0]]
9 176.873 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [-0.37712999999999997, -0.40470000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.4245399999999999, -0.3781000000000001], [0, 0], [0, 0], [0, 0]]
9 181.881 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [-0.37712999999999997, -0.40470000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.4245399999999999, -0.3781000000000001], [0, 0], [0, 0], [0, 0]]
9 186.888 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [-0.37712999999999997, -0.40470000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.4245399999999999, -0.3781000000000001], [0, 0], [0, 0], [0, 0]]
9 191.895 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [-0.37712999999999997, -0.40470000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.3627, -0.39444999999999997], [0, 0], [0, 0], [0, 0]]
9 196.904 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.37825, -0.40149999999999997], [-0.37712999999999997, -0.40470000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.36371, -0.39518999999999993], [0, 0], [0, 0], [0, 0]]
9 202.011 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.37825, -0.40149999999999997], [-0.37712999999999997, -0.40470000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.36371, -0.39518999999999993], [0, 0], [0, 0], [0, 0]]
9 207.019 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.37825, -0.40149999999999997], [-0.37712999999999997, -0.40470000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.36371, -0.39518999999999993], [0, 0], [0, 0], [0, 0]]
9 212.027 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.37825, -0.40149999999999997], [-0.37712999999999997, -0.40470000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.36371, -0.39518999999999993], [0, 0], [0, 0], [0, 0]]
9 217.035 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.37825, -0.40149999999999997], [-0.37712999999999997, -0.40470000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.36371, -0.39518999999999993], [0, 0], [0, 0], [0, 0]]
9 222.141 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.37825, -0.40149999999999997], [-0.37712999999999997, -0.40470000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.36371, -0.39518999999999993], [0, 0], [0, 0], [0, 0]]
9 227.148 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.37825, -0.40149999999999997], [-0.37712999999999997, -0.40470000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.36371, -0.39518999999999993], [0, 0], [0, 0], [0, 0]]
9 232.155 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.42011, -0.3817299999999999], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.37825, -0.40149999999999997], [-0.37712999999999997, -0.40470000000000006], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.36371, -0.39518999999999993], [0, 0], [0, 0], [0, 0]]
