ID TIME pos
7 0.099 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 5.109 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 10.118 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 15.221 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 20.227 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 25.233 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 30.239 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 35.246 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 40.252 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 45.259 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 50.268 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 55.274 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 60.277 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 65.286 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 70.293 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 75.298 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 80.304 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 85.312 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 90.314 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 95.323 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 100.329 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 105.333 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 110.335 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 115.347 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 120.353 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 125.361 [0, 0] [0.4514688196983951, 0.4391248372732914]
7 130.365 [0.5939100000000002, 0.42767] [0.4514688196983951, 0.4391248372732914]
7 135.371 [0.5939100000000002, 0.42767] [0.4514688196983951, 0.4391248372732914]
7 140.378 [0.5939100000000002, 0.42767] [0.4514688196983951, 0.4391248372732914]
7 145.385 [0.5931600000000001, 0.42842] [0.4514688196983951, 0.4391248372732914]
7 150.391 [0.5302199999999999, 0.508206] [0.4514688196983951, 0.4391248372732914]
7 155.401 [0.5285945810420435, 0.4723960631088489] [0.4514688196983951, 0.4391248372732914]
7 160.505 [0.5043645810420435, 0.4434193964421822] [0.4514688196983951, 0.4391248372732914]
7 165.512 [0.5114212477087101, 0.44956272977551553] [0.4514688196983951, 0.4391248372732914]
7 170.517 [0.5114212477087101, 0.44956272977551553] [0.4514688196983951, 0.4391248372732914]
7 175.527 [0.5271509357815326, 0.4499620473316366] [0.4514688196983951, 0.4391248372732914]
7 180.53 [0.5291409357815327, 0.4509145473316366] [0.4514688196983951, 0.4391248372732914]
7 185.537 [0.5329867486252261, 0.4660076378653093] [0.4514688196983951, 0.4391248372732914]
7 190.543 [0.5329867486252261, 0.4660076378653093] [0.4514688196983951, 0.4391248372732914]
7 195.55 [0.5329867486252261, 0.4660076378653093] [0.4514688196983951, 0.4391248372732914]
7 200.556 [0.5329867486252261, 0.4660076378653093] [0.4514688196983951, 0.4391248372732914]
7 205.562 [0.5639279143753767, 0.4494927297755155] [0.4514688196983951, 0.4391248372732914]
