ID TIME pos
14 0.094 [0, 0] [0.4514688196983951, 0.4391248372732914]
14 5.106 [0, 0] [0.4514688196983951, 0.4391248372732914]
14 10.108 [0, 0] [0.4514688196983951, 0.4391248372732914]
14 15.119 [0, 0] [0.4514688196983951, 0.4391248372732914]
14 20.127 [0, 0] [0.4514688196983951, 0.4391248372732914]
14 25.132 [0, 0] [0.4514688196983951, 0.4391248372732914]
14 30.138 [0, 0] [0.4514688196983951, 0.4391248372732914]
14 35.144 [0, 0] [0.4514688196983951, 0.4391248372732914]
14 40.148 [0, 0] [0.4514688196983951, 0.4391248372732914]
14 45.153 [0, 0] [0.4514688196983951, 0.4391248372732914]
14 50.17 [0, 0] [0.4514688196983951, 0.4391248372732914]
14 55.267 [0, 0] [0.4514688196983951, 0.4391248372732914]
14 60.282 [0, 0] [0.4514688196983951, 0.4391248372732914]
14 65.286 [0, 0] [0.4514688196983951, 0.4391248372732914]
14 70.291 [0, 0] [0.4514688196983951, 0.4391248372732914]
14 75.297 [0, 0] [0.4514688196983951, 0.4391248372732914]
14 80.303 [0, 0] [0.4514688196983951, 0.4391248372732914]
14 85.312 [0, 0] [0.4514688196983951, 0.4391248372732914]
14 90.316 [0.3315999999999999, 0.5057499999999999] [0.4514688196983951, 0.4391248372732914]
14 95.321 [0.3315999999999999, 0.5057499999999999] [0.4514688196983951, 0.4391248372732914]
14 100.327 [0.3315999999999999, 0.5057499999999999] [0.4514688196983951, 0.4391248372732914]
14 105.336 [0.3315999999999999, 0.5057499999999999] [0.4514688196983951, 0.4391248372732914]
14 110.444 [0.3315999999999999, 0.5057499999999999] [0.4514688196983951, 0.4391248372732914]
14 115.546 [0.3422866666666667, 0.4276600000000001] [0.4514688196983951, 0.4391248372732914]
14 120.557 [0.395336, 0.36594] [0.4514688196983951, 0.4391248372732914]
14 125.558 [0.5402140363785024, 0.38262864244100186] [0.4514688196983951, 0.4391248372732914]
14 130.564 [0.5402140363785024, 0.38262864244100186] [0.4514688196983951, 0.4391248372732914]
14 135.571 [0.5402140363785024, 0.38262864244100186] [0.4514688196983951, 0.4391248372732914]
14 140.576 [0.5402140363785024, 0.38262864244100186] [0.4514688196983951, 0.4391248372732914]
14 145.58 [0.46708070304516913, 0.5299153091076686] [0.4514688196983951, 0.4391248372732914]
14 150.587 [0.46708070304516913, 0.5299153091076686] [0.4514688196983951, 0.4391248372732914]
14 155.703 [0.46708070304516913, 0.5299153091076686] [0.4514688196983951, 0.4391248372732914]
14 160.805 [0.46708070304516913, 0.5299153091076686] [0.4514688196983951, 0.4391248372732914]
14 165.809 [0.46708070304516913, 0.5299153091076686] [0.4514688196983951, 0.4391248372732914]
14 170.822 [0.46708070304516913, 0.5299153091076686] [0.4514688196983951, 0.4391248372732914]
14 175.927 [0.46708070304516913, 0.5299153091076686] [0.4514688196983951, 0.4391248372732914]
14 180.929 [0.46708070304516913, 0.5299153091076686] [0.4514688196983951, 0.4391248372732914]
14 185.938 [0.46708070304516913, 0.5299153091076686] [0.4514688196983951, 0.4391248372732914]
14 190.945 [0.46708070304516913, 0.5299153091076686] [0.4514688196983951, 0.4391248372732914]
