ID TIME pos
12 405.84 [-0.4329881769555414, -0.5791830399598745] [-0.443937911857729, -0.544249679978258]
12 410.845 [-0.4329881769555414, -0.5791830399598745] [-0.443937911857729, -0.544249679978258]
12 415.85 [-0.43283067695554145, -0.5769572066265412] [-0.443937911857729, -0.544249679978258]
12 420.858 [-0.43283067695554145, -0.5769572066265412] [-0.443937911857729, -0.544249679978258]
12 425.865 [-0.43239567695554143, -0.5768655399598747] [-0.443937911857729, -0.544249679978258]
12 430.872 [-0.43235901028887475, -0.5772305399598746] [-0.443937911857729, -0.544249679978258]
12 435.876 [-0.4323581769555414, -0.5772322066265413] [-0.443937911857729, -0.544249679978258]
12 440.887 [-0.4323581769555414, -0.5772322066265413] [-0.443937911857729, -0.544249679978258]
12 445.892 [-0.4323581769555414, -0.5772322066265413] [-0.443937911857729, -0.544249679978258]
12 450.9 [-0.4323581769555414, -0.5772322066265413] [-0.443937911857729, -0.544249679978258]
12 455.905 [-0.4323581769555414, -0.5772322066265413] [-0.443937911857729, -0.544249679978258]
12 460.913 [-0.4323581769555414, -0.5772322066265413] [-0.443937911857729, -0.544249679978258]
12 465.919 [-0.43260754795896134, -0.5804012676552689] [-0.443937911857729, -0.544249679978258]
12 470.925 [-0.43260754795896134, -0.5804012676552689] [-0.443937911857729, -0.544249679978258]
12 475.94 [-0.43260754795896134, -0.5804012676552689] [-0.443937911857729, -0.544249679978258]
12 480.942 [-0.4326352402666536, -0.5802004984244996] [-0.443937911857729, -0.544249679978258]
12 485.945 [-0.4326267787281921, -0.5802089599629612] [-0.443937911857729, -0.544249679978258]
12 490.955 [-0.43221754795896133, -0.5807366522706534] [-0.443937911857729, -0.544249679978258]
12 495.959 [-0.4317221633435767, -0.5811774215014226] [-0.443937911857729, -0.544249679978258]
12 500.965 [-0.4317221633435767, -0.5811774215014226] [-0.443937911857729, -0.544249679978258]
12 505.972 [-0.43334772310474984, -0.583611177108464] [-0.443937911857729, -0.544249679978258]
12 510.976 [-0.4333862945333212, -0.583084034251321] [-0.443937911857729, -0.544249679978258]
12 515.986 [-0.43418787489776645, -0.5864770986345662] [-0.443937911857729, -0.544249679978258]
12 520.996 [-0.43418787489776645, -0.5864770986345662] [-0.443937911857729, -0.544249679978258]
12 525.997 [-0.4336892082310998, -0.5868790986345663] [-0.443937911857729, -0.544249679978258]
12 531.007 [-0.43366520823109983, -0.5867150986345664] [-0.443937911857729, -0.544249679978258]
12 536.011 [-0.4336552082310998, -0.5866844319678995] [-0.443937911857729, -0.544249679978258]
12 541.02 [-0.4336552082310998, -0.5866844319678995] [-0.443937911857729, -0.544249679978258]
12 546.027 [-0.4336552082310998, -0.5866844319678995] [-0.443937911857729, -0.544249679978258]
12 551.03 [-0.43366387489776653, -0.5865057653012329] [-0.443937911857729, -0.544249679978258]
12 556.036 [-0.43340120823109984, -0.586753765301233] [-0.443937911857729, -0.544249679978258]
12 561.042 [-0.4334052082310998, -0.5867830986345662] [-0.443937911857729, -0.544249679978258]
12 566.052 [-0.4334052082310998, -0.5867830986345662] [-0.443937911857729, -0.544249679978258]
12 571.053 [-0.4334052082310998, -0.5867830986345662] [-0.443937911857729, -0.544249679978258]
12 576.063 [-0.4334052082310998, -0.5867830986345662] [-0.443937911857729, -0.544249679978258]
12 581.073 [-0.4329912082310999, -0.585789765301233] [-0.443937911857729, -0.544249679978258]
12 586.076 [-0.43299054156443323, -0.585787765301233] [-0.443937911857729, -0.544249679978258]
12 591.083 [-0.4328258748977664, -0.5855477653012329] [-0.443937911857729, -0.544249679978258]
12 596.088 [-0.4328025415644332, -0.5852937653012329] [-0.443937911857729, -0.544249679978258]
