ID TIME pos
13 0.095 [0, 0] [0.4514688196983951, 0.4391248372732914]
13 5.105 [0, 0] [0.4514688196983951, 0.4391248372732914]
13 10.121 [0, 0] [0.4514688196983951, 0.4391248372732914]
13 15.217 [0, 0] [0.4514688196983951, 0.4391248372732914]
13 20.222 [0, 0] [0.4514688196983951, 0.4391248372732914]
13 25.23 [0, 0] [0.4514688196983951, 0.4391248372732914]
13 30.236 [0, 0] [0.4514688196983951, 0.4391248372732914]
13 35.246 [0, 0] [0.4514688196983951, 0.4391248372732914]
13 40.246 [0.4608960688635974, 0.4788589023784084] [0.4514688196983951, 0.4391248372732914]
13 45.258 [0.4608960688635974, 0.4788589023784084] [0.4514688196983951, 0.4391248372732914]
13 50.263 [0.4608960688635974, 0.4788589023784084] [0.4514688196983951, 0.4391248372732914]
13 55.272 [0.4608960688635974, 0.4788589023784084] [0.4514688196983951, 0.4391248372732914]
13 60.286 [0.4608960688635974, 0.4788589023784084] [0.4514688196983951, 0.4391248372732914]
13 65.286 [0.4608960688635974, 0.4788589023784084] [0.4514688196983951, 0.4391248372732914]
13 70.293 [0.4608960688635974, 0.4788589023784084] [0.4514688196983951, 0.4391248372732914]
13 75.297 [0.4608960688635974, 0.4788589023784084] [0.4514688196983951, 0.4391248372732914]
13 80.305 [0.4608960688635974, 0.4788589023784084] [0.4514688196983951, 0.4391248372732914]
13 85.311 [0.4608960688635974, 0.4788589023784084] [0.4514688196983951, 0.4391248372732914]
13 90.318 [0.4608960688635974, 0.4788589023784084] [0.4514688196983951, 0.4391248372732914]
13 95.322 [0.4608960688635974, 0.4788589023784084] [0.4514688196983951, 0.4391248372732914]
13 100.33 [0.4608960688635974, 0.4788589023784084] [0.4514688196983951, 0.4391248372732914]
13 105.339 [0.4608960688635974, 0.4788589023784084] [0.4514688196983951, 0.4391248372732914]
13 110.433 [0.4608960688635974, 0.4788589023784084] [0.4514688196983951, 0.4391248372732914]
13 115.456 [0.4608960688635974, 0.4788589023784084] [0.4514688196983951, 0.4391248372732914]
13 120.556 [0.4608960688635974, 0.4788589023784084] [0.4514688196983951, 0.4391248372732914]
13 125.561 [0.4608960688635974, 0.4788589023784084] [0.4514688196983951, 0.4391248372732914]
13 130.567 [0.4608960688635974, 0.4788589023784084] [0.4514688196983951, 0.4391248372732914]
13 135.581 [0.4608960688635974, 0.4788589023784084] [0.4514688196983951, 0.4391248372732914]
13 140.679 [0.4608960688635974, 0.4788589023784084] [0.4514688196983951, 0.4391248372732914]
