ID TIME pos
5 5.115 [0.44163321934154753, -0.33944040865583885] []
5 10.184 [0.44163321934154753, -0.33944040865583885] []
5 15.269 [0.44163321934154753, -0.33944040865583885] [(-28230, 42473, 1676586637, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, -28230, 42473)]
5 24.554 [0.44163321934154753, -0.33944040865583885] [(-28230, 42473, 1676586637, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, -28230, 42473)]
5 65.104 [0.44163321934154753, -0.33944040865583885] [(-28312, 42718, 1676586637, 0, 8, 80000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, -28230, 42473)]
5 70.131 [0.44163321934154753, -0.33944040865583885] [(-28296, 42666, 1676586637, 0, 9, 90000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, -28230, 42473)]
5 75.223 [0.44163321934154753, -0.33944040865583885] [(-28296, 42666, 1676586637, 0, 9, 90000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, -28230, 42473)]
5 80.303 [0.44163321934154753, -0.33944040865583885] [(-28130, 42658, 1676586637, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, -28230, 42473)]
5 85.367 [0.44163321934154753, -0.33944040865583885] [(-28130, 42658, 1676586637, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, -28230, 42473)]
5 90.474 [0.44163321934154753, -0.33944040865583885] [(-28130, 42658, 1676586637, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, -28230, 42473)]
5 95.576 [0.44163321934154753, -0.33944040865583885] [(-28130, 42658, 1676586637, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, -28230, 42473)]
5 105.63 [0.44163321934154753, -0.33944040865583885] [(-28130, 42658, 1676586637, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, -28230, 42473), (42622, 42834, 1676586725, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 42622, 42834)]
5 134.401 [0.44163321934154753, -0.33944040865583885] [(-28130, 42658, 1676586637, 2, 10, 100000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, -28230, 42473), (42498, 42860, 1676586725, 0, 4, 41666666666666665000, 10000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 42622, 42834)]
