ID TIME pos
7 5.052 [0.2889868579610552, 0.3257791345639163] [0.18904350084004962, 0.16931570723919834]
7 35.445 [0.28785853977345066, 0.31566434828487966] [0.18904350084004962, 0.16931570723919834]
7 65.844 [0.28768557149675467, 0.3094857612136597] [0.18904350084004962, 0.16931570723919834]
