ID TIME pos
13 0.005 [0, 0] [0.46328539902163157, 0.18742737993338576]
13 5.039 [0, 0] [0.46328539902163157, 0.18742737993338576]
13 10.152 [0, 0] [0.46328539902163157, 0.18742737993338576]
13 15.237 [0, 0] [0.46328539902163157, 0.18742737993338576]
13 20.244 [0, 0] [0.46328539902163157, 0.18742737993338576]
13 25.247 [0, 0] [0.46328539902163157, 0.18742737993338576]
13 30.345 [0, 0] [0.46328539902163157, 0.18742737993338576]
13 35.44 [0, 0] [0.46328539902163157, 0.18742737993338576]
13 40.453 [0, 0] [0.46328539902163157, 0.18742737993338576]
13 45.542 [0, 0] [0.46328539902163157, 0.18742737993338576]
13 50.543 [0, 0] [0.46328539902163157, 0.18742737993338576]
13 55.642 [0, 0] [0.46328539902163157, 0.18742737993338576]
13 60.74 [0, 0] [0.46328539902163157, 0.18742737993338576]
13 65.834 [0, 0] [0.46328539902163157, 0.18742737993338576]
13 70.847 [0, 0] [0.46328539902163157, 0.18742737993338576]
